symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2022-06-14,2321.30,2337.40,-0.0069,0.0215,0.0214,0.4088
ADANIPORTS,2022-06-14,704.70,695.25,0.0135,0.0246,0.0245,0.4681
BEL,2022-06-14,241.35,235.50,0.0245,0.0229,0.0230,0.4394
BOSCHLTD,2022-06-14,13797.30,13860.50,-0.0046,0.0205,0.0204,0.3897
CUMMINSIND,2022-06-14,1008.80,1003.30,0.0055,0.0191,0.0190,0.3630
DIXON,2022-06-14,3413.00,3489.90,-0.0223,0.0273,0.0273,0.5216
DLF,2022-06-14,313.85,307.70,0.0198,0.0285,0.0284,0.5426
DMART,2022-06-14,3647.45,3661.55,-0.0039,0.0219,0.0218,0.4165
HAL,2022-06-14,1883.85,1854.90,0.0155,0.0219,0.0219,0.4184
HINDALCO,2022-06-14,358.30,366.45,-0.0225,0.0275,0.0275,0.5254
INDHOTEL,2022-06-14,216.40,216.15,0.0012,0.0268,0.0267,0.5101
INDIGO,2022-06-14,1742.90,1755.80,-0.0074,0.0263,0.0262,0.5006
LT,2022-06-14,1544.65,1532.05,0.0082,0.0178,0.0178,0.3401
MANAPPURAM,2022-06-14,88.00,88.50,-0.0057,0.0275,0.0275,0.5254
MARUTI,2022-06-14,7811.65,7901.45,-0.0114,0.0199,0.0199,0.3802
PAYTM,2022-06-14,606.50,582.30,0.0407,0.0297,0.0298,0.5693
PGEL,2022-06-14,910.25,899.45,0.0119,0.0402,0.0402,0.7680
SBIN,2022-06-14,448.10,445.85,0.0050,0.0207,0.0206,0.3936
SUZLON,2022-06-14,8.30,8.15,0.0182,0.0384,0.0383,0.7317
TRENT,2022-06-14,1069.40,1086.65,-0.0160,0.0239,0.0238,0.4547
