symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2013-07-09,594.60,589.55,0.0085,0.0263,,0.4891
ADANIPORTS,2013-07-09,149.30,149.20,0.0007,0.0177,,0.3286
BEL,2013-07-09,1246.90,1248.90,-0.0016,0.0166,,0.3076
BOSCHLTD,2013-07-09,8726.65,8636.30,0.0104,0.0141,,0.2656
CUMMINSIND,2013-07-09,454.05,434.65,0.0437,0.0114,,0.2942
DLF,2013-07-09,177.00,175.15,0.0105,0.0304,,0.5655
HINDALCO,2013-07-09,100.85,100.15,0.0070,0.0272,,0.5044
INDHOTEL,2013-07-09,50.25,50.15,0.0020,0.0210,,0.3897
LT,2013-07-09,1428.30,1403.05,0.0178,0.0193,,0.3668
MANAPPURAM,2013-07-09,10.60,10.55,0.0047,0.0459,,0.8502
MARUTI,2013-07-09,1543.85,1551.05,-0.0047,0.0167,,0.3095
PGEL,2013-07-09,83.10,82.30,0.0097,0.0327,,0.6075
SBIN,2013-07-09,1894.65,1873.20,0.0114,0.0190,,0.3554
SUZLON,2013-07-09,9.05,9.00,0.0055,0.0294,,0.5445
TRENT,2013-07-09,1002.30,1018.50,-0.0160,0.0122,,0.2388
