,13-Feb-2019
The Nifty witnessed an intraday movement of about 119.55 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29238.16
, Traded Quantity (in Lakhs), 15346.87
, Number of Trades, 11602901
, Total Market Capitalisation (Rs. Crores), 13710053.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        29.80,                 15704138.90,528214
,ALBERTDAVD,EQ,       397.20,                  2159224.65,5399
,ALBK,EQ,        41.65,                219149153.40,5415500
,ALCHEM,BE,         1.90,                     7214.70,3870
,ALEMBICLTD,EQ,        40.00,                  2363075.85,58974
,ALICON,EQ,       523.95,                   142025.90,270
,ALKALI,EQ,        38.95,                   266966.95,6717
,ALKEM,EQ,      1804.50,                302881031.40,166014
,ALKYLAMINE,EQ,       720.15,                  3720616.25,5181
,ALLCARGO,EQ,       104.75,                 11042608.85,104461
,ALLSEC,EQ,       181.45,                   619367.85,3441
,ALMONDZ,EQ,        21.90,                    53452.95,2526
,ALOKTEXT,EQ,         3.40,                  9247872.75,2717202
,ALPA,EQ,        23.05,                   280175.20,12018
,ALPHAGEO,EQ,       382.90,                  1802941.10,4633
,AMARAJABAT,EQ,       741.45,                175770784.10,236830
,AMBER,EQ,       644.30,                  4706697.05,7218
,AMBIKCO,EQ,      1121.60,                  2561801.40,2269
,AMDIND,EQ,        19.15,                    27170.75,1388
,AMJLAND,EQ,        18.65,                    63477.70,3421
,AMJUMBO,SM,        55.30,                  1589000.00,30000
,AMRUTANJAN,EQ,       280.50,                  6581556.90,23064
,ANANTRAJ,EQ,        30.90,                  7231905.25,234979
,ANDHRABANK,EQ,        23.30,                 14261742.40,611157
,ANDHRACEMT,EQ,         3.65,                   258031.70,69716
,ANDHRSUGAR,EQ,       307.35,                  5098165.90,16451
,ANGIND,BE,         1.25,                    30895.75,24515
,ANIKINDS,EQ,        12.70,                    49174.85,3825
,ANKITMETAL,BE,          .45,                    19246.40,40783
,ANSALAPI,EQ,        10.10,                   611684.80,60695
,ANSALHSG,EQ,        10.95,                  1006443.70,91436
,ANTGRAPHIC,BE,          .50,                    57526.25,122057
