,15-Feb-2019
The Nifty witnessed an intraday movement of about 165.35 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34630.95
, Traded Quantity (in Lakhs), 16131.69
, Number of Trades, 12408112
, Total Market Capitalisation (Rs. Crores), 13611505.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10746.05,     10780.25,     10785.75,     10620.40,     10724.40,-21.65
,NIFTY50 EQL Wgt,     11661.50,     11708.65,     11711.85,     11500.50,     11620.10,-41.4
,NIFTY100 EQL Wgt,     12336.50,     12353.45,     12358.35,     12119.75,     12221.00,-115.5
,NIFTY100 LowVol30,      8422.50,      8444.40,      8448.35,      8337.40,      8411.55,-10.95
,NIFTY Alpha 50,     11692.60,     11703.05,     11703.50,     11445.25,     11558.45,-134.15
,NIFTY MIDCAP 150,      5872.70,      5871.95,      5872.60,      5788.60,      5824.55,-48.15
,NIFTY SMLCAP 50,      2795.35,      2795.60,      2796.95,      2743.45,      2757.70,-37.65
,NIFTY SMLCAP 250,      4775.25,      4773.40,      4775.95,      4727.25,      4736.15,-39.1
,NIFTY MIDSML 400,      5485.50,      5484.35,      5485.10,      5414.25,      5440.55,-44.95
,NIFTY200 QUALTY30,      9459.55,      9482.20,      9482.35,      9295.25,      9384.15,-75.4
,Nifty IT,     15861.65,     15898.40,     15912.45,     15620.45,     15815.60,-46.05
,Nifty Next 50,     25945.70,     25911.55,     25932.20,     25308.95,     25500.60,-445.1
,Nifty Bank,     26970.60,     27017.20,     27029.95,     26635.25,     26794.25,-176.35
,NIFTY MIDCAP 100,     16372.25,     16364.85,     16364.85,     16102.75,     16214.65,-157.6
,Nifty 500,      8869.30,      8887.55,      8889.90,      8753.65,      8827.05,-42.25
,Nifty 100,     10888.40,     10917.00,     10921.65,     10743.75,     10845.85,-42.55
,Nifty Midcap 50,      4507.00,      4506.50,      4506.50,      4409.20,      4445.25,-61.75
,Nifty Realty,       223.10,       223.45,       224.20,       220.60,       222.55,-.55
,Nifty Infra,      2818.00,      2835.75,      2864.40,      2823.25,      2856.20,38.2
,Nifty Energy,     14335.10,     14455.50,     14651.65,     14329.00,     14618.45,283.35
,Nifty FMCG,     29451.45,     29542.75,     29568.30,     29003.25,     29309.10,-142.35
,Nifty MNC,     12861.65,     12855.75,     12858.80,     12594.95,     12671.75,-189.9
,Nifty Pharma,      8920.90,      8890.95,      8893.45,      8252.10,      8643.30,-277.6
,Nifty PSE,      3007.55,      3045.75,      3070.80,      3023.80,      3060.75,53.2
,Nifty PSU Bank,      2748.80,      2763.05,      2763.05,      2678.45,      2694.40,-54.4
,Nifty Serv Sector,     14942.45,     14974.20,     14979.40,     14760.40,     14874.10,-68.35
,India VIX,15.7725,15.7725,17.5350,12.4475,16.4600,0.6875
,Nifty Auto,      8223.35,      8228.20,      8236.70,      8057.15,      8132.55,-90.8
,Nifty Metal,      2733.65,      2739.50,      2740.65,      2653.75,      2677.10,-56.55
,Nifty Media,      2338.10,      2354.90,      2356.25,      2278.70,      2309.95,-28.15
,NIFTY SMLCAP 100,      5793.95,      5794.95,      5795.90,      5711.40,      5727.30,-66.65
,Nifty 200,      5596.55,      5609.30,      5610.90,      5520.80,      5571.10,-25.45
,Nifty Div Opps 50,      2508.35,      2521.25,      2523.20,      2493.95,      2512.30,3.95
,Nifty Commodities,      3120.50,      3136.70,      3141.65,      3088.30,      3117.40,-3.1
,Nifty Consumption,      4725.95,      4732.80,      4735.20,      4640.75,      4677.70,-48.25
,Nifty Fin Service,     11304.75,     11315.05,     11320.65,     11138.10,     11213.90,-90.85
,Nifty50 Div Point,       127.28,       127.28,       127.28,       127.28,       127.28,0
,Nifty100 Liq 15,      3562.80,      3578.25,      3578.55,      3468.90,      3503.25,-59.55
,Nifty CPSE,      1861.70,      1892.80,      1910.60,      1870.60,      1896.80,35.1
,Nifty GrowSect 15,      6114.45,      6130.30,      6133.20,      5957.55,      6039.60,-74.85
,Nifty50 PR 2x Lev,      4400.90,      4428.15,      4429.35,      4297.55,      4382.40,-18.5
,Nifty50 PR 1x Inv,       421.75,       420.45,       426.75,       420.40,       422.65,.9
,Nifty50 TR 2x Lev,      5589.60,      5624.25,      5625.75,      5458.35,      5566.10,-23.5
,Nifty50 TR 1x Inv,       374.30,       373.20,       378.75,       373.15,       375.15,.85
,Nifty50 Value 20,      5251.75,      5281.85,      5284.40,      5208.60,      5267.80,16.05
,Nifty Mid Liq 15,      3800.25,      3794.80,      3794.80,      3708.45,      3753.35,-46.9
,Nifty Pvt Bank,     15386.40,     15416.85,     15429.10,     15201.20,     15299.05,-87.35
,NIFTY100 Qualty30,      2602.75,      2611.20,      2611.55,      2563.45,      2584.35,-18.4
,Nifty GS 8 13Yr,      1828.60,      1828.97,      1828.97,      1824.91,      1825.03,-3.57
,Nifty GS 10Yr,      1694.62,      1694.96,      1694.96,      1691.32,      1693.10,-1.52
,Nifty GS 10Yr Cln,       908.25,       908.25,       908.25,       906.28,       907.24,-1.01
,Nifty GS 4 8Yr,      1958.17,      1958.57,      1958.74,      1955.32,      1955.89,-2.28
,Nifty GS 11 15Yr,      1912.94,      1913.33,      1913.33,      1909.40,      1910.84,-2.1
,Nifty GS 15YrPlus,      2058.44,      2058.86,      2058.86,      2053.24,      2053.24,-5.2
,Nifty GS Compsite,      1868.94,      1869.32,      1869.32,      1863.90,      1864.27,-4.67

,ADVANCES,642
,DECLINES,1158
,UNCHANGED,104

,Total securities that have hit their price bands today,222

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       221.25,       219.00,-1.02,3090.09
,DRREDDY,EQ,      2667.25,      2563.35,-3.9,1657.96
,RELIANCE,EQ,      1224.20,      1244.45,1.65,1179.23
,ITC,EQ,       277.90,       280.10,0.79,1045.46
,AXISBANK,EQ,       695.00,       686.60,-1.21,749.52
,ICICIBANK,EQ,       343.95,       342.15,-0.52,698.11
,SBIN,EQ,       267.10,       262.95,-1.55,616.9
,JETAIRWAYS,EQ,       225.90,       232.55,2.94,555.46
,MARUTI,EQ,      7017.50,      6930.05,-1.25,536.01
,ONGC,EQ,       132.15,       135.00,2.16,519.6
,HDFC,EQ,      1900.70,      1874.90,-1.36,495.71
,IBULHSGFIN,EQ,       656.60,       639.35,-2.63,459.53
,LT,EQ,      1227.60,      1243.10,1.26,449.7
,HDFCBANK,EQ,      2110.20,      2100.65,-0.45,440.08
,NESTLEIND,EQ,     10628.80,     10535.45,-0.88,434.85
,SUNPHARMA,EQ,       440.90,       422.90,-4.08,433.19
,ASHOKLEY,EQ,        84.45,        79.95,-5.33,429.68
,BAJFINANCE,EQ,      2609.20,      2561.10,-1.84,419.08
,INFY,EQ,       740.05,       741.95,0.26,413.08
,ZEEL,EQ,       433.45,       431.35,-0.48,408.54
,TCS,EQ,      2044.60,      2029.70,-0.73,392.17
,M&M,EQ,       634.40,       627.55,-1.08,359.88
,TATASTEEL,EQ,       482.55,       467.50,-3.12,352.33
,DIVISLAB,EQ,      1637.45,      1621.35,-0.98,342.59
,TECHM,EQ,       805.90,       799.65,-0.78,341.37

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       327.85,       315.65,3.87
,NTPC,EQ,       136.25,       131.25,3.81
,POWERGRID,EQ,       181.50,       174.95,3.74
,INFRATEL,EQ,       306.90,       297.20,3.26
,GAIL,EQ,       317.75,       307.95,3.18

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       266.90,       280.65,-4.9
,SUNPHARMA,EQ,       422.90,       440.90,-4.08
,DRREDDY,EQ,      2563.35,      2667.25,-3.9
,TATASTEEL,EQ,       467.50,       482.55,-3.12
,VEDL,EQ,       147.30,       151.75,-2.93

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.35,                   615329.30,18361
,21STCENMGM,EQ,        18.95,                    22041.55,1183
,3IINFOTECH,EQ,         2.75,                  5047465.10,1848441
,3MINDIA,EQ,     20908.85,                 16216230.85,772
,3PLAND,EQ,        10.90,                    18773.85,1818
,5PAISA,EQ,       239.25,                   976906.85,4079
,63MOONS,EQ,        73.45,                  9450506.25,126940
,8KMILES,EQ,       106.95,                 31082401.90,287633
,A2ZINFRA,EQ,        12.75,                   696570.75,54633
,AAKASH,SM,        18.00,                  6096000.00,338000
,AARON,SM,        44.00,                   391500.00,9000
,AARTIDRUGS,EQ,       584.75,                  4169592.30,7219
,AARTIIND,EQ,      1426.30,                417494791.70,287012
,AARVEEDEN,EQ,        20.90,                    44676.95,2144
,AARVI,SM,        46.00,                    92000.00,2000
,AAVAS,EQ,       897.45,                  8359127.55,9335
,ABAN,EQ,        49.70,                 19544045.00,389563
,ABBOTINDIA,EQ,      7442.45,                 40145271.40,5351
,ABFRL,EQ,       218.15,                409355718.15,1883635
,ABGSHIP,BZ,         1.45,                    20569.30,13701
,ABSLNN50ET,EQ,       265.00,                     1590.00,6
,ACCELYA,EQ,       929.10,                  2721233.25,2913
,ACE,EQ,        75.65,                  7662999.00,101230
,ACEINTEG,SM,        24.25,                   145500.00,6000
,ADANIENT,EQ,       119.80,                536451823.35,4509378
,ADANIGAS,EQ,        96.90,                 34322176.40,358062
,ADANIGREEN,EQ,        31.00,                 13756213.60,438733
,ADANIPOWER,EQ,        39.35,                623110328.90,16027848
,ADANITRANS,EQ,       214.40,                 15197974.85,70824
,ADFFOODS,EQ,       214.80,                  2153293.75,10006
,ADHUNIK,EQ,         1.45,                   108875.65,76064
,ADHUNIKIND,EQ,        40.90,                   642494.00,15760
,ADLABS,EQ,         9.15,                   505432.30,54887
,ADORWELD,EQ,       309.15,                  3656039.65,11734
,ADROITINFO,EQ,        15.65,                    17708.90,1128
,ADSL,EQ,        10.15,                   122051.25,11952
,ADVANIHOTR,EQ,        60.40,                   460534.80,7522
,ADVENZYMES,EQ,       159.20,                 25035963.15,157822
,AEGISCHEM,EQ,       176.55,                 24762309.90,135949
,AGARIND,EQ,       167.95,                  3184528.75,19565
,AGCNET,EQ,        86.85,                   755696.60,8911
,AGLSL,EQ,        59.00,                   187479.35,3190
,AGRITECH,EQ,        49.30,                   680966.75,13938
,AGROPHOS,SM,        55.50,                  3999300.00,72000
,AHLADA,SM,       116.10,                   606200.00,5000
,AHLEAST,EQ,       238.95,                   223492.45,937
,AHLUCONT,EQ,       261.15,                   842319.70,3209
,AHLWEST,EQ,       316.50,                    58249.70,178
,AIAENG,EQ,      1695.55,                 15629620.20,9308
,AIFL,EQ,        11.65,                  1653974.90,140182
,AIONJSW,EQ,        31.10,                   534476.95,17178
,AIRAN,SM,        54.30,                  1890125.00,35000
,AISL,SM,        65.10,                   156240.00,2400
,AJANTPHARM,EQ,       974.25,                431271286.95,441647
,AJMERA,EQ,       157.25,                  9307518.55,58583
,AJOONI,SM,        27.80,                  1841000.00,68000
,AKASH,SM,        74.75,                   149500.00,2000
,AKG,SM,        32.50,                   260000.00,8000
,AKSHARCHEM,EQ,       315.35,                   635990.80,2026
,AKSHOPTFBR,EQ,        18.45,                  8810998.05,477657
,AKZOINDIA,EQ,      1697.60,                  4815894.15,2849
