,07-Feb-2019
The Nifty witnessed an intraday movement of about 74.5 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30954.86
, Traded Quantity (in Lakhs), 19264.8
, Number of Trades, 12212603
, Total Market Capitalisation (Rs. Crores), 14120324.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        29.75,                 15884378.95,535012
,ALBERTDAVD,EQ,       401.55,                  5642889.50,14533
,ALBK,EQ,        42.60,                411067996.75,9596358
,ALCHEM,BE,         2.10,                    51134.05,24040
,ALEMBICLTD,EQ,        40.90,                  4455333.65,109042
,ALICON,EQ,       523.50,                  1048078.30,2003
,ALKALI,EQ,        45.50,                    97629.40,2139
,ALKEM,EQ,      1887.35,                181111794.30,95793
,ALKYLAMINE,EQ,       771.50,                  1811747.40,2355
,ALLCARGO,EQ,       100.65,                  8207878.25,80461
,ALLSEC,EQ,       181.85,                   270260.05,1489
,ALMONDZ,EQ,        21.85,                    46045.15,2082
,ALOKTEXT,EQ,         3.70,                 13728011.75,4083536
,ALPA,EQ,        24.15,                   895939.25,37237
,ALPHAGEO,EQ,       434.25,                  1787472.05,4112
,AMARAJABAT,EQ,       783.00,                261640507.40,331461
,AMBER,EQ,       703.55,                  1959289.75,2800
,AMBIKCO,EQ,      1138.65,                  1245089.70,1092
,AMDIND,EQ,        20.05,                   339990.45,16861
,AMJLAND,EQ,        19.25,                   171489.85,9183
,AMRUTANJAN,EQ,       312.00,                  4544654.75,14468
,ANANTRAJ,EQ,        31.10,                  5716679.95,183275
,ANDHRABANK,EQ,        24.45,                 12388876.30,506172
,ANDHRACEMT,EQ,         4.00,                   411210.40,104941
,ANDHRSUGAR,EQ,       318.65,                  7207792.15,22645
,ANGIND,BE,         1.15,                     3315.45,2883
,ANIKINDS,EQ,        14.30,                   150567.00,10359
,ANKITMETAL,BE,          .55,                    58325.60,114804
,ANSALAPI,EQ,        10.10,                  1054789.15,104877
,ANSALHSG,EQ,        10.50,                  1428189.50,135311
,ANTGRAPHIC,BE,          .50,                    27373.90,57654
,APARINDS,EQ,       622.60,                  1851470.40,2989
,APCL,EQ,       104.90,                   196295.00,1898
,APCOTEXIND,EQ,       445.35,                  2495581.40,5503
,APEX,EQ,       311.70,                 25929149.00,81687
,APLAPOLLO,EQ,      1101.50,                  3512565.65,3197
,APLLTD,EQ,       574.05,                  7773832.55,13456
,APOLLO,EQ,        99.30,                  1653124.90,16568
,APOLLOHOSP,EQ,      1295.85,                396494973.25,305098
,APOLLOTYRE,EQ,       207.45,                766761453.35,3735779
,APOLSINHOT,BE,       925.45,                    96899.35,106
,APTECHT,EQ,       163.80,                 43898114.80,263602
,ARCHIDPLY,EQ,        37.05,                   138637.10,3708
,ARCHIES,EQ,        27.55,                  1236225.40,45194
,ARCOTECH,EQ,         4.80,                   675200.40,139189
,ARIES,EQ,        89.35,                  1136148.55,12734
,ARIHANT,EQ,        30.85,                    67652.95,2241
,ARIHANTSUP,EQ,        49.25,                   784141.40,15927
,ARMANFIN,EQ,       387.45,                   705342.25,1851
,AROGRANITE,EQ,        47.65,                   303729.85,6362
,ARROWGREEN,BE,        84.00,                  1387853.65,16389
,ARROWTEX,EQ,        14.75,                   281324.35,19319
,ARSHIYA,EQ,        28.90,                  1469346.65,50977
,ARSSINFRA,EQ,        29.25,                   775788.35,26060
,ARVIND,EQ,        81.50,                429700308.80,5265164
,ARVSMART,EQ,       115.00,                  1715793.20,14822
,ASAHIINDIA,EQ,       255.10,                  1423556.70,5570
,ASAHISONG,EQ,       156.15,                  1656633.20,10509
,ASAL,EQ,        52.50,                   373367.55,7168
,ASHAPURMIN,EQ,        20.70,                  2012977.55,96946
,ASHIANA,EQ,       106.20,                  1694766.05,15868
,ASHIMASYN,BE,        12.60,                    88023.70,7035
,ASHOKA,EQ,       117.20,                  5909202.55,50056
,ASIANHOTNR,EQ,       145.05,                   247932.95,1706
,ASIANTILES,EQ,       153.10,                  5180206.55,33821
,ASLIND,SM,        29.60,                   740800.00,24000
,ASPINWALL,EQ,       153.95,                    63982.20,421
,ASSAMCO,EQ,         1.60,                   315731.85,199411
,ASTEC,EQ,       499.50,                  3129773.65,6237
,ASTERDM,EQ,       156.95,                  2929190.70,18713
,ASTRAL,EQ,      1158.70,                287347032.40,245977
,ASTRAMICRO,EQ,        75.20,                  2464479.50,32745
,ASTRAZEN,EQ,      1794.70,                306600185.70,170126
,ASTRON,EQ,       104.85,                 11511211.45,109070
,ATFL,EQ,       580.10,                  1371138.70,2365
,ATLANTA,EQ,        15.20,                   184269.60,12123
,ATLASCYCLE,BE,        69.05,                    91294.90,1308
,ATUL,EQ,      3494.50,                 15605642.05,4462
,ATULAUTO,EQ,       296.55,                  5683289.95,19327
,AUBANK,EQ,       598.00,                127867002.15,213275
