,20-Feb-2019
The Nifty witnessed an intraday movement of about 106.3 points.The closing index was 1.24 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26796.15
, Traded Quantity (in Lakhs), 13784.65
, Number of Trades, 10894020
, Total Market Capitalisation (Rs. Crores), 13623884.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10604.35,     10655.45,     10752.70,     10646.40,     10735.45,131.1
,NIFTY50 EQL Wgt,     11550.75,     11610.85,     11750.25,     11608.15,     11725.50,174.75
,NIFTY100 EQL Wgt,     12154.45,     12210.80,     12350.15,     12210.80,     12325.10,170.65
,NIFTY100 LowVol30,      8274.75,      8301.95,      8381.50,      8295.20,      8365.20,90.45
,NIFTY Alpha 50,     11379.60,     11426.60,     11512.80,     11409.30,     11499.40,119.8
,NIFTY MIDCAP 150,      5790.50,      5813.55,      5847.60,      5802.85,      5841.25,50.75
,NIFTY SMLCAP 50,      2738.15,      2749.90,      2774.70,      2748.30,      2770.95,32.8
,NIFTY SMLCAP 250,      4711.85,      4724.40,      4765.70,      4723.90,      4758.30,46.45
,NIFTY MIDSML 400,      5409.95,      5429.25,      5465.00,      5427.50,      5459.20,49.25
,NIFTY200 QUALTY30,      9230.30,      9260.20,      9305.60,      9227.30,      9293.45,63.15
,Nifty IT,     15333.50,     15382.45,     15651.70,     15330.80,     15609.45,275.95
,Nifty Next 50,     25337.50,     25434.10,     25732.05,     25434.10,     25677.30,339.8
,Nifty Bank,     26684.85,     26786.00,     26985.50,     26732.65,     26955.50,270.65
,NIFTY MIDCAP 100,     16132.75,     16210.65,     16324.80,     16180.50,     16299.65,166.9
,Nifty 500,      8742.30,      8781.40,      8858.05,      8780.00,      8845.60,103.3
,Nifty 100,     10731.10,     10781.45,     10882.30,     10778.30,     10865.10,134
,Nifty Midcap 50,      4429.25,      4451.00,      4473.25,      4432.70,      4468.05,38.8
,Nifty Realty,       228.10,       229.50,       231.10,       226.15,       228.70,.6
,Nifty Infra,      2851.65,      2866.55,      2907.75,      2866.30,      2900.80,49.15
,Nifty Energy,     14411.05,     14515.70,     14747.90,     14477.90,     14679.15,268.1
,Nifty FMCG,     29009.70,     29124.35,     29175.70,     28907.60,     29053.40,43.7
,Nifty MNC,     12606.80,     12658.05,     12788.90,     12658.05,     12771.20,164.4
,Nifty Pharma,      8552.70,      8600.95,      8621.00,      8551.45,      8606.35,53.65
,Nifty PSE,      3068.45,      3091.15,      3144.80,      3083.80,      3130.15,61.7
,Nifty PSU Bank,      2696.30,      2711.00,      2748.30,      2711.00,      2742.65,46.35
,Nifty Serv Sector,     14677.45,     14743.80,     14890.90,     14738.10,     14871.30,193.85
,India VIX,18.4675,18.4675,18.4675,15.2375,17.0550,-1.4125
,Nifty Auto,      8073.40,      8111.70,      8132.45,      8072.90,      8121.50,48.1
,Nifty Metal,      2689.70,      2701.15,      2772.55,      2701.15,      2765.00,75.3
,Nifty Media,      2357.25,      2363.95,      2386.25,      2336.60,      2361.20,3.95
,NIFTY SMLCAP 100,      5685.80,      5704.80,      5754.75,      5704.30,      5745.80,60
,Nifty 200,      5515.60,      5541.55,      5591.75,      5539.85,      5583.15,67.55
,Nifty Div Opps 50,      2477.70,      2490.00,      2516.10,      2483.55,      2510.45,32.75
,Nifty Commodities,      3112.25,      3129.30,      3201.00,      3127.75,      3187.05,74.8
,Nifty Consumption,      4632.85,      4652.50,      4661.90,      4630.90,      4656.50,23.65
,Nifty Fin Service,     11158.10,     11207.95,     11299.35,     11187.75,     11287.70,129.6
,Nifty50 Div Point,       127.28,       127.28,       127.28,       127.28,       127.28,0
,Nifty100 Liq 15,      3485.10,      3511.45,      3580.20,      3509.30,      3571.55,86.45
,Nifty CPSE,      1901.10,      1916.60,      1956.50,      1908.70,      1944.10,43
,Nifty GrowSect 15,      5974.70,      6003.30,      6012.70,      5958.40,      5991.20,16.5
,Nifty50 PR 2x Lev,      4281.55,      4322.05,      4400.35,      4314.90,      4386.65,105.1
,Nifty50 PR 1x Inv,       427.70,       425.70,       426.10,       421.80,       422.50,-5.2
,Nifty50 TR 2x Lev,      5438.00,      5489.45,      5588.90,      5480.40,      5571.50,133.5
,Nifty50 TR 1x Inv,       379.60,       377.85,       378.15,       374.40,       375.00,-4.6
,Nifty50 Value 20,      5152.05,      5179.65,      5247.45,      5171.20,      5235.20,83.15
,Nifty Mid Liq 15,      3727.95,      3745.05,      3772.60,      3729.55,      3767.15,39.2
,Nifty Pvt Bank,     15239.80,     15300.00,     15392.90,     15268.30,     15376.05,136.25
,NIFTY100 Qualty30,      2543.75,      2554.35,      2569.70,      2547.45,      2566.65,22.9
,Nifty GS 8 13Yr,      1824.17,      1824.54,      1827.17,      1824.54,      1825.99,1.82
,Nifty GS 10Yr,      1691.97,      1692.31,      1696.16,      1692.31,      1694.93,2.96
,Nifty GS 10Yr Cln,       905.90,       905.90,       907.97,       905.90,       907.31,1.41
,Nifty GS 4 8Yr,      1957.56,      1957.97,      1960.20,      1957.97,      1959.82,2.26
,Nifty GS 11 15Yr,      1907.34,      1907.73,      1909.57,      1907.73,      1908.59,1.25
,Nifty GS 15YrPlus,      2050.66,      2051.09,      2052.78,      2051.09,      2052.49,1.83
,Nifty GS Compsite,      1864.57,      1864.95,      1867.88,      1864.95,      1867.05,2.48

,ADVANCES,1119
,DECLINES,676
,UNCHANGED,105

,Total securities that have hit their price bands today,230

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       212.85,       217.85,2.35,1047.94
,KSCL,EQ,       420.35,       417.35,-0.71,1033.96
,TCS,EQ,      1904.80,      1914.75,0.52,886.51
,RELIANCE,EQ,      1216.10,      1234.35,1.5,773.6
,TATASTEEL,EQ,       470.95,       491.15,4.29,752.99
,IBULHSGFIN,EQ,       614.30,       645.20,5.03,534.76
,HDFC,EQ,      1853.45,      1870.50,0.92,493.78
,RELCAPITAL,EQ,       151.45,       144.95,-4.29,432.1
,SBIN,EQ,       262.90,       267.70,1.83,413.13
,AXISBANK,EQ,       693.05,       700.35,1.05,404.07
,DRREDDY,EQ,      2536.90,      2525.15,-0.46,395
,INFY,EQ,       724.30,       740.70,2.26,382.87
,JUBLFOOD,EQ,      1341.30,      1292.50,-3.64,366.49
,MARUTI,EQ,      6804.55,      6849.90,0.67,365.68
,ICICIBANK,EQ,       343.25,       345.20,0.57,327.06
,JINDALSTEL,EQ,       141.25,       149.80,6.05,318.03
,RELINFRA,EQ,       122.25,       119.60,-2.17,314.32
,LT,EQ,      1258.30,      1276.55,1.45,310.19
,JSWSTEEL,EQ,       266.85,       274.05,2.7,280.42
,VEDL,EQ,       153.10,       160.25,4.67,273.24
,PAGEIND,EQ,     21627.65,     20566.10,-4.91,270.76
,BAJFINANCE,EQ,      2559.80,      2606.15,1.81,269.21
,TECHM,EQ,       791.00,       812.40,2.71,267.56
,HDFCBANK,EQ,      2084.05,      2108.35,1.17,256.25
,INDUSINDBK,EQ,      1480.50,      1480.80,0.02,250.09

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,       645.20,       614.30,5.03
,VEDL,EQ,       160.25,       153.10,4.67
,ADANIPORTS,EQ,       354.75,       339.55,4.48
,TATASTEEL,EQ,       491.15,       470.95,4.29
,ONGC,EQ,       144.05,       139.15,3.52

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2623.75,      2636.85,-0.5
,BAJAJ-AUTO,EQ,      2774.70,      2787.85,-0.47
,DRREDDY,EQ,      2525.15,      2536.90,-0.46
,ZEEL,EQ,       445.05,       446.45,-0.31
,HINDUNILVR,EQ,      1733.50,      1737.95,-0.26

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.95,                  1522444.50,43426
,21STCENMGM,EQ,        18.95,                     1606.05,86
,3IINFOTECH,EQ,         3.45,                 24129118.10,7391922
,3MINDIA,EQ,     21971.90,                 47908972.35,2185
,3PLAND,EQ,        10.20,                      711.60,70
,5PAISA,EQ,       230.60,                  1718443.05,7473
,63MOONS,EQ,        74.35,                  9282351.75,123623
,8KMILES,EQ,       111.15,                 28103557.40,253610
,A2ZINFRA,EQ,        13.95,                  7887488.70,552298
,AARON,SM,        44.40,                   262200.00,6000
,AARTIDRUGS,EQ,       585.60,                  2331568.90,4001
,AARTIIND,EQ,      1308.65,                555131628.35,420513
,AARVEEDEN,EQ,        20.25,                    86341.50,4288
,AARVI,SM,        45.00,                    90000.00,2000
,AAVAS,EQ,       938.90,                 76136064.35,81520
,ABAN,EQ,        52.95,                 38906580.65,729983
,ABBOTINDIA,EQ,      7295.10,                 12833577.50,1760
,ABFRL,EQ,       218.45,                 89523516.55,414526
,ABGSHIP,BZ,         1.35,                    85611.75,63823
,ABSLRIF6RG,MF,         7.16,                   716000.00,100000
,ACCELYA,EQ,       919.10,                  1463114.40,1585
,ACCORD,SM,        23.25,                   134100.00,6000
,ACCURACY,SM,        58.95,                   471440.00,8000
,ACE,EQ,        73.90,                  8560043.10,116132
,ACEINTEG,SM,        24.25,                   144750.00,6000
,ADANIENT,EQ,       120.05,                447177285.80,3739081
,ADANIGAS,EQ,        95.75,                 39576569.90,414982
,ADANIGREEN,EQ,        30.95,                  6859017.65,220599
,ADANIPOWER,EQ,        39.55,                448990419.40,11657825
,ADANITRANS,EQ,       216.80,                 23635072.20,108672
,ADFFOODS,EQ,       220.90,                  8218098.05,37964
,ADHUNIK,EQ,         1.45,                   177607.65,125355
,ADHUNIKIND,EQ,        39.75,                   839299.20,21988
,ADLABS,EQ,         9.15,                  3275857.80,369378
,ADORWELD,EQ,       306.10,                  2735058.50,8937
,ADROITINFO,EQ,        15.00,                    55339.60,3518
,ADSL,EQ,        11.70,                   134665.95,11389
,ADVANIHOTR,EQ,        62.70,                   905226.60,14139
,ADVENZYMES,EQ,       157.85,                 21060418.80,132746
,AEGISCHEM,EQ,       185.50,                 11048528.45,61019
,AGARIND,EQ,       163.00,                   418439.20,2571
,AGCNET,EQ,        86.95,                   304610.50,3621
,AGLSL,EQ,        58.15,                    42403.70,715
,AGRITECH,EQ,        51.65,                   267298.55,5149
,AGROPHOS,SM,        56.70,                  7501500.00,132000
,AHLADA,SM,       118.00,                   258000.00,2000
,AHLEAST,EQ,       230.10,                   265629.40,1146
,AHLUCONT,EQ,       256.85,                   611054.05,2386
,AHLWEST,EQ,       346.80,                   430103.45,1241
,AIAENG,EQ,      1615.20,                 15048776.70,9284
,AIFL,EQ,        11.05,                  1563815.10,148309
,AIONJSW,EQ,        32.65,                   772747.50,24018
,AIRAN,SM,        52.80,                   132000.00,2500
,AJANTPHARM,EQ,       970.65,                299651696.00,310199
,AJMERA,EQ,       162.75,                 21878661.55,133570
,AKASH,SM,        79.75,                    79750.00,1000
,AKG,SM,        32.60,                   260800.00,8000
,AKSHARCHEM,EQ,       325.25,                   445841.60,1372
,AKSHOPTFBR,EQ,        18.60,                  5210829.90,280470
