,19-Feb-2019
The Nifty witnessed an intraday movement of about 137.2 points.The closing index was 0.34 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26096.69
, Traded Quantity (in Lakhs), 12782.76
, Number of Trades, 9921435
, Total Market Capitalisation (Rs. Crores), 13466305.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        26.85,                 14048501.30,518819
,ALBERTDAVD,EQ,       384.80,                  1837684.00,4798
,ALBK,EQ,        41.55,                 97397983.15,2326021
,ALCHEM,BE,         1.95,                    23674.65,12146
,ALEMBICLTD,EQ,        40.30,                  2527801.30,62576
,ALICON,EQ,       519.25,                  1243843.85,2364
,ALKALI,EQ,        40.45,                   326555.10,8322
,ALKEM,EQ,      1847.20,                 28238159.70,15294
,ALKYLAMINE,EQ,       701.90,                  2821471.50,3986
,ALLCARGO,EQ,       100.45,                  6125458.30,60642
,ALLSEC,EQ,       180.75,                  2275201.65,12554
,ALMONDZ,EQ,        22.30,                    76411.80,3583
,ALOKTEXT,EQ,         3.55,                  7462261.60,2151767
,ALPA,EQ,        22.00,                   457899.75,21180
,ALPHAGEO,EQ,       370.35,                  1001353.80,2680
,AMARAJABAT,EQ,       738.30,                115917652.25,156946
,AMBER,EQ,       635.70,                 12902893.20,20370
,AMBIKCO,EQ,      1127.70,                  4127841.90,3625
,AMDIND,EQ,        18.25,                   221272.30,12092
,AMJLAND,EQ,        17.90,                    41094.05,2294
,AMJUMBO,SM,        54.20,                  1411000.00,26000
,AMRUTANJAN,EQ,       283.35,                  1017929.50,3558
,ANANTRAJ,EQ,        29.85,                  9004619.75,301395
,ANDHRABANK,EQ,        23.40,                 12420670.80,531711
,ANDHRACEMT,EQ,         3.75,                   258865.65,68783
,ANDHRSUGAR,EQ,       300.30,                 18017502.20,59279
,ANGIND,BE,         1.30,                      130.00,100
,ANIKINDS,EQ,        16.70,                   195284.55,11996
,ANKITMETAL,BE,          .45,                    11044.60,23130
,ANSALAPI,EQ,        10.95,                  8023931.70,724009
,ANSALHSG,EQ,        12.75,                 15996619.40,1272755
,ANTGRAPHIC,BE,          .50,                    22229.60,45678
,APARINDS,EQ,       622.65,                  1821168.35,2923
,APCL,EQ,        96.85,                   700723.90,7151
,APCOTEXIND,EQ,       447.15,                   371513.95,830
,APEX,EQ,       283.00,                 20466335.30,71922
,APLAPOLLO,EQ,      1102.45,                 11704491.10,10666
,APLLTD,EQ,       539.55,                  4557768.40,8413
,APOLLO,EQ,        98.10,                  1412250.55,14443
,APOLLOHOSP,EQ,      1116.40,               1095276193.60,969990
,APOLLOTYRE,EQ,       202.40,                569019788.05,2764354
,APOLSINHOT,BE,       907.10,                  2591623.25,2830
,APTECHT,EQ,       156.75,                 48061407.25,300409
,ARCHIDPLY,EQ,        37.85,                  1666626.00,42891
,ARCHIES,EQ,        21.55,                  1402485.55,65371
,ARCOTECH,EQ,         4.30,                   369316.95,84971
,ARIES,EQ,        71.35,                  1961900.25,27256
,ARIHANT,EQ,        28.35,                   173089.10,5982
,ARIHANTSUP,EQ,        46.75,                  1131586.75,23768
,ARMANFIN,EQ,       372.95,                   597294.50,1606
,AROGRANITE,EQ,        43.40,                   389334.95,9007
,ARROWGREEN,BE,        75.45,                   253045.70,3301
,ARROWTEX,EQ,        14.75,                   112882.20,7824
,ARSHIYA,EQ,        28.35,                   405283.35,14289
,ARSSINFRA,EQ,        35.05,                  1130270.70,32188
,ARVIND,EQ,        76.20,                 92005089.70,1206113
,ARVSMART,EQ,       116.10,                  7835669.20,66938
,ASAHIINDIA,EQ,       250.10,                  6191041.70,24702
,ASAHISONG,EQ,       142.05,                   258521.10,1814
,ASAL,EQ,        42.95,                   166932.90,3867
,ASHAPURMIN,EQ,        19.80,                   460887.95,23426
,ASHIANA,EQ,       107.65,                  3235016.45,29729
,ASHIMASYN,BE,        12.30,                   159498.30,13152
,ASHOKA,EQ,       109.10,                 10238866.00,93302
,ASIANHOTNR,EQ,       139.10,                   393965.25,2819
,ASIANTILES,EQ,       158.10,                 20848976.30,132328
,ASPINWALL,EQ,       145.30,                   106847.05,721
,ASSAMCO,EQ,         2.50,                   217175.00,86870
,ASTEC,EQ,       484.85,                  1125773.70,2307
,ASTERDM,EQ,       158.20,                 25959014.30,165384
,ASTRAL,EQ,      1122.05,                 34289381.55,30725
,ASTRAMICRO,EQ,        72.25,                  3241035.45,44643
