,25-Feb-2019
The Nifty witnessed an intraday movement of about 99.05 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33085.71
, Traded Quantity (in Lakhs), 22069.73
, Number of Trades, 12052303
, Total Market Capitalisation (Rs. Crores), 13873617.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        28.80,                 19203466.70,659171
,ALBERTDAVD,EQ,       387.70,                   958799.60,2466
,ALBK,EQ,        45.05,                212432053.55,4692895
,ALCHEM,BE,         1.85,                    26509.35,14691
,ALEMBICLTD,EQ,        40.75,                  5240163.70,128019
,ALICON,EQ,       543.35,                  1790151.25,3315
,ALKALI,EQ,        40.50,                   245762.35,6009
,ALKEM,EQ,      1779.40,                212836434.30,119469
,ALKYLAMINE,EQ,       718.60,                  2205096.45,3069
,ALLCARGO,EQ,       100.40,                 10854599.70,106994
,ALLSEC,EQ,       180.30,                  4334706.15,24451
,ALMONDZ,EQ,        22.20,                    29605.60,1349
,ALOKTEXT,EQ,         3.40,                  6368490.10,1846488
,ALPA,EQ,        24.25,                  1268655.80,52176
,ALPHAGEO,EQ,       408.05,                  2082593.75,5109
,AMARAJABAT,EQ,       732.10,                194528088.45,264694
,AMBER,EQ,       685.15,                  2900883.55,4260
,AMBIKCO,EQ,      1135.25,                  1531215.35,1348
,AMDIND,EQ,        22.80,                   173497.15,7875
,AMJLAND,EQ,        20.35,                   134207.95,6675
,AMRUTANJAN,EQ,       301.30,                  7364123.40,24210
,AMTEKAUTO,BZ,         2.80,                   427353.45,154931
,ANANTRAJ,EQ,        32.55,                 38738052.00,1178024
,ANDHRABANK,EQ,        25.05,                  9008742.10,358538
,ANDHRACEMT,EQ,         4.85,                  1331891.60,275466
,ANDHRSUGAR,EQ,       344.25,                160815666.95,464580
,ANGIND,BE,         1.20,                     3802.65,3281
,ANIKINDS,EQ,        16.50,                    39118.80,2366
,ANKITMETAL,BE,          .45,                     3684.70,7487
,ANSALAPI,EQ,        12.10,                 12459176.35,983861
,ANSALHSG,EQ,        15.00,                 25322509.35,1566215
,ANTGRAPHIC,BE,          .50,                     2878.45,5786
,APARINDS,EQ,       625.10,                  4141356.45,6630
,APCL,EQ,       103.55,                   159435.05,1543
,APCOTEXIND,EQ,       462.40,                   917091.85,1976
,APEX,EQ,       311.40,                 30227873.95,98236
,APLAPOLLO,EQ,      1174.65,                 17976121.75,15247
,APLLTD,EQ,       539.60,                 12750088.85,23986
,APOLLO,EQ,       101.75,                  1195619.00,11689
,APOLLOHOSP,EQ,      1187.45,               1606636374.75,1374338
,APOLLOTYRE,EQ,       211.25,                518371283.95,2445738
,APOLSINHOT,BE,       917.00,                   253010.50,272
,APTECHT,EQ,       162.25,                 20796562.25,128026
,ARCHIDPLY,EQ,        40.15,                  1664657.25,41848
,ARCHIES,EQ,        23.05,                  1479299.10,63983
,ARCOTECH,EQ,         4.90,                   112058.10,22869
,ARIES,EQ,        79.40,                  6664317.55,85073
,ARIHANT,EQ,        27.75,                   249894.80,8995
,ARIHANTSUP,EQ,        50.60,                 27656995.30,561013
,ARMANFIN,EQ,       364.70,                   506821.85,1383
,AROGRANITE,EQ,        47.85,                  1651618.40,34641
,ARROWGREEN,BE,        76.45,                   362974.70,4750
,ARROWTEX,EQ,        19.20,                  1407983.00,72128
,ARSHIYA,EQ,        28.20,                  1073318.50,38096
,ARSSINFRA,EQ,        34.20,                   192261.00,5552
,ARVIND,EQ,        75.55,                129828864.00,1720378
,ARVSMART,EQ,       121.85,                  3422244.95,27791
,ASAHIINDIA,EQ,       251.60,                  1193629.50,4739
,ASAHISONG,EQ,       160.60,                   403278.00,2536
,ASAL,EQ,        48.05,                    94826.40,1974
,ASHAPURMIN,EQ,        21.35,                   706418.40,32633
,ASHIANA,EQ,       114.50,                  6791221.75,59112
,ASHIMASYN,BE,        13.20,                   109610.55,8288
,ASHOKA,EQ,       119.05,                 13179734.00,108976
,ASIANHOTNR,EQ,       139.60,                   528590.00,3765
,ASIANTILES,EQ,       175.10,                 14583591.90,83559
,ASPINWALL,EQ,       148.25,                   451017.45,3021
,ASSAMCO,EQ,         2.70,                  6379539.30,2302749
