,05-Feb-2019
The Nifty witnessed an intraday movement of about 70 points.The closing index was 0.2 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28844.23
, Traded Quantity (in Lakhs), 21766.17
, Number of Trades, 11170844
, Total Market Capitalisation (Rs. Crores), 13911393.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBK,EQ,        42.45,                132365536.40,3099175
,ALCHEM,BE,         2.30,                    34175.50,14738
,ALEMBICLTD,EQ,        41.00,                  5383260.95,130612
,ALICON,EQ,       533.80,                   317973.85,592
,ALKALI,EQ,        48.35,                   443309.10,8980
,ALKEM,EQ,      1899.65,                 27265312.50,14334
,ALKYLAMINE,EQ,       756.95,                  1829127.45,2405
,ALLCARGO,EQ,       100.95,                  9532379.70,94776
,ALLSEC,EQ,       182.10,                  6104628.80,33934
,ALMONDZ,EQ,        23.80,                     3493.45,155
,ALOKTEXT,EQ,         3.55,                 17839466.10,5078743
,ALPA,EQ,        23.70,                   250889.60,10376
,ALPHAGEO,EQ,       445.85,                  1956270.10,4370
,AMARAJABAT,EQ,       770.75,                256284894.95,331248
,AMBER,EQ,       694.95,                 10082423.75,14543
,AMBIKCO,EQ,      1142.90,                  1171268.70,1027
,AMDIND,EQ,        19.75,                   190665.05,9157
,AMJLAND,EQ,        19.05,                    98883.55,5188
,AMJUMBO,SM,        59.70,                   907000.00,16000
,AMRUTANJAN,EQ,       301.90,                  4654099.10,15381
,ANANTRAJ,EQ,        31.60,                  7528423.30,237213
,ANDHRABANK,EQ,        24.40,                 23417085.65,939936
,ANDHRACEMT,EQ,         3.95,                   657726.75,162289
,ANDHRSUGAR,EQ,       320.20,                  7903308.50,24470
,ANGIND,BE,         1.05,                     2712.50,2586
,ANIKINDS,EQ,        15.50,                   184972.10,11735
,ANKITMETAL,BE,          .50,                    42891.00,87925
,ANSALAPI,EQ,        10.05,                  2049153.80,203842
,ANSALHSG,EQ,        11.30,                  1327802.80,114034
,ANTGRAPHIC,BE,          .50,                    14823.85,32755
,APARINDS,EQ,       600.20,                  3618721.55,6037
,APCL,EQ,       102.35,                   268989.60,2597
,APCOTEXIND,EQ,       435.00,                  3209444.85,7384
,APEX,EQ,       311.80,                 12268740.30,38567
,APLAPOLLO,EQ,      1135.00,                  6047072.75,5326
,APLLTD,EQ,       582.70,                  8537585.65,14549
,APOLLO,EQ,       104.90,                  1055878.40,9986
,APOLLOHOSP,EQ,      1290.85,                546048051.60,423344
,APOLLOTYRE,EQ,       202.50,               1269540570.80,6299857
,APOLSINHOT,BE,       943.90,                   313290.45,329
,APTECHT,EQ,       166.35,                 20959862.25,125741
,ARCHIDPLY,EQ,        36.80,                   521818.50,14204
,ARCHIES,EQ,        27.50,                  2020604.10,72188
,ARCOTECH,EQ,         5.30,                   293800.70,54662
,ARIES,EQ,        89.35,                  1702659.65,18990
,ARIHANT,EQ,        29.65,                    93989.60,3043
,ARIHANTSUP,EQ,        50.10,                   752515.85,15167
,ARMANFIN,EQ,       378.40,                   303907.75,803
,AROGRANITE,EQ,        49.05,                   170838.10,3466
,ARROWGREEN,BE,        91.80,                   319372.30,3439
,ARROWTEX,EQ,        15.70,                   143534.10,9175
,ARSHIYA,EQ,        28.80,                  3018857.35,104280
,ARSSINFRA,EQ,        28.55,                   256996.00,8851
,ARVIND,EQ,        85.30,                101185752.30,1183497
,ARVSMART,EQ,       115.20,                  3990354.60,33979
,ASAHIINDIA,EQ,       255.05,                  7368671.35,28862
,ASAHISONG,EQ,       179.90,                  1937674.50,10811
,ASAL,EQ,        52.10,                   197133.75,3743
,ASHAPURMIN,EQ,        22.05,                  2378450.85,103642
,ASHIANA,EQ,       111.45,                  3095400.40,27546
,ASHIMASYN,BE,        12.60,                   441220.00,34711
,ASHOKA,EQ,       117.30,                  9775950.20,82958
,ASIANHOTNR,EQ,       147.05,                   102662.00,700
,ASIANTILES,EQ,       152.35,                  5139462.95,33327
,ASPINWALL,EQ,       153.95,                   321706.95,2131
,ASSAMCO,EQ,         1.70,                    46384.50,27285
,ASTEC,EQ,       500.50,                 14779094.80,30038
,ASTERDM,EQ,       154.10,                  3431662.60,22262
,ASTRAL,EQ,      1140.75,                 29378325.00,25572
,ASTRAMICRO,EQ,        75.10,                  5298333.40,69696
,ASTRAZEN,EQ,      1589.55,                  8025488.60,5002
,ASTRON,EQ,       107.10,                  6972974.30,64183
,ATFL,EQ,       587.20,                  2023203.00,3453
,ATLANTA,EQ,        16.80,                   426812.90,25143
,ATLASCYCLE,BE,        71.10,                    99014.60,1377
,ATUL,EQ,      3472.55,                 25954803.55,7419
,ATULAUTO,EQ,       292.90,                  2963582.90,10041
,AUBANK,EQ,       587.55,                108592979.30,187494
,AURIONPRO,EQ,       119.25,                  5194971.20,43900
,AUSOMENT,EQ,        35.50,                    89376.15,2549
,AUTOAXLES,EQ,      1149.20,                  7070021.45,6087
,AUTOIND,EQ,        57.85,                   393028.10,6687
,AUTOLITIND,EQ,        34.15,                   260297.45,7656
,AVADHSUGAR,EQ,       361.50,                 10647369.55,29356
,AVANTIFEED,EQ,       323.90,                 80381614.30,243204
,AVG,SM,        79.55,                  7712100.00,102000
,AVONMPL,SM,        43.40,                   176400.00,4000
,AVTNPL,EQ,        22.00,                   550473.05,24810
,AXISCADES,EQ,        53.45,                  7123777.65,131118
,AXISGOLD,EQ,      2921.90,                   863496.80,296
,AXISNIFTY,EQ,      1110.41,                    11104.10,10
,AYMSYNTEX,EQ,        35.15,                   467227.55,13226
,BAFNAPHARM,EQ,         8.20,                   245808.45,28685
,BAGFILMS,EQ,         4.20,                   567663.90,134651
,BAJAJCON,EQ,       347.75,                  6717753.85,19296
,BAJAJELEC,EQ,       474.85,                 39058186.75,82038
,BAJAJHIND,EQ,         7.65,                 18941460.65,2458286
,BAJAJHLDNG,EQ,      2928.60,                 39697451.45,13382
,BALAJITELE,EQ,        85.55,                  2203100.15,25879
,BALAMINES,EQ,       391.70,                 18090026.30,46017
,BALKRISHNA,EQ,        37.35,                   232028.35,6010
,BALKRISIND,EQ,       796.25,                287070813.25,359712
,BALLARPUR,EQ,         3.00,                  4127253.15,1347921
,BALMLAWRIE,EQ,       183.85,                  3927138.45,21316
,BALPHARMA,EQ,        72.00,                   310218.85,4303
,BALRAMCHIN,EQ,       108.10,                974251890.95,9134914
,BANARBEADS,EQ,        45.25,                    56213.40,1240
,BANARISUG,EQ,      1465.10,                  2067271.00,1428
,BANCOINDIA,EQ,       171.00,                  2435934.10,14086
,BANG,EQ,        54.30,                  1612612.15,29488
,BANKBEES,EQ,      2773.01,                  2501053.22,902
,BANKINDIA,EQ,        90.95,                824174264.90,8987658
,BANSAL,SM,        15.35,                    15350.00,1000
,BANSWRAS,EQ,        65.70,                   242072.25,3686
,BARTRONICS,EQ,         5.95,                   217545.65,35620
,BASF,EQ,      1327.10,                  9759890.25,7217
,BASML,EQ,       193.70,                    26528.85,136
,BATAINDIA,EQ,      1177.90,                840318763.15,712476
,BAYERCROP,EQ,      4343.15,                 48598856.45,11241
,BBL,EQ,      1071.80,                  8346144.95,7746
,BBTC,EQ,      1173.40,                 67657739.90,57040
,BBTCL,SM,        46.00,                   138000.00,3000
,BCG,EQ,         2.85,                  1745476.05,603006
,BCONCEPTS,SM,        43.80,                  2104500.00,45000
,BDL,EQ,       244.75,                  3518925.30,14220
,BEARDSELL,EQ,        17.00,                    14707.55,860
,BEDMUTHA,EQ,        19.85,                    79636.15,3963
,BEML,EQ,       763.70,               1544869139.65,1997519
,BEPL,EQ,        66.70,                 19086246.25,282420
,BERGEPAINT,EQ,       307.80,                237945477.75,773522
,BETA,SM,        76.25,                   366080.00,4800
,BFINVEST,EQ,       208.90,                 13403337.40,63646
,BFUTILITIE,EQ,       186.40,                 33775672.60,179954
,BGLOBAL,BE,         2.65,                     6794.75,2570
,BGRENERGY,EQ,        49.70,                  3268883.95,64785
,BHAGERIA,EQ,       217.35,                  3534791.10,16153
,BHAGYANGR,EQ,        32.45,                   209333.25,6392
,BHAGYAPROP,EQ,        29.75,                   280294.15,9410
,BHANDARI,EQ,         1.80,                   140354.85,76923
,BHARATFIN,EQ,       959.95,                863092817.95,903062
,BHARATFORG,EQ,       487.65,                303679702.90,618809
,BHARATGEAR,EQ,       152.30,                  1092285.30,7113
,BHARATRAS,EQ,      3962.90,                  4991780.35,1245
,BHARATWIRE,EQ,        58.05,                   978807.20,17037
,BIGBLOC,EQ,        28.65,                   148721.55,5115
,BIL,EQ,       223.95,                   260908.05,1170
,BILENERGY,BE,          .90,                   223361.85,244029
,BINANIIND,EQ,        37.05,                  3849471.30,100392
,BINDALAGRO,EQ,        13.80,                   705225.30,50925
,BIOFILCHEM,BE,         6.50,                     7238.35,1176
,BIRLACABLE,EQ,       164.50,                  9678045.45,58561
,BIRLACORPN,EQ,       447.00,                 58724629.35,129812
,BIRLAMONEY,BE,        44.80,                   648215.35,14621
,BKMINDST,EQ,         5.65,                    19609.70,3437
