,28-Feb-2019
The Nifty witnessed an intraday movement of about 80.85 points.The closing index was 0.13 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42785.02
, Traded Quantity (in Lakhs), 19875.2
, Number of Trades, 12033081
, Total Market Capitalisation (Rs. Crores), 13871449.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALCHEM,BE,         1.90,                    38205.75,20125
,ALEMBICLTD,EQ,        41.00,                  6952099.25,170419
,ALICON,EQ,       567.60,                   620401.35,1092
,ALKALI,EQ,        39.50,                    62536.65,1576
,ALKEM,EQ,      1743.80,                 46912183.45,26812
,ALKYLAMINE,EQ,       710.75,                  1604839.35,2244
,ALLCARGO,EQ,        99.55,                  6928403.75,69369
,ALLSEC,EQ,       180.65,                   407733.30,2260
,ALMONDZ,EQ,        23.50,                   276104.25,12240
,ALOKTEXT,EQ,         3.40,                  4857736.55,1435936
,ALPA,EQ,        23.25,                   215261.40,9241
,ALPHAGEO,EQ,       400.80,                  1019088.90,2516
,AMARAJABAT,EQ,       716.90,                365716261.55,509730
,AMBER,EQ,       674.65,                  1780968.05,2632
,AMBIKCO,EQ,      1124.70,                  1579856.95,1401
,AMDIND,EQ,        21.80,                    79616.25,3672
,AMJLAND,EQ,        19.70,                    55971.65,2857
,AMRUTANJAN,EQ,       294.10,                  4677129.10,15831
,ANANTRAJ,EQ,        31.40,                  4900257.05,156277
,ANDHRABANK,EQ,        24.55,                  5985780.15,243654
,ANDHRACEMT,EQ,         4.65,                   269741.20,57671
,ANDHRSUGAR,EQ,       337.80,                 30825788.05,92201
,ANIKINDS,EQ,        16.75,                    32720.25,2030
,ANKITMETAL,BE,          .50,                    12465.20,27466
,ANSALAPI,EQ,        11.00,                  1381235.30,125261
,ANSALHSG,BE,        13.35,                   675790.25,50673
,ANTGRAPHIC,BE,          .50,                    12363.10,25914
,APARINDS,EQ,       631.60,                  1144345.40,1812
,APCL,EQ,       114.35,                    74581.70,654
,APCOTEXIND,EQ,       453.95,                  6079537.35,13394
,APEX,EQ,       304.85,                 13208295.05,43238
,APLAPOLLO,EQ,      1198.95,                 25894615.35,21770
,APLLTD,EQ,       554.95,                 51112791.95,92229
,APOLLO,EQ,       101.45,                  1309614.80,12963
,APOLLOHOSP,EQ,      1140.90,                794935561.35,695585
