symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2025-08-25,5100.50,5063.00,0.0074,0.0206,0.0205,0.3917
ADANIPORTS,2025-08-25,1340.40,1341.20,-0.0006,0.0219,0.0219,0.4184
BEL,2025-08-25,372.05,374.85,-0.0075,0.0206,0.0205,0.3917
BOSCHLTD,2025-08-25,39085.00,39325.00,-0.0061,0.0158,0.0158,0.3019
CUMMINSIND,2025-08-25,3880.40,3916.00,-0.0091,0.0196,0.0196,0.3745
DIXON,2025-08-25,17018.00,16893.00,0.0074,0.0246,0.0246,0.4700
DLF,2025-08-25,772.00,762.55,0.0123,0.0204,0.0204,0.3897
DMART,2025-08-25,4725.30,4698.80,0.0056,0.0180,0.0180,0.3439
ETERNAL,2025-08-25,319.25,319.10,0.0005,0.0256,0.0255,0.4872
HAL,2025-08-25,4457.60,4472.90,-0.0034,0.0222,0.0221,0.4222
HINDALCO,2025-08-25,715.85,704.25,0.0163,0.0184,0.0184,0.3515
INDHOTEL,2025-08-25,785.55,788.85,-0.0042,0.0198,0.0197,0.3764
INDIGO,2025-08-25,6116.00,6086.50,0.0048,0.0178,0.0178,0.3401
LT,2025-08-25,3603.10,3595.80,0.0020,0.0155,0.0154,0.2942
MANAPPURAM,2025-08-25,268.90,266.75,0.0080,0.0237,0.0236,0.4509
MARUTI,2025-08-25,14452.00,14349.00,0.0072,0.0140,0.0139,0.2656
PAYTM,2025-08-25,1276.10,1264.60,0.0091,0.0309,0.0309,0.5903
PGEL,2025-08-25,584.00,563.70,0.0354,0.0386,0.0386,0.7375
SBIN,2025-08-25,816.35,816.25,0.0001,0.0144,0.0144,0.2751
SUZLON,2025-08-25,57.43,58.51,-0.0186,0.0284,0.0284,0.5426
TRENT,2025-08-25,5423.00,5418.00,0.0009,0.0249,0.0248,0.4738
