symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2026-01-05,5168.45,5205.25,-0.0071,0.0176,0.0176,0.3362
ADANIPORTS,2026-01-05,1493.00,1489.50,0.0023,0.0185,0.0185,0.3534
BEL,2026-01-05,413.80,403.15,0.0261,0.0186,0.0187,0.3573
BOSCHLTD,2026-01-05,39170.90,39423.35,-0.0064,0.0153,0.0152,0.2904
CUMMINSIND,2026-01-05,4309.65,4482.10,-0.0392,0.0174,0.0176,0.3362
DIXON,2026-01-05,12050.75,12165.40,-0.0095,0.0233,0.0233,0.4451
DLF,2026-01-05,711.35,698.20,0.0187,0.0179,0.0179,0.3420
DMART,2026-01-05,3646.30,3719.85,-0.0200,0.0158,0.0158,0.3019
ETERNAL,2026-01-05,281.80,284.15,-0.0083,0.0225,0.0224,0.4280
HAL,2026-01-05,4526.10,4417.80,0.0242,0.0193,0.0193,0.3687
HINDALCO,2026-01-05,931.70,925.70,0.0065,0.0169,0.0169,0.3229
INDHOTEL,2026-01-05,744.20,748.65,-0.0060,0.0175,0.0175,0.3343
INDIGO,2026-01-05,5102.50,5106.00,-0.0007,0.0174,0.0174,0.3324
LENSKART,2026-01-05,445.25,452.15,-0.0154,0.0128,0.0128,0.2445
LT,2026-01-05,4150.40,4163.40,-0.0031,0.0134,0.0133,0.2541
MANAPPURAM,2026-01-05,307.10,311.15,-0.0131,0.0213,0.0213,0.4069
MARUTI,2026-01-05,17155.00,16960.00,0.0114,0.0126,0.0126,0.2407
PAYTM,2026-01-05,1340.10,1340.60,-0.0004,0.0269,0.0269,0.5139
PGEL,2026-01-05,630.60,602.70,0.0453,0.0339,0.0340,0.6496
SBIN,2026-01-05,1005.55,998.95,0.0066,0.0127,0.0127,0.2426
SUZLON,2026-01-05,53.67,54.28,-0.0113,0.0244,0.0243,0.4643
TRENT,2026-01-05,4429.80,4409.55,0.0046,0.0219,0.0219,0.4184
