symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2015-11-05,43360,27017,62.31
ADANIPORTS,EQ,2015-11-05,2305175,1066325,46.26
BEL,EQ,2015-11-05,100160,49096,49.02
BOSCHLTD,EQ,2015-11-05,22513,11263,50.03
CUMMINSIND,EQ,2015-11-05,149805,76815,51.28
DLF,EQ,2015-11-05,9484039,2672527,28.18
HINDALCO,EQ,2015-11-05,4001045,913930,22.84
INDHOTEL,D1,2015-11-05,1305,1085,83.14
INDHOTEL,EQ,2015-11-05,258886,165534,63.94
LT,EQ,2015-11-05,2482285,1382855,55.71
MANAPPURAM,EQ,2015-11-05,1313290,707860,53.90
MARUTI,EQ,2015-11-05,406256,207331,51.03
PGEL,EQ,2015-11-05,194559,97281,50.00
SBIN,EQ,2015-11-05,8906564,2876222,32.29
SBIN,N2,2015-11-05,19,19,100.00
SBIN,N3,2015-11-05,80,80,100.00
SBIN,N5,2015-11-05,869,810,93.21
SUZLON,EQ,2015-11-05,40203586,17762766,44.18
TRENT,EQ,2015-11-05,11329,5830,51.46
