symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-07-14,273514,177121,64.76
ADANIPORTS,EQ,2023-07-14,2043145,785151,38.43
BEL,EQ,2023-07-14,9577719,4171312,43.55
BOSCHLTD,EQ,2023-07-14,87365,64347,73.65
CUMMINSIND,EQ,2023-07-14,324663,123314,37.98
DIXON,EQ,2023-07-14,460530,93296,20.26
DLF,EQ,2023-07-14,2539514,1301749,51.26
DMART,EQ,2023-07-14,369703,219215,59.29
HAL,EQ,2023-07-14,1194888,359929,30.12
HINDALCO,EQ,2023-07-14,10801568,5339876,49.44
INDHOTEL,EQ,2023-07-14,2523610,1480248,58.66
INDIGO,EQ,2023-07-14,512467,226864,44.27
LT,EQ,2023-07-14,845623,519618,61.45
MANAPPURAM,EQ,2023-07-14,5740839,2336368,40.70
MARUTI,EQ,2023-07-14,498441,299855,60.16
PAYTM,EQ,2023-07-14,1504323,401529,26.69
PGEL,EQ,2023-07-14,58501,14291,24.43
SBIN,EQ,2023-07-14,12190152,5866794,48.13
SUZLON,EQ,2023-07-14,81517693,27262743,33.44
TRENT,EQ,2023-07-14,268107,137114,51.14
