,13-Jul-12,,,,,,
The Nifty witnessed an intraday movement of about 50.3 points.The closing index was 0.15 % down as compared to the previous closing index.,,,,,,,

, Traded Value (Rs. In Crores),8869.08,,,,,
, Traded Quantity (in Lakhs),5844.24,,,,,
, Number of Trades,4664599,,,,,
, Total Market Capitalisation (Rs. Crores),6026961.39,,,,,

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,5235.25,5242.75,5267.15,5216.85,5227.25,-8
,CNX IT,5737.65,5736.3,5778.1,5698.75,5713.9,-23.75
,CNX Nifty Junior,10226,10228.15,10277.35,10171.95,10185.95,-40.05
,S&P CNX Defty,3253.4,3265.2,3289.75,3262.25,3273.7,20.3
,BANK Nifty,10616.3,10654.9,10715.15,10568.75,10594.45,-21.85
,CNX Midcap,7451.25,7451.65,7494.65,7423.6,7431.85,-19.4
,S&P CNX 500,4164.6,4168.85,4189.85,4152.8,4156.75,-7.85
,CNX 100,5132.6,5139,5162.55,5115.25,5122.9,-9.7
,Nifty Midcap 50,2155.7,2156,2170.45,2144.25,2147.75,-7.95
,CNX Realty,234.05,234.45,235.8,229.9,230.9,-3.15
,CNX Infra,2434,2441.55,2453.15,2422.75,2424.95,-9.05
,CNX Energy,7474.8,7465.6,7514.7,7451.35,7465.45,-9.35
,CNX FMCG,12484.75,12473,12546.25,12445.95,12523.35,38.6
,CNX MNC,5169.1,5175.85,5194.35,5142.45,5149.5,-19.6
,CNX Pharma,5251.1,5260.55,5268,5242.15,5247.45,-3.65
,CNX PSE,2930.25,2928.8,2946.45,2928.75,2936.7,6.45
,CNX PSU Bank,3314.15,3317.25,3334.9,3269.4,3277.95,-36.2
,CNX Service,6277,6292.5,6324.2,6256.2,6266.45,-10.55
,India VIX,18.71,18.71,18.71,17.62,18.26,-0.45
,CNX AUTO,3921.55,3921.6,3945.3,3909.3,3919.35,-2.2
,CNX Metal,2864.6,2873.15,2886.95,2828.3,2831.75,-32.85
,CNX Media,1272,1272.5,1296.05,1272.5,1281.3,9.3
,CNX Smallcap,3393.05,3398.5,3428.2,3390.6,3394.75,1.7
,CNX 200,2652.2,2655.15,2667.9,2642.6,2646.35,-5.85
,CNX Dividend Oppt,1529.5,1529.4,1539.15,1528.9,1531.05,1.55
,CNX Commodities,2397.05,2399.55,2411.5,2380,2382.9,-14.15
,CNX Consumption,1927.8,1929.55,1939.2,1922.4,1925.15,-2.65
,CNX Finance,4293.9,4307.1,4332,4279.6,4289.65,-4.25
,Nifty Dividend,48.46,48.92,48.92,48.92,48.92,0.46

,ADVANCES,676,,,,,
,DECLINES,810,,,,,
,UNCHANGED,80,,,,,

,Total securities that have hit their price bands today,80,,,,,

,TOP 25 Securities Today :,,,,,,
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
,INFY,EQ,2264.4,2229.8,-1.53,749.65,
,TCS,EQ,1236,1249.4,1.08,455.21
,SBIN,EQ,2221.2,2178.45,-1.92,375.09
,MCDOWELL-N,EQ,765.8,774.95,1.19,315.08
,AXISBANK,EQ,1047.8,1034.7,-1.25,211.16
,ICICIBANK,EQ,927.85,926.05,-0.19,201.21
,TATAMOTORS,EQ,236.8,235.95,-0.36,194.29
,RELIANCE,EQ,721.2,718.5,-0.37,187.47
,TATASTEEL,EQ,428.5,425,-0.82,142
,HDFCBANK,EQ,580.1,587.05,1.2,139.6
,HDIL,EQ,89.45,86.55,-3.24,116.07
,LT,EQ,1407.6,1404.75,-0.2,107.32
,JPASSOCIAT,EQ,78.45,77.55,-1.15,104.38
,JINDALSTEL,EQ,444.9,431.1,-3.1,97.96
,SINTEX,EQ,64.5,66.65,3.33,95.85
,RELCAPITAL,EQ,366.2,360.1,-1.67,95.19
,RELINFRA,EQ,553.65,546.85,-1.23,83.6
,JSWSTEEL,EQ,700.8,691.5,-1.33,83.43
,BHARTIARTL,EQ,306.3,307.95,0.54,76.92
,HINDALCO,EQ,123.1,120.4,-2.19,76.15
,DLF,EQ,210.75,208.15,-1.23,73.95
,JUBLFOOD,EQ,1245.55,1231.15,-1.16,73.15
,MARUTI,EQ,1195.6,1183.95,-0.97,70.3
,UNITECH,EQ,25.25,24.4,-3.37,69.34
,CAIRN,EQ,314.1,316.15,0.65,67.84

,Top Five S&P CNX Nifty Gainers:,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,
,HDFCBANK,EQ,587.05,580.1,1.2,
,HEROMOTOCO,EQ,2086.75,2062.9,1.16,
,TCS,EQ,1249.4,1236,1.08,
,ONGC,EQ,285.1,282.5,0.92,
,GAIL,EQ,363.3,360.45,0.79,

,Top Five S&P CNX Nifty Losers:,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,431.1,444.9,-3.1
,TATAPOWER,EQ,98.6,100.85,-2.23
,HINDALCO,EQ,120.4,123.1,-2.19
,SBIN,EQ,2178.45,2221.2,-1.92
,INFOSYS,EQ,2229.8,2264.4,-1.53

,Securities Price Volume Data in Normal market,,,,
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,91.8,11529609.65,123807
,3IINFOTECH,EQ,12.6,60847638.45,4758270
,3MINDIA,EQ,3882.7,1139223.25,294
,A2ZMES,EQ,99.1,27461441.85,271018
,AANJANEYA,EQ,525.95,40883450.65,77555
,AARTIDRUGS,EQ,121.95,295591.05,2427
,AARTIIND,EQ,71.7,407166.75,5660
,AARVEEDEN,EQ,35.3,27362.4,776
,ABAN,EQ,428,522142827.5,1227021
,ABB,EQ,782.8,12265026.85,15576
,ABBOTINDIA,EQ,1478.9,1327112.85,895
,ABCIL,EQ,74.1,446101.3,5965
,ABGSHIP,EQ,366.55,42343136.35,115532
,ABHISHEK,EQ,7.65,14526.4,1906
,ACE,EQ,29.15,844672.7,28790
,ACROPETAL,EQ,14.35,548808.1,37757
,ADANIPOWER,EQ,50.25,87821258,1731346
,ADFFOODS,EQ,48.05,308098.1,6445
,ADHUNIK,EQ,33.4,2611539.5,77456
,ADORWELD,EQ,141.65,773858.5,5451
,ADSL,EQ,26.55,1760788.25,65322
,ADVANIHOTR,EQ,27.05,54.1,2
,ADVANTA,EQ,485.2,5257511.45,10741
,AEGISCHEM,EQ,123.65,1933668.4,15504
,AFL,EQ,34,282835.9,8275
,AFTEK,EQ,8.65,2271541.5,260547
,AGCNET,EQ,266.3,1823354.2,6785
,AGRODUTCH,EQ,4.9,63318.95,13195
,AHLEAST,EQ,240.5,71561.9,297
,AHLUCONT,EQ,52.55,4506681.35,85848
,AHLWEST,EQ,127.8,41435.8,324
,AHMEDFORGE,EQ,135.7,1359274.3,9930
,AIAENG,EQ,329.25,409260.15,1249
,AICHAMP,BE,21.2,11886.2,551
,AIL,EQ,402.65,14156717.85,34959
,AJANTPHARM,EQ,709.95,17317687.05,24277
,AJMERA,EQ,111.85,1401985.85,12270
,AKSHOPTFBR,EQ,16.4,1986913.2,121643
,AKZOINDIA,EQ,896.6,2286203.4,2567
,ALBK,EQ,142.85,187762098.3,1303087
,ALCHEM,EQ,59.35,202800.9,3443
,ALEMBICLTD,EQ,15.65,735367.75,46810
,ALICON,EQ,61.5,128654,2086
,ALKALI,EQ,29,78951.25,2682
,ALKYLAMINE,EQ,101.85,45506.25,448
,ALLCARGO,EQ,140,8119006.3,58084
,ALLSEC,BE,29.45,1112742.85,37687
,ALMONDZ,EQ,8,6288,782
,ALOKTEXT,EQ,17.45,81867247.9,4688047
,ALPA,EQ,8,20563.75,2571
,ALPHAGEO,BE,47.5,38787.1,814
,ALPINEHOU,EQ,10.5,10.5,1
,ALPSINDUS,EQ,1.95,19988.3,10086
,ALSTOMT&D,EQ,195.1,2693469.05,13716
,AMAR,EQ,144.2,13306379.85,92305
,AMARAJABAT,EQ,306,3692001.2,12008
,AMARJOTHI,EQ,40,3940,104
,AMBIKCO,EQ,176.95,73118.4,421
,AMDIND,EQ,15.2,39235,2550
,AMLSTEEL,EQ,9.5,700,75
,AMRUTANJAN,EQ,788.65,10588348.1,13322
,AMTEKAUTO,EQ,108.45,11718710.05,106728
,AMTEKINDIA,EQ,92.95,27743824.55,294517
