symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2018-06-05,1176.5,1182.1,1149,1161.15,1159,1185.25,51268,59672259.2,4703,INE117A01022
ADANIPORTS,EQ,2018-06-05,378.75,379.35,371.5,373.6,374,378.55,2767220,1035189102.3,53879,INE742F01042
BEL,EQ,2018-06-05,112.15,114.35,111,113,113.8,112.1,5875524,662752067.1,42982,INE263A01024
BOSCHLTD,EQ,2018-06-05,18289.9,18289.9,17840.4,17912.45,17875.7,18142.9,6950,125124862.6,3122,INE323A01026
CUMMINSIND,EQ,2018-06-05,680.3,695.1,674.4,676.15,678,682.25,294399,200873017.45,12948,INE298A01020
DIXON,EQ,2018-06-05,3230,3246.55,3150,3181.65,3171,3230.9,13868,44193138.65,2385,INE935N01012
DLF,EQ,2018-06-05,198.65,201.35,195.1,199.55,200.2,199.15,5729316,1133539719.1,39367,INE271C01023
DMART,EQ,2018-06-05,1483.4,1499,1426.15,1453.75,1452.05,1486.4,1286074,1888512659.95,75393,INE192R01011
HAL,EQ,2018-06-05,1019,1019.05,989.95,993.75,993,1018.55,21152,21096227.2,2056,INE066F01012
HINDALCO,EQ,2018-06-05,240.2,243.2,237.7,242.05,242,241.6,5490029,1320029398.2,50375,INE038A01020
INDHOTEL,EQ,2018-06-05,136.7,137.05,131,133.2,133.7,136.35,1035967,138100058.25,7723,INE053A01029
INDIGO,EQ,2018-06-05,1179.95,1189,1155.1,1176.5,1185,1177.2,734856,861441385.95,26158,INE646L01027
LT,EQ,2018-06-05,1361.8,1361.8,1326.6,1333.75,1333.05,1357.85,1905926,2547455936.2,101379,INE018A01030
MANAPPURAM,EQ,2018-06-05,102.5,104.8,100.75,103.65,104.15,103.25,4070418,418579643.3,37820,INE522D01027
MARUTI,EQ,2018-06-05,8750,8830,8680,8810.4,8825,8749.85,400886,3520921844.4,43772,INE585B01010
PGEL,EQ,2018-06-05,220,229.65,211.1,211.55,211.1,221.8,88762,19043798.8,1094,INE457L01011
SBIN,EQ,2018-06-05,260.9,265.25,260.9,263.55,263.25,263,14102731,3715720448.05,121807,INE062A01020
SUZLON,EQ,2018-06-05,8.1,8.3,7.75,7.85,7.85,8,29807171,236975764.55,15606,INE040H01021
TRENT,EQ,2018-06-05,322,332,315,329.95,330,322.1,75625,24509740.25,6315,INE849A01020
