symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2020-07-02,954.30,966.00,979.00,955.10,962.00,963.40,964.86,161482,1558.07,7188,40296,24.95
ADANIPORTS,EQ,2020-07-02,343.80,346.00,349.60,344.90,347.05,346.80,347.10,1204040,4179.28,17692,271518,22.55
BEL,EQ,2020-07-02,88.70,89.95,90.50,88.50,89.10,89.05,89.36,9120739,8150.08,35312,2628326,28.82
BOSCHLTD,EQ,2020-07-02,11289.45,11340.00,11995.00,11329.80,11900.00,11914.70,11730.51,72622,8518.93,16301,15631,21.52
CUMMINSIND,EQ,2020-07-02,397.20,401.65,405.00,394.05,397.15,397.80,398.66,446745,1780.99,8505,97458,21.82
DIXON,EQ,2020-07-02,5873.95,5988.00,5999.00,5831.30,5938.00,5958.00,5939.72,35779,2125.17,8498,14921,41.70
DLF,EQ,2020-07-02,150.25,151.20,154.10,150.00,153.00,152.85,152.16,5754433,8756.03,41425,886774,15.41
DMART,EQ,2020-07-02,2289.35,2302.00,2325.00,2285.00,2298.00,2295.50,2305.14,412115,9499.84,26293,244477,59.32
HAL,EQ,2020-07-02,763.70,766.00,788.90,754.70,766.00,775.30,768.67,95740,735.92,6244,23360,24.40
HINDALCO,EQ,2020-07-02,147.55,148.90,150.30,146.75,147.90,147.75,148.14,9519998,14103.06,62124,2724509,28.62
INDHOTEL,EQ,2020-07-02,79.20,79.50,81.15,79.00,79.35,79.35,79.95,1611191,1288.11,6976,589529,36.59
INDIGO,EQ,2020-07-02,995.65,1000.00,1018.95,995.00,1002.40,1001.85,1003.35,854915,8577.79,28659,196497,22.98
LT,EQ,2020-07-02,924.30,936.00,950.70,926.00,941.25,941.30,938.70,6542838,61417.64,142142,2093710,32.00
MANAPPURAM,EQ,2020-07-02,158.30,159.40,161.50,157.55,159.80,159.55,159.50,11323340,18060.27,52887,2413985,21.32
MARUTI,EQ,2020-07-02,5803.10,5850.00,5960.00,5762.80,5938.00,5948.45,5866.62,1470951,86295.17,109150,287700,19.56
PGEL,EQ,2020-07-02,43.95,44.05,44.80,43.10,44.20,44.10,44.06,11679,5.15,288,7877,67.45
SBIN,EQ,2020-07-02,184.80,185.65,188.00,184.00,185.60,185.45,186.13,52127613,97023.75,251208,7943823,15.24
SBIN,N2,2020-07-02,11080.00,11100.00,11100.00,10975.00,11043.00,11043.00,11013.75,196,21.59,33,182,92.86
SBIN,N5,2020-07-02,11229.49,11220.00,11239.80,11010.00,11059.00,11054.12,11101.24,3356,372.56,637,2777,82.75
SBIN,N6,2020-07-02,11179.95,11180.00,11180.00,10921.00,11000.00,11000.00,11018.81,16,1.76,8,14,87.50
SUZLON,EQ,2020-07-02,5.30,5.55,5.55,5.55,5.55,5.55,5.55,2297217,127.50,1592,2297217,100.00
TRENT,EQ,2020-07-02,614.35,616.05,630.00,606.85,610.00,610.45,617.80,164055,1013.54,7860,96140,58.60
