symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2016-07-04,33559,19239,57.33
ADANIPORTS,EQ,2016-07-04,5170996,2254358,43.60
BEL,EQ,2016-07-04,318531,168349,52.85
BOSCHLTD,EQ,2016-07-04,23061,10190,44.19
CUMMINSIND,EQ,2016-07-04,508523,447006,87.90
DLF,EQ,2016-07-04,19451557,4596273,23.63
HINDALCO,EQ,2016-07-04,5715305,1847605,32.33
INDHOTEL,EQ,2016-07-04,710847,296290,41.68
INDIGO,EQ,2016-07-04,389989,159383,40.87
LT,EQ,2016-07-04,1812035,709634,39.16
MANAPPURAM,EQ,2016-07-04,27129829,8632163,31.82
MANAPPURAM,N5,2016-07-04,58,58,100.00
MARUTI,EQ,2016-07-04,343648,173028,50.35
PGEL,EQ,2016-07-04,43114,19178,44.48
SBIN,EQ,2016-07-04,16534518,3792823,22.94
SBIN,N5,2016-07-04,112,109,97.32
SUZLON,EQ,2016-07-04,18517565,6702104,36.19
TRENT,EQ,2016-07-04,3240,1620,50.00
