symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2019-10-01,135969,68157,50.13
ADANIPORTS,EQ,2019-10-01,2532760,1094425,43.21
BEL,EQ,2019-10-01,10149956,2270940,22.37
BOSCHLTD,EQ,2019-10-01,31559,8259,26.17
CUMMINSIND,EQ,2019-10-01,248081,74663,30.10
DIXON,EQ,2019-10-01,6438,4385,68.11
DLF,EQ,2019-10-01,18836234,4111330,21.83
DMART,EQ,2019-10-01,567281,207733,36.62
HAL,EQ,2019-10-01,16077,11336,70.51
HINDALCO,EQ,2019-10-01,6163235,1151929,18.69
INDHOTEL,EQ,2019-10-01,532635,244809,45.96
INDIGO,EQ,2019-10-01,811298,296426,36.54
LT,EQ,2019-10-01,2578275,1277929,49.57
MANAPPURAM,EQ,2019-10-01,4817177,1873157,38.88
MARUTI,EQ,2019-10-01,1473158,123077,8.35
PGEL,EQ,2019-10-01,114715,57929,50.50
SBIN,EQ,2019-10-01,79350077,18323071,23.09
SBIN,N2,2019-10-01,8,8,100.00
SBIN,N5,2019-10-01,324,267,82.41
SBIN,N6,2019-10-01,12,12,100.00
SUZLON,EQ,2019-10-01,32586604,9656548,29.63
TRENT,EQ,2019-10-01,79281,43796,55.24
