,14-Aug-2017
The Nifty witnessed an intraday movement of about 66.2 points.The closing index was 0.86 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 23896.76
, Traded Quantity (in Lakhs), 14118.23
, Number of Trades, 9013070
, Total Market Capitalisation (Rs. Crores), 12768840.51

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9710.80,      9755.75,      9818.30,      9752.10,      9794.15,83.35
,Nifty IT,     10647.05,     10669.15,     10692.45,     10569.10,     10587.30,-59.75
,Nifty Next 50,     26873.85,     27094.40,     27512.90,     27087.50,     27464.10,590.25
,Nifty Bank,     23985.75,     24051.05,     24212.15,     24038.15,     24115.75,130
,Nifty MID100 Free,     17360.75,     17529.95,     17872.15,     17528.40,     17853.65,492.9
,Nifty 500,      8427.70,      8479.45,      8558.70,      8477.50,      8541.50,113.8
,Nifty 100,     10037.15,     10089.20,     10167.50,     10086.05,     10144.20,107.05
,Nifty Midcap 50,      4490.45,      4531.20,      4635.45,      4530.80,      4628.00,137.55
,Nifty Realty,       254.90,       259.40,       272.15,       258.45,       269.65,14.75
,Nifty Infra,      3257.20,      3279.70,      3317.20,      3266.10,      3308.35,51.15
,Nifty Energy,     12659.10,     12751.50,     12901.40,     12744.15,     12859.55,200.45
,Nifty FMCG,     24762.55,     24940.85,     24986.80,     24810.00,     24908.40,145.85
,Nifty MNC,     12571.55,     12670.80,     12782.10,     12653.50,     12737.05,165.5
,Nifty Pharma,      8521.35,      8494.05,      8786.35,      8483.65,      8758.10,236.75
,Nifty PSE,      3947.90,      3969.55,      4009.10,      3954.55,      4003.05,55.15
,Nifty PSU Bank,      3293.35,      3306.95,      3317.70,      3268.65,      3286.45,-6.9
,Nifty Serv Sector,     12888.90,     12926.90,     13006.40,     12923.10,     12949.75,60.85
,India VIX,15.1950,15.1950,15.1950,11.8575,14.3825,-0.8125
,Nifty Auto,     10457.75,     10538.55,     10640.10,     10538.55,     10600.15,142.4
,Nifty Metal,      3216.60,      3257.35,      3339.85,      3251.20,      3326.60,110
,Nifty Media,      2872.80,      2906.50,      2961.00,      2875.45,      2950.25,77.45
,Nifty SML100 Free,      7166.25,      7245.55,      7378.50,      7245.55,      7368.70,202.45
,Nifty 200,      5230.40,      5260.35,      5307.80,      5258.95,      5296.25,65.85
,Nifty Div Opps 50,      2411.60,      2425.20,      2442.10,      2420.60,      2436.35,24.75
,Nifty Commodities,      3621.15,      3650.75,      3713.95,      3649.15,      3702.55,81.4
,Nifty Consumption,      4375.60,      4397.80,      4446.55,      4396.95,      4433.85,58.25
,Nifty Fin Service,      9837.35,      9867.70,      9964.90,      9862.35,      9909.40,72.05
,Nifty50 Div Point,        76.25,        76.25,        76.25,        76.25,        76.25,0
,Nifty100 Liq 15,      4235.50,      4265.95,      4317.85,      4262.50,      4306.35,70.85
,Nifty CPSE,      2365.70,      2378.85,      2403.45,      2374.55,      2397.45,31.75
,Nifty GrowSect 15,      5909.75,      5940.10,      6002.25,      5937.35,      5983.80,74.05
,Nifty50 PR 2x Lev,      4026.70,      4062.00,      4113.40,      4061.00,      4093.85,67.15
,Nifty50 PR 1x Inv,       434.65,       432.85,       432.90,       430.05,       431.10,-3.55
,Nifty50 TR 2x Lev,      4936.70,      4980.00,      5043.00,      4978.75,      5019.00,82.3
,Nifty50 TR 1x Inv,       392.50,       390.85,       390.90,       388.35,       389.30,-3.2
,Nifty50 Value 20,      4237.80,      4253.90,      4276.90,      4249.40,      4264.00,26.2
,Nifty Mid Liq 15,      3739.35,      3763.35,      3847.05,      3762.75,      3840.75,101.4
,Nifty Pvt Bank,     13400.50,     13439.15,     13546.90,     13433.90,     13499.45,98.95
,Nifty Quality 30,      2279.30,      2284.60,      2301.20,      2284.10,      2295.05,15.75
,Nifty GS 8 13Yr,      1733.89,      1734.21,      1735.59,      1732.10,      1732.29,-1.6
,Nifty GS 10Yr,      1658.40,      1658.70,      1660.14,      1656.50,      1656.78,-1.62
,Nifty GS 10Yr Cln,       990.61,       990.61,       991.49,       989.28,       989.45,-1.16
,Nifty GS 4 8Yr,      1803.20,      1803.56,      1803.78,      1801.33,      1801.99,-1.21
,Nifty GS 11 15Yr,      1810.23,      1810.58,      1811.78,      1808.33,      1808.82,-1.41
,Nifty GS 15YrPlus,      1942.13,      1942.51,      1942.51,      1942.51,      1942.51,.38
,Nifty GS Compsite,      1771.84,      1772.18,      1773.17,      1770.12,      1770.41,-1.43

,ADVANCES,1379
,DECLINES,338
,UNCHANGED,49

,Total securities that have hit their price bands today,145

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       450.00,       471.80,4.84,946.35
,SBIN,EQ,       280.15,       278.20,-0.7,663.96
,DLF,EQ,       155.55,       181.65,16.78,540
,TATASTEEL,EQ,       596.75,       623.75,4.52,529.01
,COCHINSHIP,EQ,       528.15,       542.30,2.68,524.87
,RELIANCE,EQ,      1546.25,      1573.05,1.73,483.32
,BEML,EQ,      1556.20,      1749.70,12.43,476.03
,HDFC,EQ,      1695.35,      1713.95,1.1,370.12
,VEDL,EQ,       279.10,       289.15,3.6,367.72
,YESBANK,EQ,      1739.40,      1778.50,2.25,351.74
,RELCAPITAL,EQ,       748.90,       774.20,3.38,331.53
,HDIL,EQ,        58.45,        63.05,7.87,317.3
,TATAMOTORS,EQ,       374.50,       375.40,0.24,308.96
,JPASSOCIAT,EQ,        21.25,        22.95,8,301.34
,ITC,EQ,       271.50,       271.25,-0.09,263.14
,KOTAKBANK,EQ,       992.20,       982.60,-0.97,262.51
,SUZLON,EQ,        15.25,        17.40,14.1,257.17
,IBREALEST,EQ,       224.90,       227.75,1.27,249.81
,MARUTI,EQ,      7457.40,      7608.45,2.03,249.66
,HINDALCO,EQ,       221.00,       229.15,3.69,248.09
,ICICIBANK,EQ,       286.95,       291.80,1.69,244.91
,BPCL,EQ,       484.30,       478.35,-1.23,229.58
,CIPLA,EQ,       541.40,       570.05,5.29,229.16
,BANKBARODA,EQ,       142.25,       142.25,0,228.16
,BAJFINANCE,EQ,      1695.40,      1710.90,0.91,225.45

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       570.05,       541.40,5.29
,SUNPHARMA,EQ,       471.80,       450.00,4.84
,TATASTEEL,EQ,       623.75,       596.75,4.52
,TATAPOWER,EQ,        79.55,        76.55,3.92
,HINDALCO,EQ,       229.15,       221.00,3.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BOSCHLTD,EQ,     22138.10,     22623.20,-2.14
,BHARTIARTL,EQ,       408.55,       414.55,-1.45
,HCLTECH,EQ,       860.10,       872.30,-1.4
,BPCL,EQ,       478.35,       484.30,-1.23
,TCS,EQ,      2469.40,      2496.05,-1.07

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.60,                  1481771.15,42264
,3IINFOTECH,EQ,         4.00,                  7022138.95,1804803
,3MINDIA,EQ,     13860.65,                 34205804.00,2457
,549,MF,        16.10,                       16.10,1
,63MOONS,EQ,        62.55,                 17045211.35,266370
,8KMILES,EQ,       486.25,                 17703893.55,36167
,A2ZINFRA,EQ,        37.45,                 17289907.45,468552
,AARTIDRUGS,EQ,       513.15,                  3095727.60,5992
,AARTIIND,EQ,       874.95,                 46330271.05,52971
,AARVEEDEN,EQ,        32.65,                  9539306.75,282290
,ABAN,EQ,       163.95,                 54486709.10,331792
,ABBOTINDIA,EQ,      4317.55,                  5587474.00,1292
,ABFRL,EQ,       164.15,                 27086793.25,163592
,ABGSHIP,BZ,        12.05,                   484517.10,40957
,ABMINTLTD,BE,        79.75,                     1036.75,13
,ACCELYA,EQ,      1350.20,                  4747783.45,3489
,ACCORD,SM,        55.50,                   222000.00,4000
,ACE,EQ,        63.95,                 12341053.05,195417
,ACEINTEG,SM,        33.00,                  1094100.00,33000
,ADANIENT,EQ,       116.65,                333228927.80,2885275
,ADANIPOWER,EQ,        28.60,                150592434.70,5324506
,ADANITRANS,EQ,       109.85,                 46666031.35,426495
,ADFFOODS,EQ,       212.20,                 39577087.00,183681
,ADHUNIK,EQ,         4.60,                   282889.65,61405
,ADLABS,EQ,        59.05,                 10637312.40,179579
,ADORWELD,EQ,       374.50,                  1033386.25,2772
,ADSL,BE,        22.95,                   359185.15,15628
,ADVANIHOTR,EQ,        58.85,                  1467596.00,24885
,ADVENZYMES,EQ,       291.30,                 55927785.20,194098
,AEGISCHEM,EQ,       189.05,                 24172862.25,129255
,AFL,BE,        33.65,                     5197.55,161
,AGARIND,BE,       549.75,                   947977.60,1749
,AGCNET,BE,       109.00,                    71659.00,673
,AGLSL,EQ,       123.05,                  1615380.50,12758
,AGRITECH,EQ,        66.45,                  1918219.10,28913
,AGROPHOS,SM,        18.60,                   337500.00,18000
,AHLEAST,EQ,       273.15,                    48255.20,174
,AHLUCONT,EQ,       265.25,                  1210572.00,4574
,AHLWEST,EQ,       169.10,                    95817.55,548
,AIAENG,EQ,      1406.05,                 21205336.50,15038
,AIFL,EQ,       397.60,                 57653223.70,144824
,AIRAN,SM,       143.05,                  1755300.00,12000
,AJANTPHARM,EQ,      1238.35,                130733600.65,106151
,AJMERA,EQ,       184.90,                  5752518.00,31095
,AKASH,SM,        79.00,                  7959950.00,101000
,AKSHARCHEM,EQ,       730.60,                  3952354.60,5466
,AKSHOPTFBR,EQ,        23.05,                 36428354.50,1602642
,AKZOINDIA,EQ,      1783.35,                 16615108.55,9325
,ALANKIT,BE,        33.70,                  9321751.35,275900
,ALBERTDAVD,EQ,       304.05,                   652303.60,2144
,ALBK,EQ,        65.20,                208504883.40,3203665
,ALCHEM,EQ,        14.30,                    82514.45,5847
,ALEMBICLTD,EQ,        37.30,                 14032138.50,384154
,ALICON,EQ,       529.80,                  2821110.65,5284
,ALKALI,EQ,        58.30,                   105123.20,1799
,ALKEM,EQ,      1749.40,                 46334988.75,26876
,ALKYLAMINE,EQ,       376.70,                   520130.15,1385
,ALLCARGO,EQ,       165.90,                 13090485.55,79837
,ALLSEC,EQ,       345.00,                  7652614.75,22270
,ALMONDZ,EQ,        22.40,                   145767.25,6552
,ALOKTEXT,EQ,         2.90,                  3893938.95,1348950
,ALPA,BE,        28.15,                   192877.55,6771
,ALPHAGEO,EQ,       804.75,                 13310700.25,16682
,ALPSINDUS,EQ,         5.30,                    92269.05,17604
,AMARAJABAT,EQ,       811.25,                890354365.30,1104698
,AMBIKCO,EQ,      1330.20,                  2132979.40,1605
,AMDIND,EQ,        33.25,                   819070.90,24173
,AMRUTANJAN,EQ,       603.40,                  1357715.05,2254
,AMTEKAUTO,EQ,        25.35,                 16418305.50,652887
,ANANDAMRUB,BE,        28.95,                      144.75,5
,ANANTRAJ,EQ,        53.65,                 45443632.70,850559
,ANDHRABANK,EQ,        49.95,                 97935261.05,1957583
,ANDHRACEMT,EQ,         9.10,                  1656139.15,185131
,ANDHRSUGAR,EQ,       327.30,                  5178079.85,15777
,ANGIND,EQ,         6.50,                   198413.40,30484
,ANIKINDS,BE,        27.60,                    91424.90,3286
,ANSALAPI,EQ,        23.35,                  3274447.95,139771
,ANSALHSG,EQ,        22.55,                  1730552.70,78313
,ANTGRAPHIC,BE,         1.30,                    37720.00,29800
,APARINDS,EQ,       749.95,                 12246440.45,16454
,APCL,EQ,       206.55,                   461943.95,2256
,APCOTEXIND,EQ,       408.40,                  4341175.70,10786
,APLAPOLLO,EQ,      1526.30,                 10951458.35,7065
,APLLTD,EQ,       521.00,                 18720016.00,35903
,APOLLOHOSP,EQ,      1191.25,                517757484.00,429844
,APOLLOTYRE,EQ,       262.90,                668537424.85,2552441
,APOLSINHOT,EQ,       708.65,                   967818.75,1418
,APTECHT,EQ,       211.05,                 57315541.05,269358
,ARCHIDPLY,EQ,        86.35,                  9921039.75,112870
,ARCHIES,EQ,        28.65,                  2254754.15,78589
,ARCOTECH,EQ,        84.95,                 20303911.10,236471
,ARIES,EQ,       139.85,                  3249222.85,23300
,ARIHANT,BE,        51.85,                       51.85,1
,ARIHANTSUP,EQ,       175.20,                 67661208.45,387481
,ARMANFIN,EQ,       186.05,                  3057069.90,16410
,AROGRANITE,EQ,        61.25,                   582075.20,9495
,ARROWGREEN,EQ,       529.95,                  6766814.70,12721
,ARROWTEX,EQ,        41.20,                   667543.35,16021
