,17-Jan-2019
The Nifty witnessed an intraday movement of about 86 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27590.51
, Traded Quantity (in Lakhs), 11764.83
, Number of Trades, 10041423
, Total Market Capitalisation (Rs. Crores), 14181213.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10890.30,     10920.85,     10930.65,     10844.65,     10905.20,14.9
,NIFTY50 EQL Wgt,     11985.05,     12016.50,     12029.15,     11929.25,     11976.55,-8.5
,NIFTY100 EQL Wgt,     12932.20,     12959.10,     12980.75,     12873.40,     12918.80,-13.4
,NIFTY100 LowVol30,      8518.75,      8532.65,      8548.95,      8486.25,      8530.00,11.25
,NIFTY Alpha 50,     12118.80,     12160.05,     12178.95,     12075.60,     12103.35,-15.45
,NIFTY MIDCAP 150,      6280.00,      6290.55,      6304.45,      6243.90,      6264.45,-15.55
,NIFTY SMLCAP 50,      3167.60,      3177.15,      3183.80,      3135.50,      3154.60,-13
,NIFTY SMLCAP 250,      5295.55,      5309.40,      5318.30,      5267.45,      5278.20,-17.35
,NIFTY MIDSML 400,      5933.70,      5945.45,      5957.00,      5900.60,      5917.50,-16.2
,NIFTY200 QUALTY30,      9416.45,      9427.95,      9440.15,      9379.75,      9420.70,4.25
,Nifty IT,     14707.80,     14714.25,     14813.90,     14660.05,     14800.25,92.45
,Nifty Next 50,     27727.65,     27779.35,     27847.45,     27619.85,     27710.65,-17
,Nifty Bank,     27483.70,     27568.60,     27611.55,     27335.15,     27528.75,45.05
,NIFTY MIDCAP 100,     17685.85,     17727.80,     17770.15,     17574.80,     17635.85,-50
,Nifty 500,      9158.75,      9182.00,      9191.85,      9119.60,      9161.60,2.85
,Nifty 100,     11111.65,     11141.45,     11151.70,     11066.70,     11123.90,12.25
,Nifty Midcap 50,      4890.15,      4902.60,      4909.55,      4849.15,      4875.60,-14.55
,Nifty Realty,       238.55,       238.70,       242.45,       238.55,       241.40,2.85
,Nifty Infra,      3101.70,      3107.95,      3116.50,      3089.55,      3105.00,3.3
,Nifty Energy,     14242.60,     14318.95,     14366.80,     14208.65,     14257.50,14.9
,Nifty FMCG,     30783.85,     30822.30,     30912.80,     30514.95,     30737.25,-46.6
,Nifty MNC,     13649.50,     13676.65,     13697.20,     13601.55,     13659.95,10.45
,Nifty Pharma,      9054.20,      9069.60,      9097.55,      8905.40,      8930.50,-123.7
,Nifty PSE,      3286.30,      3293.40,      3310.05,      3285.40,      3299.35,13.05
,Nifty PSU Bank,      3170.00,      3177.80,      3182.00,      3099.15,      3120.40,-49.6
,Nifty Serv Sector,     15119.60,     15157.15,     15190.25,     15060.05,     15161.95,42.35
,India VIX,16.0775,16.0775,16.4275,12.9925,16.2425,0.1650
,Nifty Auto,      8866.75,      8893.20,      8920.80,      8850.25,      8878.20,11.45
,Nifty Metal,      2967.05,      2974.90,      2981.65,      2948.10,      2963.05,-4
,Nifty Media,      2480.40,      2486.25,      2498.15,      2408.70,      2428.70,-51.7
,NIFTY SMLCAP 100,      6455.30,      6472.25,      6485.00,      6413.20,      6440.25,-15.05
,Nifty 200,      5748.75,      5764.00,      5770.00,      5724.35,      5752.45,3.7
,Nifty Div Opps 50,      2585.80,      2590.15,      2596.50,      2579.20,      2591.00,5.2
,Nifty Commodities,      3332.45,      3342.60,      3350.15,      3316.55,      3329.00,-3.45
,Nifty Consumption,      4913.20,      4919.90,      4931.70,      4888.95,      4908.95,-4.25
,Nifty Fin Service,     11653.35,     11691.90,     11733.45,     11620.50,     11703.55,50.2
,Nifty50 Div Point,       113.60,       114.65,       114.65,       114.65,       114.65,1.05
,Nifty100 Liq 15,      3853.20,      3863.40,      3871.55,      3797.80,      3806.45,-46.75
,Nifty CPSE,      2033.90,      2039.40,      2047.10,      2026.60,      2031.50,-2.4
,Nifty GrowSect 15,      6371.40,      6385.45,      6397.50,      6329.30,      6346.50,-24.9
,Nifty50 PR 2x Lev,      4547.45,      4572.15,      4580.10,      4508.75,      4559.10,11.65
,Nifty50 PR 1x Inv,       414.45,       413.35,       416.25,       413.00,       413.95,-.5
,Nifty50 TR 2x Lev,      5761.25,      5793.65,      5803.75,      5713.35,      5777.10,15.85
,Nifty50 TR 1x Inv,       368.25,       367.25,       369.85,       366.95,       367.80,-.45
,Nifty50 Value 20,      5157.70,      5170.80,      5179.80,      5140.50,      5163.95,6.25
,Nifty Mid Liq 15,      4075.45,      4091.75,      4105.05,      4036.40,      4063.00,-12.45
,Nifty Pvt Bank,     15485.50,     15538.00,     15588.10,     15423.10,     15537.80,52.3
,NIFTY100 Qualty30,      2616.10,      2619.90,      2623.25,      2603.35,      2614.85,-1.25
,Nifty GS 8 13Yr,      1813.77,      1814.14,      1815.56,      1812.75,      1815.42,1.65
,Nifty GS 10Yr,      1691.31,      1691.65,      1694.47,      1689.10,      1694.21,2.9
,Nifty GS 10Yr Cln,       911.62,       911.62,       913.14,       910.24,       913.00,1.38
,Nifty GS 4 8Yr,      1930.69,      1931.09,      1932.71,      1929.54,      1932.70,2.01
,Nifty GS 11 15Yr,      1898.82,      1899.21,      1900.00,      1897.30,      1899.36,.54
,Nifty GS 15YrPlus,      2049.50,      2049.92,      2049.92,      2048.19,      2048.19,-1.31
,Nifty GS Compsite,      1851.49,      1851.87,      1853.19,      1850.39,      1853.07,1.58

,ADVANCES,669
,DECLINES,1099
,UNCHANGED,109

,Total securities that have hit their price bands today,174

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JETAIRWAYS,EQ,       269.70,       285.30,5.78,1653.14
,YESBANK,EQ,       208.35,       201.50,-3.29,1233.71
,MINDTREE,EQ,       841.20,       867.85,3.17,876.02
,RELIANCE,EQ,      1135.90,      1134.45,-0.13,853.11
,AXISBANK,EQ,       664.00,       676.65,1.91,701.74
,HDFC,EQ,      1975.00,      2004.55,1.5,553.13
,IBULHSGFIN,EQ,       829.60,       816.75,-1.55,533.4
,INFY,EQ,       736.80,       733.35,-0.47,506.09
,TCS,EQ,      1870.15,      1894.30,1.29,495.58
,ICICIBANK,EQ,       375.30,       374.60,-0.19,494.23
,SBIN,EQ,       303.15,       297.40,-1.9,477.53
,KOTAKBANK,EQ,      1202.75,      1219.95,1.43,476.94
,FEDERALBNK,EQ,        91.20,        88.50,-2.96,465.65
,HDFCBANK,EQ,      2120.20,      2132.30,0.57,437.73
,ZEEL,EQ,       452.10,       440.90,-2.48,382.63
,SUNPHARMA,EQ,       453.80,       426.55,-6,365.73
,HINDUNILVR,EQ,      1772.55,      1751.50,-1.19,341.82
,MARUTI,EQ,      7310.25,      7336.25,0.36,340.24
,ITC,EQ,       294.05,       293.95,-0.03,310
,BAJFINANCE,EQ,      2569.85,      2535.90,-1.32,253.33
,M&M,EQ,       726.25,       734.65,1.16,244.21
,SRTRANSFIN,EQ,      1188.20,      1149.50,-3.26,241.69
,JUBLFOOD,EQ,      1214.75,      1212.30,-0.2,224.54
,INDUSINDBK,EQ,      1526.70,      1523.00,-0.24,222.97
,LT,EQ,      1342.15,      1346.05,0.29,216.45

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       355.20,       347.25,2.29
,GAIL,EQ,       332.40,       325.50,2.12
,AXISBANK,EQ,       676.65,       664.00,1.91
,HCLTECH,EQ,       954.70,       938.25,1.75
,INFRATEL,EQ,       280.45,       275.85,1.67

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       426.55,       453.80,-6
,YESBANK,EQ,       201.50,       208.35,-3.29
,ZEEL,EQ,       440.90,       452.10,-2.48
,SBIN,EQ,       297.40,       303.15,-1.9
,EICHERMOT,EQ,     20369.95,     20735.70,-1.76

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.50,                   388554.10,9321
,21STCENMGM,EQ,        23.00,                      138.00,6
,3IINFOTECH,EQ,         3.75,                 39486152.30,10363378
,3MINDIA,EQ,     20889.90,                 68362152.10,3312
,3PLAND,EQ,        11.60,                    16248.00,1404
,5PAISA,EQ,       280.40,                  6061687.20,21618
,63MOONS,EQ,        93.25,                 12864098.80,137062
,8KMILES,EQ,       145.50,                 28122755.85,191135
,A2ZINFRA,EQ,        12.85,                  1497279.50,116030
,AARON,SM,        41.50,                   383400.00,9000
,AARTIDRUGS,EQ,       608.40,                  7152127.85,11848
,AARTIIND,EQ,      1525.90,                 46226415.85,30252
,AARVEEDEN,EQ,        25.15,                   293847.55,11527
,AAVAS,EQ,       853.85,                 18297074.70,21528
,ABAN,EQ,        73.90,                 31443502.75,423126
,ABBOTINDIA,EQ,      8138.40,                  7679528.45,945
,ABFRL,EQ,       202.25,                139021111.05,682898
,ABGSHIP,BZ,         1.90,                    23662.25,12309
,ABSLNN50ET,EQ,       275.00,                     3287.25,12
,ACCELYA,EQ,       938.70,                   923837.75,980
,ACE,EQ,        97.35,                 13226566.85,134533
,ACEINTEG,SM,        25.80,                   154650.00,6000
,ADANIENT,EQ,       149.00,                390194876.65,2618859
,ADANIGAS,EQ,        98.50,                 50562500.00,509916
,ADANIGREEN,EQ,        39.65,                  8799021.80,221463
,ADANIPOWER,EQ,        50.85,                522232966.35,10398155
,ADANITRANS,EQ,       220.35,                 23130994.85,103778
,ADFFOODS,EQ,       271.75,                 10842330.20,39338
,ADHUNIK,EQ,         2.45,                   143390.10,57721
,ADHUNIKIND,EQ,        47.00,                    97431.75,2065
,ADLABS,EQ,        10.95,                   309656.20,28226
,ADORWELD,EQ,       382.50,                  3106864.40,8063
,ADROITINFO,EQ,        18.30,                    33316.25,1761
,ADSL,EQ,        14.25,                   150852.25,10508
,ADVANIHOTR,EQ,        73.20,                  1192180.65,16123
,ADVENZYMES,EQ,       170.95,                  3870867.95,22523
,AEGISCHEM,EQ,       206.30,                 11769245.50,56753
,AGARIND,EQ,       171.75,                   509201.40,2918
,AGCNET,EQ,       118.10,                  1095082.20,9134
,AGLSL,EQ,        69.00,                   333373.20,4809
,AGRITECH,EQ,        60.60,                   179611.85,2962
,AGROPHOS,SM,        53.15,                  6947700.00,132000
,AHLADA,SM,       135.05,                   270250.00,2000
,AHLEAST,EQ,       247.05,                  1189684.85,4828
,AHLUCONT,EQ,       315.00,                  2886993.80,9118
,AHLWEST,EQ,       303.95,                   161193.75,525
,AIAENG,EQ,      1644.95,                 14928328.50,9036
,AIFL,EQ,        24.00,                  1128118.20,46723
,AIONJSW,EQ,        38.10,                  1309734.40,34423
,AIRAN,SM,        58.90,                   147250.00,2500
,AISL,SM,        63.00,                   151800.00,2400
,AJANTPHARM,EQ,      1151.55,                365222746.40,318987
,AJMERA,EQ,       192.10,                389166296.30,2056159
,AJOONI,SM,        27.65,                  5221200.00,184000
,AKG,SM,        34.50,                   138000.00,4000
,AKSHARCHEM,EQ,       429.75,                  1076768.30,2505
,AKSHOPTFBR,EQ,        23.70,                 12421307.75,523918
,AKZOINDIA,EQ,      1730.80,                  2645822.80,1523
,ALANKIT,EQ,        27.00,                  9475539.50,350324
