,04-Jan-2019
The Nifty witnessed an intraday movement of about 112.4 points.The closing index was 0.52 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28006.86
, Traded Quantity (in Lakhs), 13188.85
, Number of Trades, 10278549
, Total Market Capitalisation (Rs. Crores), 14092354.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10672.25,     10699.70,     10741.05,     10628.65,     10727.35,55.1
,NIFTY50 EQL Wgt,     11793.65,     11821.20,     11895.40,     11773.25,     11885.45,91.8
,NIFTY100 EQL Wgt,     12821.60,     12845.95,     12908.30,     12785.40,     12892.95,71.35
,NIFTY100 LowVol30,      8437.40,      8453.95,      8476.15,      8396.85,      8450.45,13.05
,NIFTY Alpha 50,     11993.65,     12012.80,     12050.40,     11865.50,     11945.25,-48.4
,Nifty IT,     14322.15,     14332.65,     14359.20,     13958.85,     14146.15,-176
,Nifty Next 50,     27674.65,     27707.20,     27842.75,     27533.90,     27719.50,44.85
,Nifty Bank,     26959.85,     26999.70,     27274.50,     26926.10,     27195.00,235.15
,NIFTY MIDCAP 100,     17530.25,     17563.20,     17661.20,     17458.00,     17636.60,106.35
,Nifty 500,      9014.80,      9034.25,      9064.85,      8978.20,      9054.90,40.1
,Nifty 100,     10914.80,     10940.90,     10981.45,     10869.45,     10966.15,51.35
,Nifty Midcap 50,      4806.00,      4817.15,      4853.40,      4785.30,      4847.70,41.7
,Nifty Realty,       233.95,       234.40,       236.75,       233.25,       235.90,1.95
,Nifty Infra,      3104.05,      3112.65,      3135.40,      3095.45,      3130.65,26.6
,Nifty Energy,     13914.60,     13949.50,     14073.35,     13849.45,     14043.05,128.45
,Nifty FMCG,     30189.20,     30256.10,     30350.30,     30085.50,     30190.20,1
,Nifty MNC,     13581.85,     13604.60,     13645.55,     13505.80,     13584.20,2.35
,Nifty Pharma,      8722.30,      8744.70,      8804.05,      8683.80,      8788.05,65.75
,Nifty PSE,      3290.00,      3290.35,      3336.85,      3287.20,      3331.45,41.45
,Nifty PSU Bank,      3054.15,      3066.10,      3133.50,      3054.05,      3125.10,70.95
,Nifty Serv Sector,     14789.05,     14820.75,     14883.70,     14708.10,     14868.85,79.8
,India VIX,16.7900,16.7900,16.9725,15.4850,16.1625,-0.6275
,Nifty Auto,      8767.35,      8807.40,      8871.10,      8754.05,      8809.35,42
,Nifty Metal,      2960.40,      2959.25,      3013.35,      2949.30,      3001.70,41.3
,Nifty Media,      2491.70,      2499.05,      2526.55,      2471.45,      2519.15,27.45
,NIFTY SMLCAP 100,      6357.85,      6361.65,      6387.40,      6303.00,      6381.65,23.8
,Nifty 200,      5652.95,      5666.15,      5687.85,      5630.60,      5680.50,27.55
,Nifty Div Opps 50,      2543.65,      2547.85,      2557.20,      2529.45,      2550.45,6.8
,Nifty Commodities,      3296.05,      3299.40,      3336.65,      3287.10,      3331.15,35.1
,Nifty Consumption,      4882.10,      4893.40,      4913.05,      4868.65,      4886.85,4.75
,Nifty Fin Service,     11458.95,     11486.10,     11591.70,     11457.70,     11572.45,113.5
,Nifty50 Div Point,       113.60,       113.60,       113.60,       113.60,       113.60,0
,Nifty100 Liq 15,      3702.40,      3714.05,      3764.65,      3700.45,      3758.35,55.95
,Nifty CPSE,      2004.10,      2005.15,      2034.85,      2005.15,      2031.65,27.55
,Nifty GrowSect 15,      6296.75,      6319.55,      6341.45,      6274.10,      6306.40,9.65
,Nifty50 PR 2x Lev,      4378.65,      4400.35,      4434.10,      4342.20,      4423.05,44.4
,Nifty50 PR 1x Inv,       422.05,       421.05,       423.85,       419.40,       419.95,-2.1
,Nifty50 TR 2x Lev,      5547.40,      5574.90,      5617.65,      5501.25,      5603.70,56.3
,Nifty50 TR 1x Inv,       375.00,       374.10,       376.60,       372.70,       373.15,-1.85
,Nifty50 Value 20,      5048.45,      5058.75,      5066.90,      4993.00,      5050.00,1.55
,Nifty Mid Liq 15,      4005.50,      4018.00,      4056.05,      3984.30,      4049.00,43.5
,Nifty Pvt Bank,     15178.95,     15196.45,     15347.40,     15135.55,     15302.75,123.8
,NIFTY100 Qualty30,      2585.25,      2590.75,      2598.80,      2569.95,      2583.70,-1.55
,Nifty GS 8 13Yr,      1821.50,      1821.86,      1823.25,      1818.52,      1819.54,-1.96
,Nifty GS 10Yr,      1701.50,      1701.83,      1704.34,      1696.82,      1698.66,-2.84
,Nifty GS 10Yr Cln,       919.69,       919.69,       921.09,       916.89,       917.91,-1.78
,Nifty GS 4 8Yr,      1928.21,      1928.60,      1930.59,      1926.41,      1927.08,-1.13
,Nifty GS 11 15Yr,      1905.17,      1905.56,      1905.85,      1900.67,      1900.67,-4.5
,Nifty GS 15YrPlus,      2050.38,      2050.80,      2051.54,      2049.19,      2049.86,-.52
,Nifty GS Compsite,      1856.54,      1856.91,      1858.40,      1853.06,      1854.02,-2.52

,ADVANCES,883
,DECLINES,893
,UNCHANGED,112

,Total securities that have hit their price bands today,181

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1092.75,      1098.65,0.54,925.29
,YESBANK,EQ,       184.10,       189.65,3.01,857.26
,ICICIBANK,EQ,       363.25,       365.20,0.54,831.02
,TCS,EQ,      1899.95,      1876.85,-1.22,800.17
,EICHERMOT,EQ,     20211.45,     20103.60,-0.53,692.45
,SBIN,EQ,       291.10,       297.65,2.25,577.97
,MARUTI,EQ,      7203.95,      7234.50,0.42,560.45
,INFY,EQ,       669.15,       661.05,-1.21,520.83
,AXISBANK,EQ,       607.95,       619.60,1.92,517.87
,TATASTEEL,EQ,       481.25,       487.65,1.33,507.87
,IBULHSGFIN,EQ,       816.65,       829.80,1.61,457.4
,JETAIRWAYS,EQ,       247.20,       245.20,-0.81,453.77
,M&M,EQ,       718.30,       725.60,1.02,427.37
,HDFC,EQ,      1936.85,      1972.60,1.85,412.99
,HDFCBANK,EQ,      2111.80,      2117.45,0.27,386.14
,LT,EQ,      1395.00,      1388.05,-0.5,376.07
,HINDALCO,EQ,       209.20,       210.90,0.81,364.96
,BEML,EQ,       886.65,       880.60,-0.68,356.6
,BHARTIARTL,EQ,       313.50,       322.45,2.85,327.77
,JUBLFOOD,EQ,      1239.65,      1212.10,-2.22,301.31
,TATAMOTORS,EQ,       166.05,       170.95,2.95,300.88
,INDUSINDBK,EQ,      1560.10,      1548.20,-0.76,289.7
,MINDTREE,EQ,       834.80,       815.00,-2.37,283.71
,PNB,EQ,        77.85,        81.30,4.43,283.06
,BAJFINANCE,EQ,      2586.20,      2576.05,-0.39,271.8

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       285.05,       271.60,4.95
,YESBANK,EQ,       189.65,       184.10,3.01
,TATAMOTORS,EQ,       170.95,       166.05,2.95
,BHARTIARTL,EQ,       322.45,       313.50,2.85
,VEDL,EQ,       192.90,       187.95,2.63

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       932.35,       948.35,-1.69
,TECHM,EQ,       681.10,       691.25,-1.47
,TCS,EQ,      1876.85,      1899.95,-1.22
,INFY,EQ,       661.05,       669.15,-1.21
,HEROMOTOCO,EQ,      2987.85,      3014.65,-0.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        42.25,                  1346288.40,31692
,21STCENMGM,EQ,        23.50,                   131593.15,5605
,3IINFOTECH,EQ,         3.65,                 10009851.25,2748572
,3MINDIA,EQ,     20357.40,                 78840706.40,3891
,3PLAND,EQ,        11.60,                     5788.00,499
,5PAISA,EQ,       298.45,                  2886534.35,9675
,63MOONS,EQ,        95.25,                 12683970.60,132255
,8KMILES,EQ,       131.25,                 42445717.15,323117
,A2ZINFRA,EQ,        13.00,                  1698378.35,130632
,AAKASH,SM,        19.00,                    38000.00,2000
,AARON,SM,        44.75,                   530250.00,12000
,AARTIDRUGS,EQ,       572.40,                  3365765.25,5868
,AARTIIND,EQ,      1463.35,                 99108027.10,68008
,AARVEEDEN,EQ,        28.05,                    86217.45,3117
,AARVI,SM,        42.75,                    85500.00,2000
,AAVAS,EQ,       840.85,                  8792841.00,10472
,ABAN,EQ,        73.25,                 23948946.90,327365
,ABBOTINDIA,EQ,      7504.50,                 17455463.70,2325
,ABFRL,EQ,       198.45,                222367972.50,1114141
,ABGSHIP,BZ,         1.90,                   160381.90,83572
,ACCELYA,EQ,       944.15,                  1362203.70,1436
,ACCURACY,SM,        62.00,                   198400.00,3200
,ACE,EQ,        98.60,                 15423367.75,157136
,ADANIENT,EQ,       152.55,                421971343.85,2777308
,ADANIGAS,EQ,       100.85,                 36339069.00,360516
,ADANIGREEN,EQ,        40.55,                  6926354.60,169984
,ADANIPOWER,EQ,        50.05,                481576244.55,9620268
,ADANITRANS,EQ,       200.10,                 14060386.25,70478
,ADFFOODS,EQ,       264.40,                  6817186.45,25595
,ADHUNIK,EQ,         2.15,                    80416.30,37362
,ADHUNIKIND,EQ,        50.10,                   623454.55,12512
,ADLABS,EQ,        10.85,                   604777.15,55683
,ADORWELD,EQ,       367.70,                   913998.95,2479
,ADROITINFO,EQ,        18.00,                    32280.90,1732
,ADSL,EQ,        14.05,                   122496.05,8663
,ADVANIHOTR,EQ,        63.40,                   539775.05,8531
,ADVENZYMES,EQ,       170.95,                  6628715.40,38544
,AEGISCHEM,EQ,       208.40,                 29099007.60,140623
,AGARIND,EQ,       186.40,                   447896.40,2371
,AGCNET,EQ,       101.75,                 20985527.15,214615
,AGLSL,EQ,        66.10,                   278049.90,4251
,AGRITECH,BE,        60.10,                   700367.60,12019
,AGROPHOS,SM,        51.50,                  2456400.00,48000
,AHLADA,SM,       140.00,                   420000.00,3000
,AHLEAST,EQ,       241.70,                   458239.05,1900
,AHLUCONT,EQ,       321.80,                  1295629.00,4019
,AHLWEST,EQ,       302.40,                    83231.20,277
,AIAENG,EQ,      1648.45,                 51237954.65,31419
,AIFL,EQ,        25.90,                  4549253.55,174270
,AIONJSW,EQ,        39.30,                  1326236.55,33884
,AJANTPHARM,EQ,      1129.10,                250048036.45,221217
