,09-Jan-2019
The Nifty witnessed an intraday movement of about 121 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29799.93
, Traded Quantity (in Lakhs), 12675.58
, Number of Trades, 10916246
, Total Market Capitalisation (Rs. Crores), 14159596.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALMONDZ,EQ,        24.00,                   127043.30,5335
,ALOKTEXT,EQ,         3.90,                  5854723.50,1496639
,ALPA,EQ,        26.30,                   397576.20,14926
,ALPHAGEO,EQ,       455.85,                  1478821.75,3225
,AMARAJABAT,EQ,       740.75,                270181441.60,364350
,AMBER,EQ,       911.15,                  2962954.55,3271
,AMBIKCO,EQ,      1145.60,                  2675302.85,2332
,AMDIND,EQ,        26.70,                  1905603.80,71491
,AMJLAND,EQ,        22.80,                   405237.60,17825
,AMJUMBO,SM,        59.00,                   236000.00,4000
,AMRUTANJAN,EQ,       286.95,                 13549568.90,46879
,ANANTRAJ,EQ,        35.25,                 10037698.85,282663
,ANDHRABANK,EQ,        29.90,                 28328683.20,944973
,ANDHRACEMT,EQ,         5.85,                   425865.05,72021
,ANDHRSUGAR,EQ,       331.60,                  6801343.40,20327
,ANGIND,BE,         1.30,                      781.30,601
,ANIKINDS,EQ,        23.80,                   243330.60,10052
,ANKITMETAL,BE,          .40,                     2114.70,4832
,ANSALAPI,EQ,        13.55,                 11425165.35,823424
,ANSALHSG,EQ,        16.10,                 34084823.90,2074621
,ANTGRAPHIC,BE,          .50,                    14602.10,30135
,APARINDS,EQ,       626.75,                  9645579.30,15384
,APCL,EQ,       126.15,                    34646.35,274
,APCOTEXIND,EQ,       529.20,                  2213992.10,4215
,APEX,EQ,       359.85,                 12578461.15,34807
,APLAPOLLO,EQ,      1117.65,                 13483483.60,12036
,APLLTD,EQ,       592.40,                 21961455.30,37090
,APOLLO,EQ,       121.15,                  2244455.00,18398
,APOLLOHOSP,EQ,      1267.40,                364650571.90,289161
,APOLLOTYRE,EQ,       223.40,                412983152.40,1830077
,APOLSINHOT,BE,      1093.05,                  1833122.20,1681
,APTECHT,EQ,       182.70,                 24971850.65,135922
,ARCHIDPLY,EQ,        42.85,                   398242.45,9089
,ARCHIES,EQ,        29.10,                   775427.85,26402
,ARCOTECH,EQ,         7.45,                   362157.10,48524
,ARIES,EQ,       101.10,                  4914049.70,47963
,ARIHANT,EQ,        33.45,                   227077.45,6980
,ARIHANTSUP,EQ,        54.35,                  1785670.60,33084
,ARMANFIN,EQ,       399.80,                   933544.65,2329
,AROGRANITE,EQ,        52.95,                   500895.15,9349
,ARROWGREEN,BE,       115.75,                   887738.40,7611
,ARROWTEX,EQ,        21.35,                   245482.80,11529
,ARSHIYA,EQ,        29.40,                  2455021.80,83403
,ARSSINFRA,EQ,        35.35,                   261041.50,7289
,ARVIND,EQ,        96.45,                133988381.35,1387765
,ARVSMART,EQ,       122.70,                  1212279.45,9817
,ASAHIINDIA,EQ,       255.10,                  4119647.20,16135
,ASAHISONG,EQ,       215.85,                   522832.50,2424
,ASAL,EQ,        76.15,                  1103702.90,14230
,ASHAPURMIN,EQ,        29.60,                  1275227.45,42796
,ASHIANA,EQ,       120.65,                  2966981.10,24480
,ASHIMASYN,BE,        17.10,                   978074.15,58071
,ASHOKA,EQ,       134.25,                 16231130.25,120832
,ASIANHOTNR,EQ,       149.00,                   131731.40,884
,ASIANTILES,EQ,       149.50,                 13550014.25,89677
,ASLIND,SM,        30.00,                   480000.00,16000
,ASPINWALL,EQ,       168.00,                    36584.00,218
,ASSAMCO,EQ,         2.00,                   261309.10,131734
,ASTEC,EQ,       521.15,                  1290749.10,2469
,ASTERDM,EQ,       164.75,                 38002826.55,236743
