symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-10-08,829241,438275,52.85
BEL,EQ,2009-10-08,48501,28886,59.56
BOSCHLTD,EQ,2009-10-08,2798,2514,89.85
CUMMINSIND,EQ,2009-10-08,296112,167649,56.62
DLF,EQ,2009-10-08,9378728,1504279,16.04
HINDALCO,EQ,2009-10-08,13561511,6259737,46.16
INDHOTEL,EQ,2009-10-08,1579875,778266,49.26
INDHOTEL,N4,2009-10-08,163,153,93.87
LT,EQ,2009-10-08,2460679,1324447,53.82
MARUTI,EQ,2009-10-08,2200461,1334002,60.62
SBIN,EQ,2009-10-08,1995594,807217,40.45
SUZLON,EQ,2009-10-08,23935413,4989749,20.85
TRENT,EQ,2009-10-08,6395,4421,69.13
TRENT,N1,2009-10-08,80,80,100.00
TRENT,W1,2009-10-08,1600,1600,100.00
