symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-10-14,215598,66038,30.63
BEL,EQ,2009-10-14,27384,15572,56.87
BOSCHLTD,EQ,2009-10-14,3139,2142,68.24
CUMMINSIND,EQ,2009-10-14,328093,187087,57.02
DLF,EQ,2009-10-14,8090428,2572026,31.79
HINDALCO,EQ,2009-10-14,13607425,5651803,41.53
INDHOTEL,EQ,2009-10-14,4362802,1566566,35.91
INDHOTEL,N4,2009-10-14,5351,5241,97.94
LT,EQ,2009-10-14,1001412,421535,42.09
MARUTI,EQ,2009-10-14,1068818,527935,49.39
SBIN,EQ,2009-10-14,2747889,1276881,46.47
SUZLON,EQ,2009-10-14,20802384,7750774,37.26
TRENT,EQ,2009-10-14,13092,10434,79.70
TRENT,W1,2009-10-14,5261,4935,93.80
