symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2024-09-19,438617,195731,44.62
ADANIPORTS,EQ,2024-09-19,2072872,855328,41.26
BEL,EQ,2024-09-19,44560220,24208270,54.33
BOSCHLTD,EQ,2024-09-19,22135,7187,32.47
CUMMINSIND,EQ,2024-09-19,513980,262513,51.07
DIXON,EQ,2024-09-19,969959,131990,13.61
DLF,EQ,2024-09-19,3526011,1365525,38.73
DMART,EQ,2024-09-19,392198,231008,58.90
HAL,EQ,2024-09-19,4675647,1941316,41.52
HINDALCO,EQ,2024-09-19,5134590,2423431,47.20
INDHOTEL,EQ,2024-09-19,1484426,684095,46.08
INDIGO,EQ,2024-09-19,930127,532743,57.28
LT,EQ,2024-09-19,1711564,916050,53.52
MANAPPURAM,EQ,2024-09-19,5762347,2008173,34.85
MARUTI,EQ,2024-09-19,465608,265761,57.08
PAYTM,EQ,2024-09-19,10044737,2459301,24.48
PGEL,EQ,2024-09-19,1490709,758298,50.87
SBIN,EQ,2024-09-19,10645478,3657423,34.36
SUZLON,EQ,2024-09-19,60446356,31108129,51.46
TRENT,EQ,2024-09-19,395523,207213,52.39
