symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-04-29,651549,199053,30.55
BEL,EQ,2009-04-29,24257,13926,57.41
BOSCHLTD,EQ,2009-04-29,2361,1894,80.22
CUMMINSIND,EQ,2009-04-29,33867,18209,53.77
DLF,EQ,2009-04-29,11941865,2059641,17.25
HINDALCO,EQ,2009-04-29,6717263,4135727,61.57
INDHOTEL,EQ,2009-04-29,1698387,1227553,72.28
LT,EQ,2009-04-29,3354869,1119638,33.37
MARUTI,EQ,2009-04-29,1808304,835301,46.19
SBIN,EQ,2009-04-29,2635968,730095,27.70
SUZLON,EQ,2009-04-29,38933772,11369230,29.20
TRENT,EQ,2009-04-29,422,303,71.80
