symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-06-17,368423,89115,24.19
BEL,EQ,2009-06-17,147203,62728,42.61
BOSCHLTD,EQ,2009-06-17,2088,1362,65.23
CUMMINSIND,EQ,2009-06-17,126948,96607,76.10
DLF,EQ,2009-06-17,14743236,2274800,15.43
HINDALCO,EQ,2009-06-17,10272162,4125146,40.16
INDHOTEL,EQ,2009-06-17,3217566,1865597,57.98
INDHOTEL,N4,2009-06-17,425,110,25.88
INDHOTEL,W1,2009-06-17,1905,1579,82.89
LT,EQ,2009-06-17,3787355,1677875,44.30
MARUTI,EQ,2009-06-17,560998,331144,59.03
SBIN,EQ,2009-06-17,1930221,563071,29.17
SUZLON,EQ,2009-06-17,55453938,8955721,16.15
TRENT,EQ,2009-06-17,3557,2932,82.43
