symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2013-10-01,542.95,542.45,0.0009,0.0321,,0.5942
ADANIPORTS,2013-10-01,138.70,138.05,0.0047,0.0271,,0.5025
BEL,2013-10-01,1084.30,1087.05,-0.0025,0.0168,,0.3114
BOSCHLTD,2013-10-01,8886.10,9048.65,-0.0181,0.0132,,0.2579
CUMMINSIND,2013-10-01,411.70,408.25,0.0084,0.0141,,0.2636
DLF,2013-10-01,136.90,128.05,0.0668,0.0471,,0.9266
HINDALCO,2013-10-01,110.50,111.90,-0.0126,0.0314,,0.5846
INDHOTEL,2013-10-01,47.30,47.95,-0.0136,0.0240,,0.4490
LT,2013-10-01,800.00,788.75,0.0142,0.0295,,0.5502
MANAPPURAM,2013-10-01,14.75,14.50,0.0171,0.0339,,0.6324
MARUTI,2013-10-01,1380.20,1358.55,0.0158,0.0225,,0.4241
PGEL,2013-10-01,140.10,143.10,-0.0212,0.0604,,1.1234
SBIN,2013-10-01,1643.35,1614.90,0.0175,0.0295,,0.5521
SUZLON,2013-10-01,6.50,6.55,-0.0077,0.0253,,0.4700
TRENT,2013-10-01,915.05,928.80,-0.0149,0.0106,,0.2082
