symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2010-10-12,85155,17767,20.86
BEL,EQ,2010-10-12,44389,22468,50.62
BOSCHLTD,EQ,2010-10-12,925,717,77.51
CUMMINSIND,EQ,2010-10-12,93881,65800,70.09
DLF,EQ,2010-10-12,3895313,935318,24.01
HINDALCO,EQ,2010-10-12,5762596,1644764,28.54
INDHOTEL,EQ,2010-10-12,833506,286042,34.32
INDHOTEL,N4,2010-10-12,745,745,100.00
LT,EQ,2010-10-12,894891,503461,56.26
MANAPPURAM,EQ,2010-10-12,1058528,500409,47.27
MARUTI,EQ,2010-10-12,355625,147683,41.53
SBIN,EQ,2010-10-12,754716,249961,33.12
SUZLON,EQ,2010-10-12,14503808,2270976,15.66
TRENT,EQ,2010-10-12,36214,8995,24.84
TRENT,Q1,2010-10-12,112,61,54.46
TRENT,Q2,2010-10-12,12,12,100.00
