,08-Mar-2019
The Nifty witnessed an intraday movement of about 40.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29136.02
, Traded Quantity (in Lakhs), 16194.78
, Number of Trades, 10895178
, Total Market Capitalisation (Rs. Crores), 14297601.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11058.20,     11038.85,     11049.00,     11008.95,     11035.40,-22.8
,NIFTY50 EQL Wgt,     12218.75,     12193.75,     12208.30,     12144.00,     12178.80,-39.95
,NIFTY100 EQL Wgt,     13029.40,     13005.40,     13034.25,     12956.70,     13009.00,-20.4
,NIFTY100 LowVol30,      8567.00,      8556.15,      8572.60,      8533.30,      8563.25,-3.75
,NIFTY Alpha 50,     11835.35,     11846.45,     11869.35,     11794.80,     11820.10,-15.25
,NIFTY MIDCAP 150,      6204.00,      6202.60,      6217.20,      6171.95,      6197.55,-6.45
,NIFTY SMLCAP 50,      3092.30,      3090.90,      3109.85,      3073.60,      3082.70,-9.6
,NIFTY SMLCAP 250,      5258.15,      5262.50,      5283.00,      5243.20,      5253.80,-4.35
,NIFTY MIDSML 400,      5871.50,      5872.15,      5888.80,      5845.65,      5865.75,-5.75
,NIFTY200 QUALTY30,      9559.15,      9551.90,      9560.15,      9520.70,      9549.95,-9.2
,Nifty IT,     15582.10,     15544.35,     15545.65,     15388.20,     15408.70,-173.4
,Nifty Next 50,     27429.50,     27401.75,     27491.20,     27294.45,     27458.20,28.7
,Nifty Bank,     27764.60,     27686.15,     27811.35,     27645.40,     27761.80,-2.8
,NIFTY MIDCAP 100,     17411.75,     17407.20,     17443.05,     17291.45,     17379.15,-32.6
,Nifty 500,      9225.35,      9213.30,      9225.30,      9184.55,      9211.05,-14.3
,Nifty 100,     11244.05,     11225.35,     11236.00,     11194.05,     11225.00,-19.05
,Nifty Midcap 50,      4820.45,      4816.05,      4828.05,      4773.45,      4795.50,-24.95
,Nifty Realty,       236.05,       235.05,       237.55,       234.75,       236.50,.45
,Nifty Infra,      3032.80,      3035.30,      3057.95,      3023.50,      3038.55,5.75
,Nifty Energy,     15348.35,     15331.50,     15390.65,     15253.10,     15352.55,4.2
,Nifty FMCG,     29904.05,     29920.20,     30071.05,     29777.50,     29945.75,41.7
,Nifty MNC,     13251.25,     13241.10,     13257.10,     13175.90,     13201.65,-49.6
,Nifty Pharma,      9045.65,      9038.85,      9085.20,      9007.80,      9021.85,-23.8
,Nifty PSE,      3379.45,      3379.35,      3399.65,      3346.15,      3383.15,3.7
,Nifty PSU Bank,      2952.05,      2951.75,      2973.80,      2926.15,      2937.30,-14.75
,Nifty Serv Sector,     15195.55,     15175.45,     15199.25,     15125.65,     15182.25,-13.3
,India VIX,15.2925,15.2925,15.4125,12.9200,14.9400,-0.3525
,Nifty Auto,      8635.70,      8609.15,      8632.90,      8565.75,      8582.60,-53.1
,Nifty Metal,      2992.85,      2967.85,      2975.60,      2938.05,      2947.95,-44.9
,Nifty Media,      2486.05,      2488.60,      2493.75,      2454.70,      2461.25,-24.8
,NIFTY SMLCAP 100,      6358.75,      6358.80,      6393.90,      6329.75,      6350.00,-8.75
,Nifty 200,      5798.75,      5790.00,      5796.05,      5771.35,      5788.80,-9.95
,Nifty Div Opps 50,      2612.50,      2613.70,      2614.35,      2599.80,      2608.35,-4.15
,Nifty Commodities,      3438.45,      3431.80,      3444.45,      3407.20,      3434.10,-4.35
,Nifty Consumption,      4787.35,      4784.95,      4802.30,      4776.45,      4786.65,-.7
,Nifty Fin Service,     11613.80,     11582.85,     11626.85,     11563.35,     11619.60,5.8
,Nifty50 Div Point,       133.53,       133.53,       133.53,       133.53,       133.53,0
,Nifty100 Liq 15,      3787.45,      3777.80,      3787.25,      3757.25,      3765.35,-22.1
,Nifty CPSE,      2121.20,      2119.00,      2134.00,      2088.15,      2119.10,-2.1
,Nifty GrowSect 15,      6204.10,      6195.80,      6229.40,      6190.05,      6203.10,-1
,Nifty50 PR 2x Lev,      4640.90,      4623.85,      4632.15,      4599.00,      4620.95,-19.95
,Nifty50 PR 1x Inv,       411.10,       411.90,       413.00,       411.50,       412.00,.9
,Nifty50 TR 2x Lev,      5901.25,      5879.60,      5890.15,      5847.95,      5875.90,-25.35
,Nifty50 TR 1x Inv,       364.65,       365.35,       366.35,       365.05,       365.45,.8
,Nifty50 Value 20,      5380.15,      5375.75,      5376.00,      5346.20,      5358.90,-21.25
,Nifty Mid Liq 15,      4062.05,      4057.45,      4072.80,      4025.30,      4043.85,-18.2
,Nifty Pvt Bank,     15842.70,     15801.00,     15874.45,     15775.20,     15845.40,2.7
,NIFTY100 Qualty30,      2640.30,      2636.45,      2640.50,      2628.35,      2638.05,-2.25
,Nifty GS 8 13Yr,      1828.97,      1829.34,      1832.46,      1829.34,      1831.81,2.84
,Nifty GS 10Yr,      1696.04,      1696.38,      1699.22,      1696.17,      1698.07,2.03
,Nifty GS 10Yr Cln,       904.78,       904.78,       906.31,       904.66,       905.69,.91
,Nifty GS 4 8Yr,      1964.01,      1964.40,      1967.03,      1964.40,      1966.32,2.31
,Nifty GS 11 15Yr,      1914.23,      1914.63,      1919.14,      1914.63,      1916.81,2.58
,Nifty GS 15YrPlus,      2048.38,      2048.80,      2050.71,      2048.80,      2050.50,2.12
,Nifty GS Compsite,      1869.79,      1870.17,      1873.80,      1870.17,      1872.99,3.2

,ADVANCES,800
,DECLINES,1006
,UNCHANGED,109

,Total securities that have hit their price bands today,232

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1270.25,      1267.10,-0.25,765.45
,IBULHSGFIN,EQ,       719.05,       702.00,-2.37,724.66
,WIPRO,EQ,       268.85,       257.70,-4.15,708.98
,LT,EQ,      1352.40,      1339.40,-0.96,656.26
,ICICIBANK,EQ,       370.80,       370.60,-0.05,598.03
,AXISBANK,EQ,       733.75,       733.40,-0.05,567.77
,SBIN,EQ,       281.75,       281.20,-0.2,563.17
,YESBANK,EQ,       231.70,       232.30,0.26,540.21
,INFY,EQ,       722.95,       712.35,-1.47,514.2
,TATAMOTORS,EQ,       189.30,       181.20,-4.28,513.06
,NTPC,EQ,       146.20,       152.20,4.1,435.69
,EICHERMOT,EQ,     21521.50,     21871.05,1.62,427.77
,TCS,EQ,      2013.30,      2022.70,0.47,410.89
,HDFCBANK,EQ,      2126.50,      2128.20,0.08,373.54
,ITC,EQ,       290.10,       292.00,0.65,369.7
,HDFC,EQ,      1880.20,      1884.05,0.2,346.99
,MARUTI,EQ,      7029.05,      6967.70,-0.87,339.91
,TATASTEEL,EQ,       521.15,       507.85,-2.55,333.22
,BAJFINANCE,EQ,      2734.80,      2768.30,1.22,324.02
,BEML,EQ,       888.45,       898.45,1.13,315.87
,RELCAPITAL,EQ,       187.85,       190.55,1.44,313.88
,COALINDIA,EQ,       235.00,       234.90,-0.04,298.22
,ONGC,EQ,       152.05,       150.40,-1.09,269.35
,M&M,EQ,       671.80,       670.15,-0.25,261.4
,HINDUNILVR,EQ,      1705.40,      1701.60,-0.22,241.72

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,       152.20,       146.20,4.1
,EICHERMOT,EQ,     21871.05,     21521.50,1.62
,GAIL,EQ,       349.65,       344.15,1.6
,ULTRACEMCO,EQ,      3972.00,      3912.80,1.51
,BAJAJ-AUTO,EQ,      2955.70,      2919.90,1.23

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       181.20,       189.30,-4.28
,WIPRO,EQ,       257.70,       268.85,-4.15
,TATASTEEL,EQ,       507.85,       521.15,-2.55
,HINDALCO,EQ,       195.55,       200.60,-2.52
,HCLTECH,EQ,      1009.05,      1034.55,-2.46

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.40,                  1199504.75,30713
,21STCENMGM,EQ,        18.15,                    29496.35,1617
,3IINFOTECH,EQ,         3.60,                  6345003.25,1764228
,3MINDIA,EQ,     24848.15,                161240821.20,6591
,3PLAND,EQ,        10.95,                     6137.10,563
,5PAISA,EQ,       225.35,                   535302.75,2373
,63MOONS,EQ,        81.15,                 10935037.30,133495
,8KMILES,EQ,       108.15,                 15944481.80,146825
,A2ZINFRA,BE,        17.45,                  7110179.20,408580
,AAKASH,SM,        20.00,                   233700.00,12000
,AARON,SM,        44.00,                   132000.00,3000
,AARTIDRUGS,EQ,       673.20,                 48603664.20,73146
,AARTIIND,EQ,      1474.55,                171851980.10,114972
,AARVEEDEN,EQ,        23.65,                   424030.40,17612
,AAVAS,EQ,      1239.80,                275939461.00,225543
,ABAN,EQ,        75.05,                124804769.95,1680981
,ABBOTINDIA,EQ,      7363.85,                 24520628.05,3337
,ABFRL,EQ,       223.40,                312907160.50,1397701
,ABGSHIP,BZ,         1.75,                    86467.50,49410
,ABSLNN50ET,EQ,       293.90,                    45123.60,154
,ACCELYA,EQ,       931.70,                  2991058.35,3203
,ACE,EQ,        96.25,                 25613513.35,267469
,ACEINTEG,SM,        23.25,                   773250.00,33000
,ADANIENT,EQ,       138.20,                506327795.50,3681442
,ADANIGAS,EQ,       114.75,                 53185990.65,463357
,ADANIGREEN,EQ,        35.00,                 19383505.80,552247
,ADANIPOWER,EQ,        50.00,                595495238.00,11908805
,ADANITRANS,EQ,       206.80,                 31804457.30,152933
,ADFFOODS,EQ,       252.85,                  3977154.85,15662
,ADHUNIK,EQ,         1.80,                    12607.20,7004
,ADHUNIKIND,EQ,        53.25,                  1009424.20,18670
,ADLABS,EQ,         9.00,                  1188435.35,131314
,ADORWELD,EQ,       340.50,                  2423355.95,7056
,ADROITINFO,EQ,        20.30,                    97725.75,4960
,ADSL,EQ,        14.95,                  2601210.75,175058
,ADVANIHOTR,EQ,        69.20,                  1031246.55,15085
,ADVENZYMES,EQ,       189.95,               2327770149.75,12724394
,AEGISCHEM,EQ,       206.10,                 36249756.25,175783
,AGARIND,EQ,       172.90,                  2230901.55,12905
,AGCNET,EQ,       110.10,                  1036095.25,9339
,AGLSL,EQ,        60.45,                  1854777.65,30649
,AGRITECH,EQ,        51.60,                   165676.05,3197
,AGROPHOS,EQ,        58.70,                  3301539.55,56523
,AHLADA,SM,       107.50,                   214500.00,2000
,AHLEAST,EQ,       243.50,                   153271.05,632
,AHLUCONT,EQ,       320.00,                  4341509.75,13572
,AHLWEST,EQ,       342.05,                    10774.55,31
,AIAENG,EQ,      1829.80,                 15505462.80,8515
,AIFL,BE,        16.90,                  2943706.00,165178
,AIONJSW,EQ,        29.75,                   733001.10,24516
,AIRAN,SM,        59.90,                   449000.00,7500
,AIROLAM,SM,        30.45,                  2346600.00,81000
,AISL,SM,        68.00,                   656340.00,9600
,AJANTPHARM,EQ,       956.40,                906477411.10,950296
,AJMERA,EQ,       172.75,                 15221437.25,87080
,AJOONI,SM,        23.75,                    95000.00,4000
,AKASH,SM,        42.50,                    85000.00,2000
,AKG,SM,        33.50,                   537600.00,16000
,AKSHARCHEM,EQ,       340.75,                   343564.75,1003
,AKSHOPTFBR,EQ,        20.15,                 12691594.95,623351
