symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-05-20,858861,375025,43.67
BEL,EQ,2009-05-20,272500,235162,86.30
BOSCHLTD,EQ,2009-05-20,3334,1735,52.04
CUMMINSIND,EQ,2009-05-20,229803,170388,74.15
DLF,EQ,2009-05-20,27738945,8405575,30.30
HINDALCO,EQ,2009-05-20,11230265,5062902,45.08
INDHOTEL,EQ,2009-05-20,2731075,1284429,47.03
INDHOTEL,N4,2009-05-20,997,897,89.97
LT,EQ,2009-05-20,6653655,3572384,53.69
MARUTI,EQ,2009-05-20,1492589,662755,44.40
SBIN,EQ,2009-05-20,4296340,1908249,44.42
SUZLON,EQ,2009-05-20,59918605,12182543,20.33
TRENT,EQ,2009-05-20,4810,2889,60.06
