symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2014-12-24,1198.80,1165.85,0.0279,0.0268,,0.5139
ADANIPORTS,2014-12-24,283.05,288.15,-0.0179,0.0234,,0.4413
BEL,2014-12-24,2726.90,2736.50,-0.0035,0.0317,,0.5865
BOSCHLTD,2014-12-24,18421.75,18538.25,-0.0063,0.0212,,0.3936
CUMMINSIND,2014-12-24,860.95,851.45,0.0111,0.0190,,0.3554
DLF,2014-12-24,131.65,133.50,-0.0140,0.0354,,0.6591
HINDALCO,2014-12-24,150.60,153.10,-0.0165,0.0250,,0.4700
INDHOTEL,2014-12-24,118.25,119.95,-0.0143,0.0192,,0.3611
LT,2014-12-24,1477.85,1497.80,-0.0134,0.0144,,0.2732
MANAPPURAM,2014-12-24,33.10,32.40,0.0214,0.0330,,0.6190
MARUTI,2014-12-24,3365.50,3398.70,-0.0098,0.0133,,0.2503
PGEL,2014-12-24,75.55,81.20,-0.0721,0.0388,,0.7948
SBIN,2014-12-24,305.75,307.20,-0.0047,0.0194,,0.3592
SUZLON,2014-12-24,13.30,13.30,0.0000,0.0419,,0.7757
TRENT,2014-12-24,1384.55,1395.00,-0.0075,0.0184,,0.3420
