symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-01-10,1372.20,1321.80,0.0374,0.0149,,0.3267
ADANIPORTS,2020-01-10,392.05,391.80,0.0006,0.0140,,0.2598
BEL,2020-01-10,97.20,97.00,0.0021,0.0163,,0.3019
BOSCHLTD,2020-01-10,14856.80,14880.25,-0.0016,0.0160,,0.2961
CUMMINSIND,2020-01-10,588.10,592.25,-0.0070,0.0144,,0.2694
DIXON,2020-01-10,4188.65,4163.30,0.0061,0.0255,,0.4738
DLF,2020-01-10,244.20,238.25,0.0247,0.0210,,0.4050
DMART,2020-01-10,1876.95,1880.80,-0.0020,0.0185,,0.3420
HAL,2020-01-10,736.35,735.25,0.0015,0.0100,,0.1853
HINDALCO,2020-01-10,211.50,210.75,0.0036,0.0168,,0.3114
INDHOTEL,2020-01-10,138.10,139.70,-0.0115,0.0180,,0.3382
INDIGO,2020-01-10,1416.30,1402.20,0.0100,0.0199,,0.3706
LT,2020-01-10,1324.60,1316.15,0.0064,0.0134,,0.2503
MANAPPURAM,2020-01-10,171.60,172.65,-0.0061,0.0177,,0.3286
MARUTI,2020-01-10,7330.40,7227.95,0.0141,0.0145,,0.2770
PGEL,2020-01-10,65.30,59.30,0.0964,0.0616,,1.2265
SBIN,2020-01-10,332.25,330.20,0.0062,0.0210,,0.3897
SUZLON,2020-01-10,2.60,2.85,-0.0918,0.0796,,1.5360
TRENT,2020-01-10,550.55,547.45,0.0056,0.0166,,0.3095
