symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-01-17,1302.80,1306.65,-0.0030,0.0174,,0.3229
ADANIPORTS,2020-01-17,387.60,390.95,-0.0086,0.0121,,0.2273
BEL,2020-01-17,108.60,105.75,0.0266,0.0179,,0.3534
BOSCHLTD,2020-01-17,15387.20,14825.40,0.0372,0.0152,,0.3305
CUMMINSIND,2020-01-17,578.90,591.80,-0.0220,0.0144,,0.2866
DIXON,2020-01-17,4165.60,4149.05,0.0040,0.0220,,0.4088
DLF,2020-01-17,261.25,258.15,0.0119,0.0205,,0.3840
DMART,2020-01-17,1990.50,1946.15,0.0225,0.0166,,0.3248
HAL,2020-01-17,823.95,844.65,-0.0248,0.0264,,0.5025
HINDALCO,2020-01-17,210.05,209.65,0.0019,0.0153,,0.2828
INDHOTEL,2020-01-17,145.50,141.25,0.0296,0.0174,,0.3515
INDIGO,2020-01-17,1472.95,1457.45,0.0106,0.0178,,0.3343
LT,2020-01-17,1304.20,1319.30,-0.0115,0.0118,,0.2254
MANAPPURAM,2020-01-17,182.05,183.65,-0.0088,0.0192,,0.3573
MARUTI,2020-01-17,7520.30,7462.70,0.0077,0.0133,,0.2484
PGEL,2020-01-17,76.40,76.95,-0.0072,0.0632,,1.1711
SBIN,2020-01-17,318.00,323.30,-0.0165,0.0183,,0.3477
SUZLON,2020-01-17,2.50,2.60,-0.0392,0.0734,,1.3717
TRENT,2020-01-17,591.30,591.40,-0.0002,0.0188,,0.3477
