symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-01-16,1306.65,1327.05,-0.0155,0.0175,,0.3324
ADANIPORTS,2020-01-16,390.95,390.80,0.0004,0.0125,,0.2312
BEL,2020-01-16,105.75,103.85,0.0181,0.0179,,0.3420
BOSCHLTD,2020-01-16,14825.40,14959.45,-0.0090,0.0155,,0.2904
CUMMINSIND,2020-01-16,591.80,580.35,0.0195,0.0140,,0.2751
DIXON,2020-01-16,4149.05,4136.80,0.0030,0.0227,,0.4203
DLF,2020-01-16,258.15,255.90,0.0088,0.0210,,0.3917
DMART,2020-01-16,1946.15,1933.55,0.0065,0.0170,,0.3171
HAL,2020-01-16,844.65,852.40,-0.0091,0.0271,,0.5044
HINDALCO,2020-01-16,209.65,213.65,-0.0189,0.0150,,0.2923
INDHOTEL,2020-01-16,141.25,137.85,0.0244,0.0169,,0.3324
INDIGO,2020-01-16,1457.45,1445.65,0.0081,0.0182,,0.3401
LT,2020-01-16,1319.30,1323.60,-0.0033,0.0121,,0.2254
MANAPPURAM,2020-01-16,183.65,176.65,0.0389,0.0172,,0.3668
MARUTI,2020-01-16,7462.70,7482.95,-0.0027,0.0137,,0.2541
PGEL,2020-01-16,76.95,73.30,0.0486,0.0640,,1.2074
SBIN,2020-01-16,323.30,324.25,-0.0029,0.0189,,0.3496
SUZLON,2020-01-16,2.60,2.50,0.0392,0.0751,,1.4023
TRENT,2020-01-16,591.40,583.95,0.0127,0.0191,,0.3592
