,24-Aug-2018
The Nifty witnessed an intraday movement of about 72.6 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33765.97
, Traded Quantity (in Lakhs), 14853.09
, Number of Trades, 11074358
, Total Market Capitalisation (Rs. Crores), 15498405.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       512.20,                  2309608.30,4548
,AKSHOPTFBR,EQ,        30.75,                 39954687.85,1336230
,AKZOINDIA,EQ,      1736.85,                  8852940.60,5104
,ALANKIT,EQ,        24.15,                 24509662.55,1014289
,ALBERTDAVD,EQ,       541.95,                  9989273.60,18108
,ALBK,EQ,        40.30,                123473316.40,3070603
,ALCHEM,BE,         5.25,                    49224.95,9321
,ALEMBICLTD,EQ,        46.00,                 30371988.35,659693
,ALICON,EQ,       615.20,                  1464176.85,2375
,ALKALI,EQ,        67.55,                  4824761.50,73587
,ALKEM,EQ,      2049.60,                132430643.05,64532
,ALKYLAMINE,EQ,       653.05,                  1548603.80,2371
,ALLCARGO,EQ,       120.35,                 28343274.75,231877
,ALLSEC,EQ,       241.15,                   936679.65,3894
,ALMONDZ,BE,        39.65,                   195665.10,4982
,ALOKTEXT,BE,         4.25,                 12719954.90,3048385
,ALPA,EQ,        31.65,                   745471.65,23033
,ALPHAGEO,EQ,       673.80,                 23071010.05,34390
,ALPSINDUS,BE,         2.80,                     6969.20,2489
,AMARAJABAT,EQ,       864.35,                469124598.70,538691
,AMBANIORG,SM,        66.20,                   132400.00,2000
,AMBER,EQ,       943.40,                 11364169.20,12039
,AMBIKCO,EQ,      1290.10,                 17397549.90,13477
,AMDIND,EQ,        27.75,                   605285.10,21911
,AMJLAND,EQ,        24.75,                   416426.30,16748
,AMRUTANJAN,EQ,       344.45,                782803846.75,2308420
,AMTEKAUTO,BZ,         5.75,                   474501.50,82522
,ANANTRAJ,EQ,        44.65,                 52214530.95,1171140
,ANDHRABANK,EQ,        32.55,                 86647882.50,2647391
,ANDHRACEMT,EQ,         8.45,                   516614.05,61541
,ANDHRSUGAR,EQ,       378.05,                 13178489.70,34652
,ANGIND,BE,         2.60,                     6179.50,2363
,ANIKINDS,EQ,        30.65,                    97982.75,3217
,ANKITMETAL,BE,          .70,                    13193.60,18848
,ANSALAPI,EQ,        15.35,                  1309110.15,84431
,ANSALHSG,EQ,        15.25,                   283203.55,18504
,ANTGRAPHIC,BE,          .55,                    23246.20,50157
,APARINDS,EQ,       607.80,                 13242298.25,21578
,APCL,EQ,       154.55,                   131634.75,862
,APCOTEXIND,EQ,       617.75,                  3315811.30,5368
,APEX,EQ,       455.05,                 21598069.40,46988
,APLAPOLLO,EQ,      1652.00,                 12345152.05,7452
,APLLTD,EQ,       592.80,                 31808559.85,53384
,APOLLO,EQ,       161.60,                  5325441.80,32623
,APOLLOHOSP,EQ,      1197.70,               2762359126.50,2318913
,APOLLOTYRE,EQ,       260.70,                797275779.95,3052623
,APOLSINHOT,EQ,      1388.00,                   731379.05,521
,APTECHT,EQ,       231.25,                 51435520.35,220667
,ARCHIDPLY,EQ,        57.95,                  1030469.05,17551
,ARCHIES,EQ,        28.40,                  1589823.35,55440
,ARCOTECH,BE,        15.20,                   773900.20,51074
,ARIES,EQ,       118.50,                  2658290.95,22266
,ARIHANT,EQ,        40.85,                    22573.55,570
,ARIHANTSUP,EQ,        69.90,                  6714554.50,97014
,ARMANFIN,EQ,       408.00,                   285712.00,700
,AROGRANITE,EQ,        58.10,                  1291888.15,22195
,ARROWGREEN,EQ,       147.95,                  4875376.20,33199
,ARROWTEX,EQ,        29.55,                    47909.60,1620
,ARSHIYA,EQ,        48.35,                  1100744.20,22557
,ARSSINFRA,EQ,        27.80,                   905765.45,32419
,ARVIND,EQ,       407.75,                541751151.00,1322229
,ARVSMART,EQ,       157.30,                  1843658.35,11685
,ASAHIINDIA,EQ,       323.25,                  2682498.95,8292
,ASAHISONG,EQ,       274.90,                  1970063.30,7163
,ASAL,EQ,        56.50,                   332553.25,5894
,ASHAPURMIN,EQ,        48.85,                  2850682.70,58646
,ASHIANA,EQ,       150.05,                  2907191.20,19369
,ASHIMASYN,EQ,        21.20,                  1404142.60,65795
,ASHOKA,EQ,       138.05,                 10447076.05,74856
,ASIANHOTNR,EQ,       226.00,                   996134.55,4419
,ASIANTILES,EQ,       255.40,                109616190.85,419505
,ASPINWALL,EQ,       217.10,                   412155.65,1891
,ASSAMCO,BE,         4.35,                   643377.40,146304
,ASTEC,EQ,       612.55,                  2935343.00,4767
,ASTERDM,EQ,       174.50,                  5072321.80,28896
,ASTRAL,EQ,      1124.60,                 19575801.55,17358
,ASTRAMICRO,EQ,        96.10,                 12724338.50,132206
,ASTRAZEN,EQ,      1878.00,                218866284.05,117808
,ASTRON,EQ,       113.85,                 10986741.50,96149
,ATFL,EQ,       608.50,                  4010911.75,6630
,ATLANTA,EQ,        39.70,                  5004375.25,128256
,ATLASCYCLE,BE,       146.30,                   936835.30,6480
,ATUL,EQ,      3033.50,                 18327104.65,6051
,ATULAUTO,EQ,       385.75,                  3231172.05,8336
,AUBANK,EQ,       699.80,                135306318.35,194235
,AURDIS,SM,        29.05,                   120000.00,4000
,AURIONPRO,BE,       188.60,                  3013270.05,15974
,AUSOMENT,EQ,        65.40,                   743563.45,11452
,AUTOAXLES,EQ,      1342.80,                 37622465.30,28174
,AUTOIND,EQ,        61.60,                  1357291.60,22078
,AUTOLITIND,EQ,        56.95,                   278287.70,4868
,AVADHSUGAR,EQ,       356.95,                 16425164.80,46111
,AVANTIFEED,EQ,       430.65,                167915818.90,386794
,AVONMPL,SM,        53.80,                   323600.00,6000
,AVSL,SM,        33.00,                   204000.00,6000
,AVTNPL,EQ,        32.45,                  1616886.00,49833
,AXISCADES,EQ,       103.90,                  3449270.50,33024
,AXISGOLD,EQ,      2623.10,                   619492.85,236
,AXISNIFTY,EQ,      1167.18,                   135477.74,116
,AYMSYNTEX,EQ,        40.25,                   235920.45,5893
,BAFNAPHARM,EQ,        20.45,                   261475.30,12750
,BAGFILMS,EQ,         6.75,                 14301278.25,2064301
,BAJAJCORP,EQ,       418.05,                  7891255.90,18697
,BAJAJELEC,EQ,       565.70,                188974401.30,336043
,BAJAJHIND,EQ,         6.90,                 19231102.15,2826751
,BAJAJHLDNG,EQ,      2963.65,                 65036249.10,21770
,BALAJITELE,EQ,       114.10,                 27251878.85,243588
,BALAMINES,EQ,       540.70,                  7945855.30,14713
,BALKRISHNA,EQ,        67.50,                   524154.05,7739
,BALKRISIND,EQ,      1335.95,                841934134.20,627208
,BALLARPUR,EQ,         9.95,                  8107055.70,812098
,BALMLAWRIE,EQ,       221.10,                 27119629.65,123012
,BALPHARMA,EQ,        87.35,                  7085854.80,80455
,BALRAMCHIN,EQ,        74.80,                320733287.00,4341554
,BANARBEADS,EQ,        49.65,                    28525.30,579
,BANARISUG,EQ,      1415.60,                   154216.30,109
,BANCOINDIA,EQ,       226.25,                 16322886.45,71379
,BANDHANBNK,EQ,       674.60,               3336437124.85,5165184
,BANG,EQ,        48.60,                   654247.55,13412
,BANKBEES,EQ,      2831.64,                 65625842.67,23058
,BANKINDIA,EQ,        93.10,                518554606.00,5545129
,BANSAL,SM,       118.45,                  3694400.00,31000
,BANSWRAS,EQ,        82.55,                   212990.80,2563
,BARTRONICS,EQ,         9.05,                   282563.95,31036
,BASF,EQ,      1978.70,                 28535104.80,14246
,BASML,EQ,       215.65,                   732193.95,3383
,BATAINDIA,EQ,      1074.60,               1383906655.35,1287461
,BAYERCROP,EQ,      4081.10,                 73126601.80,17708
,BBL,EQ,      1286.55,                  7885986.75,6046
,BBTC,EQ,      1929.95,               5079530750.40,2564992
,BDL,EQ,       358.75,                  4664692.60,12990
,BEARDSELL,EQ,        35.50,                   181611.30,5221
,BEDMUTHA,EQ,        19.20,                    85138.85,4397
,BEML,EQ,       813.25,                527616097.35,644561
,BEPL,EQ,       134.45,                 42942133.65,318508
,BERGEPAINT,EQ,       336.15,                274304268.65,813801
,BETA,SM,        95.90,                  3907920.00,42400
,BFINVEST,EQ,       325.35,                 49474455.10,150518
,BFUTILITIE,EQ,       324.00,                 71905305.25,219072
,BGLOBAL,BE,         2.80,                    17108.05,6079
,BGRENERGY,EQ,        80.90,                  5475959.40,67390
,BHAGERIA,EQ,       299.05,                  6574363.35,21870
,BHAGYANGR,BE,        35.70,                   748730.25,21105
,BHAGYAPROP,EQ,        24.25,                    99896.50,4091
,BHANDARI,EQ,         2.45,                   788608.90,326868
,BHARATFIN,EQ,      1186.45,                506088045.75,426485
,BHARATFORG,EQ,       647.15,                783385034.35,1205281
,BHARATGEAR,EQ,       176.95,                  9159696.05,51975
,BHARATIDIL,BZ,         3.20,                    31329.40,9940
,BHARATRAS,EQ,      6991.80,                  9933960.45,1414
,BHARATWIRE,EQ,        95.10,                  2879777.70,30177
,BHUSANSTL,EQ,        27.65,                 28821197.30,1049115
,BIGBLOC,EQ,        80.45,                   314667.10,3857
,BIL,EQ,       388.55,                 16272701.70,41100
,BILENERGY,BE,          .50,                    71630.65,145194
,BILPOWER,BE,          .75,                     7313.35,10464
,BINANIIND,EQ,        99.85,                 21406964.95,211766
,BINDALAGRO,EQ,        20.80,                   675519.45,32442
,BIOCON,EQ,       606.70,                697863260.30,1143154
,BIOFILCHEM,BE,        10.85,                    15542.10,1452
,BIRLACABLE,EQ,       164.30,                255788604.45,1551329
,BIRLACORPN,EQ,       789.35,                 37549493.60,48069
,BIRLAMONEY,EQ,        60.90,                  4116368.15,67119
,BKMINDST,EQ,        18.10,                   605680.20,32002
,BLBLIMITED,EQ,         4.70,                   154356.30,32729
,BLISSGVS,EQ,       187.40,                 33302616.45,176054
,BLKASHYAP,EQ,        33.10,                  2538761.90,76733
,BLS,EQ,       164.40,                  6712000.25,40667
,BLUEBLENDS,EQ,         6.65,                    29373.60,4430
,BLUEDART,EQ,      3527.80,                 11535122.50,3277
,BLUESTARCO,EQ,       683.35,                 16967656.00,24907
,BODALCHEM,EQ,       119.25,                 21926877.50,182193
,BOHRA,SM,        27.40,                   109600.00,4000
,BOMDYEING,BE,       264.40,                 82141073.60,307730
,BOROSIL,EQ,       284.40,                 34685986.40,120800
,BPL,EQ,        52.30,                  9150082.85,172942
,BRFL,BE,        16.35,                  3655951.10,222734
,BRIGADE,EQ,       199.75,                 10750378.45,53535
,BRIGHT,SM,        48.20,                  6040800.00,129000
,BRNL,EQ,       159.85,                   635047.80,3991
,BROOKS,EQ,        78.30,                  2692407.30,34124
,BSE,EQ,       747.50,                 80460224.20,108011
,BSELINFRA,EQ,         3.85,                   926288.95,239463
,BSHSL,SM,       139.15,                  2268600.00,17000
,BSL,EQ,        55.05,                   324611.60,5900
,BSLGOLDETF,EQ,      2736.00,                    38643.10,14
,BSLNIFTY,EQ,       114.54,                    24858.54,217
,BURNPUR,BE,         5.70,                   384179.80,67983
,BUTTERFLY,EQ,       311.70,                  8488044.70,28394
,BVCL,BE,        19.40,                   194533.00,9914
,BYKE,EQ,       100.10,                  6490763.90,64679
,CADSYS,SM,        58.00,                   116000.00,2000
,CALSOFT,BE,        39.05,                   568474.10,14552
,CAMLINFINE,EQ,        76.95,                 27966400.05,359077
,CANBK,EQ,       276.35,               1635557347.85,5863520
,CANDC,EQ,        31.45,                  1355483.65,43305
,CANFINHOME,EQ,       319.50,                269199666.85,837168
,CANTABIL,EQ,       127.80,                  3594856.60,28054
,CAPACITE,EQ,       264.60,                  9655268.10,36445
,CAPF,EQ,       629.65,                297724593.45,471031
