,07-Aug-2018
The Nifty witnessed an intraday movement of about 69.25 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32458.52
, Traded Quantity (in Lakhs), 16438.35
, Number of Trades, 11324083
, Total Market Capitalisation (Rs. Crores), 15276755.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       204.80,                  7612090.80,37096
,AJOONI,SM,        20.00,                   319400.00,16000
,AKASH,SM,        76.75,                   227900.00,3000
,AKSHARCHEM,EQ,       515.55,                  3191205.95,6058
,AKSHOPTFBR,EQ,        31.40,                 43636738.10,1367182
,AKZOINDIA,EQ,      1832.90,                 12320412.00,6726
,ALANKIT,EQ,        26.90,                 37746388.05,1409567
,ALBERTDAVD,EQ,       409.55,                  1827447.65,4465
,ALBK,EQ,        44.90,                223854893.25,4928244
,ALCHEM,BE,         5.85,                   102743.30,17414
,ALEMBICLTD,EQ,        45.15,                109289547.70,2351633
,ALICON,EQ,       611.40,                  1967919.60,3220
,ALKALI,EQ,        76.25,                  9395760.35,118843
,ALKEM,EQ,      2136.90,                 87529323.75,40534
,ALKYLAMINE,EQ,       641.10,                  1833287.80,2846
,ALLCARGO,EQ,       122.60,                 19944181.80,161287
,ALLSEC,EQ,       276.45,                   640329.90,2317
,ALMONDZ,EQ,        31.80,                  3632831.05,115214
,ALOKTEXT,BE,         4.50,                 46867967.00,10415837
,ALPA,EQ,        27.05,                   374179.40,13812
,ALPHAGEO,EQ,       656.95,                 16245464.00,24408
,ALPSINDUS,BE,         3.15,                    30152.05,9596
,AMARAJABAT,EQ,       827.90,                168265328.50,203134
,AMBANIORG,SM,        66.20,                  1058800.00,16000
,AMBER,EQ,       969.25,                  8232584.55,8381
,AMBIKCO,EQ,      1283.00,                  5439440.50,4198
,AMDIND,EQ,        23.90,                    68094.90,2826
,AMJLAND,EQ,        27.50,                   787206.00,28767
,AMRUTANJAN,EQ,       253.30,                  9278146.30,36710
,AMTEKAUTO,BZ,         7.20,                  4303183.15,585016
,ANANTRAJ,EQ,        41.20,                 20282052.45,484294
,ANDHRABANK,EQ,        34.00,                299869936.40,8677162
,ANDHRACEMT,EQ,         8.90,                   651779.05,73014
,ANDHRSUGAR,EQ,       399.65,                 38636036.10,97727
,ANGIND,BE,         2.85,                    27657.10,9454
,ANIKINDS,EQ,        37.45,                   298985.65,7960
,ANKITMETAL,BE,          .55,                    38029.75,65472
,ANSALAPI,EQ,        15.90,                  2321941.50,144868
,ANSALHSG,EQ,        15.35,                   179237.30,11559
,ANTGRAPHIC,BE,          .55,                     5626.00,10902
,APARINDS,EQ,       614.60,                  4024441.55,6532
,APCL,EQ,       152.50,                   137413.70,906
,APCOTEXIND,EQ,       560.85,                  3792125.80,6746
,APEX,EQ,       493.45,                180304741.30,355682
,APLAPOLLO,EQ,      1752.00,                 32257259.70,18381
,APLLTD,EQ,       590.75,                 33242290.85,55644
,APOLLO,EQ,       162.70,                  5598802.75,33818
,APOLLOHOSP,EQ,       967.35,                170289774.70,175136
,APOLLOTYRE,EQ,       276.80,                997691572.05,3620771
,APOLSINHOT,EQ,      1438.05,                  1934415.75,1363
,APTECHT,EQ,       242.10,                 66494721.60,270545
,ARCHIDPLY,EQ,        65.90,                  1831672.30,27167
,ARCHIES,EQ,        31.35,                  3133188.75,99514
,ARCOTECH,EQ,        16.20,                   633841.00,39168
,ARIES,EQ,       122.40,                 28799373.15,231907
,ARIHANT,EQ,        36.20,                    36905.70,1017
,ARIHANTSUP,EQ,        70.80,                  4426111.80,61905
,ARMANFIN,EQ,       382.75,                   681899.95,1770
,AROGRANITE,EQ,        60.30,                  1367049.70,22118
,ARROWGREEN,EQ,       182.65,                   374980.45,2053
,ARROWTEX,EQ,        31.70,                   410519.35,12939
,ARSHIYA,EQ,        58.00,                  1717552.05,28911
,ARSSINFRA,BE,        27.55,                   207777.30,7696
,ARVIND,EQ,       403.20,               2444532165.70,5979611
,ARVSMART,EQ,       174.75,                  2019292.05,11647
,ASAHIINDIA,EQ,       337.95,                 17840208.65,51843
,ASAHISONG,EQ,       279.05,                  3405433.45,12302
,ASAL,EQ,        62.90,                 15050454.75,227574
,ASHAPURMIN,EQ,        52.25,                 57085388.35,1086203
,ASHIANA,EQ,       142.15,                  4663945.95,33572
,ASHIMASYN,EQ,        22.05,                  2655430.95,118958
,ASHOKA,EQ,       147.80,                 16153804.75,109373
,ASIANHOTNR,EQ,       229.05,                   833884.75,3553
,ASIANTILES,EQ,       282.00,                 22794342.55,79948
,ASPINWALL,EQ,       226.75,                  1130254.70,4918
,ASSAMCO,EQ,         4.70,                   175808.20,37406
,ASTEC,EQ,       615.30,                  6680896.35,10821
,ASTERDM,EQ,       168.15,                  6997489.50,41267
,ASTRAL,EQ,      1051.35,                120073025.95,113439
,ASTRAMICRO,EQ,        99.45,                 16814529.30,168774
,ASTRAZEN,EQ,      1711.70,                 39944366.60,23587
,ASTRON,EQ,       123.75,                 44956787.05,361581
,ATFL,EQ,       640.10,                  4115796.15,6397
,ATLANTA,EQ,        40.15,                  3364342.50,82508
,ATLASCYCLE,BE,       135.60,                   247241.20,1816
,ATUL,EQ,      2883.00,                 37525026.60,12869
,ATULAUTO,EQ,       410.95,                 14044441.90,33732
,AUBANK,EQ,       659.50,                470224673.35,714360
,AURDIS,SM,        30.00,                   177600.00,6000
,AURIONPRO,EQ,       213.70,                 11810044.00,53992
,AUSOMENT,EQ,        74.10,                  1498405.60,20163
,AUTOAXLES,EQ,      1239.30,                 12034921.25,9717
,AUTOIND,EQ,        69.85,                  1775073.50,25071
,AUTOLITIND,EQ,        59.30,                   542724.70,8990
,AVADHSUGAR,EQ,       387.15,                 37446579.60,94896
,AVANTIFEED,EQ,       477.45,               1336514734.55,2719467
,AVTNPL,EQ,        35.10,                  2708477.20,75437
,AXISCADES,EQ,       112.85,                  3439759.05,30241
,AXISGOLD,EQ,      2647.50,                    55609.80,21
,AXISNIFTY,EQ,      1158.72,                   763541.23,659
,AYMSYNTEX,EQ,        45.50,                  1042091.60,22601
,BAFNAPHARM,EQ,        22.05,                   229139.50,10402
,BAGFILMS,EQ,         4.80,                   705219.35,144586
,BAJAJCORP,EQ,       410.70,                  4115406.35,9987
,BAJAJELEC,EQ,       618.85,                213353843.15,342369
,BAJAJHIND,EQ,         6.85,                 16370544.70,2317326
,BAJAJHLDNG,EQ,      2979.35,                 45929578.95,15429
,BALAJITELE,EQ,       117.35,                  2168711.50,18561
,BALAMINES,EQ,       570.90,                  6008114.90,10531
,BALAXI,BE,        19.60,                     1960.00,100
,BALKRISHNA,EQ,        77.05,                  7537383.15,95177
,BALKRISIND,EQ,      1224.05,                413705145.00,336162
,BALLARPUR,EQ,        10.30,                 17162011.80,1649948
,BALMLAWRIE,EQ,       227.15,                 11092600.45,48896
,BALPHARMA,EQ,        77.45,                   653072.60,8354
,BALRAMCHIN,EQ,        73.70,                471567996.00,6244917
,BANARBEADS,EQ,        50.85,                   203865.40,3971
,BANARISUG,EQ,      1551.90,                  1861969.95,1196
,BANCOINDIA,EQ,       217.40,                 34042003.55,155925
,BANDHANBNK,EQ,       675.45,                386876484.60,569096
,BANG,EQ,        54.00,                  3780347.95,69889
,BANKBEES,EQ,      2841.02,                 23731547.23,8362
,BANKINDIA,EQ,        94.95,                758496761.60,7886180
,BANSAL,SM,       115.90,                  9808700.00,85000
