,29-Aug-2018
The Nifty witnessed an intraday movement of about 74.35 points.The closing index was 0.4 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35363.26
, Traded Quantity (in Lakhs), 16351.38
, Number of Trades, 11701834
, Total Market Capitalisation (Rs. Crores), 15675926.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       498.10,                  1759781.65,3527
,AKSHOPTFBR,EQ,        30.95,                 32903104.60,1064980
,AKZOINDIA,EQ,      1739.35,                 13935141.20,7964
,ALANKIT,EQ,        23.75,                 17739566.85,740363
,ALBERTDAVD,EQ,       523.40,                  6575657.00,12417
,ALBK,EQ,        40.45,                 87265679.40,2154645
,ALCHEM,BE,         5.45,                    22035.00,4123
,ALEMBICLTD,EQ,        45.95,                  8999441.40,195113
,ALICON,EQ,       611.30,                   725883.25,1184
,ALKALI,EQ,        69.10,                  1358480.75,19433
,ALKEM,EQ,      2118.95,                344301476.35,163650
,ALKYLAMINE,EQ,       651.20,                  3201660.90,4920
,ALLCARGO,EQ,       118.30,                 13370488.50,112725
,ALLSEC,EQ,       238.00,                  2298075.90,9737
,ALMONDZ,BE,        38.85,                    97188.15,2537
,ALOKTEXT,BE,         4.20,                 10456694.20,2530509
,ALPA,EQ,        30.50,                   940119.05,30797
,ALPHAGEO,EQ,       675.80,                  5430799.75,7937
,ALPSINDUS,BE,         2.65,                    72327.60,28096
,AMARAJABAT,EQ,       861.70,                361135750.65,419231
,AMBANIORG,SM,        66.10,                   132200.00,2000
,AMBER,EQ,       958.75,                  6533998.70,6766
,AMBIKCO,EQ,      1259.95,                 16401022.40,12986
,AMDIND,EQ,        26.70,                   467987.30,17411
,AMJLAND,EQ,        24.75,                   459785.40,18463
,AMJUMBO,SM,        68.50,                   667000.00,10000
,AMRUTANJAN,EQ,       317.90,                 31487287.40,96693
,AMTEKAUTO,BZ,         5.00,                   289025.00,57805
,ANANTRAJ,EQ,        46.45,                113238725.90,2479019
,ANDHRABANK,EQ,        32.30,                 69713712.15,2160290
,ANDHRACEMT,EQ,         8.20,                   903688.55,109998
,ANDHRSUGAR,EQ,       374.05,                  5304753.10,14160
,ANGIND,BE,         2.45,                    42462.15,17965
,ANIKINDS,EQ,        29.20,                   308581.65,10533
,ANKITMETAL,BE,          .75,                    21874.50,29166
,ANSALAPI,EQ,        15.70,                   653404.30,41999
,ANSALHSG,EQ,        15.00,                   439399.40,29311
,ANTGRAPHIC,BE,          .55,                    13210.45,26169
,APARINDS,EQ,       620.95,                  6353752.45,10163
,APCL,EQ,       154.05,                   195814.90,1274
,APCOTEXIND,EQ,       610.60,                  1591966.45,2612
,APEX,EQ,       402.65,                 76270515.85,182789
,APLAPOLLO,EQ,      1649.20,                 48108360.10,29424
,APLLTD,EQ,       591.60,                 25205420.95,42345
,APOLLO,EQ,       157.70,                  4864333.55,30714
,APOLLOHOSP,EQ,      1193.45,               2791627013.30,2311788
,APOLLOTYRE,EQ,       250.50,                813075702.15,3213653
,APOLSINHOT,EQ,      1396.55,                  1489781.35,1060
,APTECHT,EQ,       227.40,                 78369241.15,341366
,ARCHIDPLY,EQ,        58.30,                  1092541.45,18590
,ARCHIES,EQ,        27.30,                  1515788.20,55368
,ARCOTECH,BE,        14.65,                   848044.30,57787
,ARIES,EQ,       118.70,                  1978010.80,16594
,ARIHANT,EQ,        38.95,                    62777.40,1656
,ARIHANTSUP,EQ,        70.90,                  4655682.65,65523
,ARMANFIN,EQ,       408.95,                  1364633.45,3327
,AROGRANITE,EQ,        61.90,                  1100616.35,17747
,ARROWGREEN,EQ,       133.50,                  3319560.35,24353
,ARROWTEX,EQ,        28.70,                  1109898.90,37508
,ARSHIYA,EQ,        45.05,                  4879833.90,108291
,ARSSINFRA,EQ,        24.55,                   452177.20,18671
,ARVEE,SM,        53.00,                   106000.00,2000
,ARVIND,EQ,       399.40,                431918054.45,1077943
,ARVSMART,EQ,       156.10,                  3827983.55,24466
,ASAHIINDIA,EQ,       320.20,                  3722386.15,11618
,ASAHISONG,EQ,       270.90,                   866406.75,3201
,ASAL,EQ,        56.95,                   818411.40,14354
,ASHAPURMIN,EQ,        47.40,                  5630721.90,116833
,ASHIANA,EQ,       149.75,                  4615406.70,30876
,ASHIMASYN,EQ,        20.20,                  1286237.35,63287
,ASHOKA,EQ,       137.20,                 11165533.85,80855
,ASIANHOTNR,EQ,       228.00,                   771075.45,3395
,ASIANTILES,EQ,       241.50,                 49889783.40,206516
,ASPINWALL,EQ,       241.45,                 24305605.35,99731
,ASSAMCO,BE,         4.90,                  2242968.90,455985
,ASTEC,EQ,       632.70,                  5010063.25,7888
,ASTERDM,EQ,       176.40,                 12940516.00,72347
,ASTRAL,EQ,      1113.50,                245279565.70,218089
,ASTRAMICRO,EQ,        96.55,                 10159428.65,105263
,ASTRAZEN,EQ,      1886.65,                220589791.35,116146
,ASTRON,EQ,       112.35,                 17568885.05,155614
,ATFL,EQ,       630.20,                  4832332.25,7645
,ATLANTA,EQ,        38.00,                  3411549.20,89683
,ATLASCYCLE,BE,       148.45,                   462292.60,3149
,ATUL,EQ,      3190.40,                200629865.90,61990
,ATULAUTO,EQ,       386.80,                  4286406.50,11083
,AUBANK,EQ,       729.25,                904891344.70,1243255
,AURIONPRO,BE,       184.00,                  1963913.75,10775
,AUSOMENT,EQ,        70.50,                  1341957.85,19005
,AUTOAXLES,EQ,      1413.50,                 87095444.60,61050
,AUTOIND,EQ,        62.35,                   558473.25,8984
,AUTOLITIND,EQ,        55.55,                   603814.80,10822
,AVADHSUGAR,EQ,       355.55,                  4187669.15,11826
,AVANTIFEED,EQ,       429.75,                236510666.35,550104
,AVONMPL,SM,        53.95,                   107900.00,2000
,AVTNPL,EQ,        32.00,                  1841288.70,57167
,AXISCADES,EQ,       103.40,                  2726117.40,26204
,AXISGOLD,EQ,      2659.05,                  1132733.10,426
,AXISNIFTY,EQ,      1184.82,                    22520.22,19
,AYMSYNTEX,EQ,        41.10,                  1037764.65,25345
,BAFNAPHARM,EQ,        19.30,                   239314.65,12251
,BAGFILMS,EQ,         6.35,                  4891770.35,798222
,BAJAJCORP,EQ,       435.55,                 21420011.90,49094
,BAJAJELEC,EQ,       543.70,                192210876.75,352518
,BAJAJHIND,EQ,         6.95,                 13559080.65,1968926
,BAJAJHLDNG,EQ,      3107.25,                138208726.70,45389
,BALAJITELE,EQ,       111.60,                  5659786.75,50495
,BALAMINES,EQ,       554.20,                 23743037.70,42477
,BALKRISHNA,EQ,        66.35,                  1473410.85,22177
,BALKRISIND,EQ,      1425.00,               2464779633.75,1725056
,BALLARPUR,EQ,         9.25,                  6799961.80,724559
,BALMLAWRIE,EQ,       228.95,                 35911170.60,156416
,BALPHARMA,EQ,        87.60,                 18022462.30,197082
,BALRAMCHIN,EQ,        74.20,                211180781.75,2857495
,BANARBEADS,EQ,        49.50,                    62611.65,1258
,BANARISUG,EQ,      1434.90,                   485706.05,339
,BANCOINDIA,EQ,       222.00,                 34692967.85,156787
,BANDHANBNK,EQ,       686.15,                567428674.35,821218
,BANG,EQ,        46.30,                   336987.55,7292
,BANKBEES,EQ,      2882.33,                190928338.82,66155
,BANKINDIA,EQ,        95.25,                918157302.90,9749862
,BANSAL,SM,       110.95,                  5114550.00,46000
,BANSWRAS,EQ,        80.75,                   156797.05,1930
,BARTRONICS,EQ,         9.15,                   127680.50,13834
,BASF,EQ,      1958.85,                 13253711.50,6786
,BASML,EQ,       211.10,                   217319.85,1029
,BATAINDIA,EQ,      1096.25,               1421066623.00,1288742
,BAYERCROP,EQ,      4262.75,                 41384477.90,9727
,BBL,EQ,      1344.65,                 19714695.90,14339
,BBTC,EQ,      1954.45,                563839564.85,284792
,BDL,EQ,       354.15,                  6909352.80,19487
,BEARDSELL,EQ,        34.55,                   118089.80,3338
,BEDMUTHA,EQ,        18.70,                   113205.25,6064
,BEML,EQ,       822.45,                474526647.45,574125
,BEPL,EQ,       132.75,                 42312396.15,315674
,BERGEPAINT,EQ,       343.50,                388693359.60,1134345
,BETA,SM,        91.00,                   218560.00,2400
,BFINVEST,EQ,       329.25,                 70840966.55,211810
,BFUTILITIE,EQ,       328.80,                113380037.75,343524
,BGLOBAL,BE,         2.75,                     5682.75,2028
,BGRENERGY,EQ,        79.55,                  8285666.65,103796
,BHAGERIA,EQ,       296.80,                  3404252.10,11459
,BHAGYANGR,BE,        35.40,                   189743.80,5392
,BHAGYAPROP,EQ,        24.00,                   202608.65,8440
,BHANDARI,EQ,         2.35,                   185983.10,79220
,BHARATFIN,EQ,      1162.80,                489450101.10,419917
,BHARATFORG,EQ,       667.10,               2592394971.80,3844392
,BHARATGEAR,EQ,       175.15,                  2092094.25,11933
,BHARATIDIL,BZ,         3.30,                    10909.40,3357
,BHARATRAS,EQ,      7739.95,                 23856783.95,3123
,BHARATWIRE,EQ,        94.70,                  1135602.15,12041
,BHUSANSTL,EQ,        27.90,                 24611660.60,882354
,BIGBLOC,EQ,        81.05,                   779467.15,9612
,BIL,EQ,       376.40,                  1986546.70,5186
,BILENERGY,BE,          .50,                    46460.45,92854
,BILPOWER,BE,          .70,                     4755.85,6788
,BINANIIND,EQ,        94.70,                  2939756.80,31098
,BINDALAGRO,EQ,        20.00,                   673835.30,33590
,BIOCON,EQ,       612.65,               1429729419.05,2301448
,BIOFILCHEM,BE,        10.40,                    30876.95,3140
,BIRLACABLE,EQ,       164.85,                  7190568.35,43577
,BIRLACORPN,EQ,       761.30,                 13980346.40,18206
,BIRLAMONEY,EQ,        63.30,                 25832765.95,405341
,BKMINDST,EQ,        17.80,                  2792149.10,142414
,BLBLIMITED,EQ,         5.35,                    90612.95,16937
,BLISSGVS,EQ,       198.45,                 29654313.00,150490
,BLKASHYAP,EQ,        30.45,                 15420232.05,503324
,BLS,EQ,       162.00,                  9504495.50,58199
,BLUEBLENDS,EQ,         6.30,                   146742.55,22774
,BLUEDART,EQ,      3472.70,                  3743087.00,1073
,BLUESTARCO,EQ,       676.10,                  9745521.35,14356
,BODALCHEM,EQ,       118.25,                 27885973.10,233761
,BOHRA,SM,        23.55,                    47100.00,2000
,BOMDYEING,BE,       265.10,                115388298.70,439669
,BOROSIL,EQ,       295.50,                 31191486.80,105253
,BPL,EQ,        52.65,                 13465218.90,253802
,BRFL,BE,        14.10,                  1978512.00,140320
,BRIGADE,EQ,       207.60,                 12101496.00,58507
,BRIGHT,SM,        47.60,                  4856400.00,102000
,BRNL,EQ,       159.35,                   495570.00,3131
,BROOKS,EQ,        76.35,                  2695310.70,34922
,BSE,EQ,       736.90,                101120516.75,137072
,BSELINFRA,EQ,         3.30,                   153314.70,47095
,BSHSL,SM,       140.00,                  1107150.00,8000
,BSL,EQ,        56.40,                   503234.85,8875
,BSLGOLDETF,EQ,      2785.00,                   127785.05,46
,BSLNIFTY,EQ,       114.00,                    31900.32,279
,BURNPUR,BE,         5.25,                   293923.20,55105
,BUTTERFLY,EQ,       301.40,                  2459743.75,8172
,BVCL,BE,        21.25,                    27182.20,1287
,BYKE,EQ,        99.85,                  3436642.30,34374
,CALSOFT,BE,        37.00,                  2653328.80,73150
