,06-Aug-2018
The Nifty witnessed an intraday movement of about 57.05 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32611.57
, Traded Quantity (in Lakhs), 14764.46
, Number of Trades, 10694402
, Total Market Capitalisation (Rs. Crores), 15306433.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       206.30,                 15625588.65,75726
,AJOONI,SM,        18.95,                    75800.00,4000
,AKASH,SM,        78.00,                   325750.00,4000
,AKSHARCHEM,EQ,       534.85,                  2020020.10,3819
,AKSHOPTFBR,EQ,        32.05,                 49068525.60,1524068
,AKZOINDIA,EQ,      1838.30,                  9685023.55,5251
,ALANKIT,EQ,        24.40,                 23073615.30,945590
,ALBERTDAVD,EQ,       403.90,                  1674121.45,4110
,ALBK,EQ,        46.30,                190161950.10,4121843
,ALCHEM,BE,         6.10,                    58639.65,9104
,ALEMBICLTD,EQ,        45.15,                 46827287.40,1049216
,ALICON,EQ,       609.85,                   771787.40,1266
,ALKALI,EQ,        77.85,                 14784172.90,195620
,ALKEM,EQ,      2182.00,                 68735079.75,31126
,ALKYLAMINE,EQ,       651.35,                   839887.80,1288
,ALLCARGO,EQ,       125.05,                 21974350.00,175490
,ALLSEC,EQ,       275.60,                  1170153.20,4153
,ALMONDZ,EQ,        28.95,                    16659.00,570
,ALOKTEXT,BE,         4.30,                 32640587.30,8037427
,ALPA,EQ,        27.40,                   530051.40,19586
,ALPHAGEO,EQ,       685.50,                  4244499.50,6125
,ALPSINDUS,BE,         3.00,                    10005.00,3335
,AMARAJABAT,EQ,       832.00,                213618047.60,257644
,AMBANIORG,SM,        66.25,                   530000.00,8000
,AMBER,EQ,       991.70,                  9889469.25,9931
,AMBIKCO,EQ,      1292.65,                  5190678.30,4004
,AMDIND,EQ,        24.15,                    70729.65,2955
,AMJLAND,EQ,        27.65,                   707446.60,25511
,AMJUMBO,SM,        65.95,                   393900.00,6000
,AMRUTANJAN,EQ,       250.80,                  8467762.20,33435
,AMTEKAUTO,BZ,         7.45,                  5991911.50,866140
,ANANTRAJ,EQ,        42.90,                 15656130.90,364506
,ANDHRABANK,EQ,        36.00,                155012269.85,4299442
,ANDHRACEMT,EQ,         8.90,                  1105832.70,123092
,ANDHRSUGAR,EQ,       383.70,                 11328982.50,29442
,ANGIND,BE,         3.00,                    33719.45,10909
,ANIKINDS,EQ,        39.40,                  1105514.40,27793
,ANKITMETAL,BE,          .60,                    51386.35,100745
,ANSALAPI,EQ,        16.30,                  2386552.15,145603
,ANSALHSG,EQ,        15.45,                   332787.10,21549
,ANTGRAPHIC,BE,          .55,                    31706.85,61854
,APARINDS,EQ,       613.45,                  9768955.75,15584
,APCL,EQ,       149.55,                   366796.10,2386
,APCOTEXIND,EQ,       574.65,                  1942439.95,3387
,APEX,EQ,       512.10,                107693859.00,210764
,APLAPOLLO,EQ,      1801.55,                 40439952.40,22558
,APLLTD,EQ,       595.40,                101778651.75,169103
,APOLLO,EQ,       167.35,                  9966583.60,58613
,APOLLOHOSP,EQ,       981.30,                374647991.80,381899
,APOLLOTYRE,EQ,       275.90,               1413280701.50,5083429
,APOLSINHOT,EQ,      1448.95,                   786673.55,547
,APTECHT,EQ,       247.85,                 54596441.95,219284
,ARCHIDPLY,EQ,        70.05,                  9746724.20,138391
,ARCHIES,EQ,        31.80,                  2679704.40,85463
,ARCOTECH,EQ,        15.45,                  5917629.30,385038
,ARIES,EQ,       112.60,                  5347041.45,46864
,ARIHANT,EQ,        37.35,                     2410.85,66
,ARIHANTSUP,EQ,        69.60,                 13480139.55,192343
,ARMANFIN,EQ,       383.65,                  1163981.25,3024
,AROGRANITE,EQ,        59.30,                   655725.55,11135
,ARROWGREEN,EQ,       192.25,                   383154.25,1993
,ARROWTEX,EQ,        31.90,                   766154.40,24020
,ARSHIYA,EQ,        57.80,                   903343.15,15432
,ARSSINFRA,BE,        27.50,                   190994.45,6956
,ARVIND,EQ,       419.20,               4235400946.90,9955024
,ARVSMART,EQ,       172.55,                  1760006.25,10077
,ASAHIINDIA,EQ,       345.15,                  8357373.95,23937
,ASAHISONG,EQ,       271.65,                   526249.45,1942
,ASAL,EQ,        62.10,                  5576375.55,88260
,ASHAPURMIN,EQ,        51.65,                 17360223.15,345229
,ASHIANA,EQ,       138.40,                  3415331.75,24739
,ASHIMASYN,EQ,        22.80,                  2873373.65,124900
,ASHOKA,EQ,       147.55,                 24891916.90,168229
,ASIANHOTNR,EQ,       226.35,                   423140.60,1859
,ASIANTILES,EQ,       294.15,                 13168685.50,44428
,ASPINWALL,EQ,       230.00,                  3387952.50,14648
,ASSAMCO,EQ,         4.50,                  4879139.90,1104825
,ASTEC,EQ,       621.85,                  9035632.15,14398
,ASTERDM,EQ,       170.85,                 10373916.70,61535
,ASTRAL,EQ,      1066.65,                162892434.90,151822
,ASTRAMICRO,EQ,       100.95,                 22692375.85,223271
,ASTRAZEN,EQ,      1689.45,                 69726440.40,40976
,ASTRON,EQ,       124.25,                157482028.85,1249124
,ATFL,EQ,       652.20,                  4155131.85,6376
,ATLANTA,EQ,        41.90,                  8265169.10,198302
,ATLASCYCLE,BE,       136.85,                    57687.85,421
,ATUL,EQ,      2915.65,                 17432342.90,5953
,ATULAUTO,EQ,       434.10,                 98857271.05,228564
,AUBANK,EQ,       657.90,                 83532787.35,126797
,AURIONPRO,EQ,       224.60,                 88350088.00,387105
,AUSOMENT,EQ,        72.45,                   652932.90,9069
,AUTOAXLES,EQ,      1233.80,                 16361792.95,13212
,AUTOIND,EQ,        72.00,                  4095972.10,56923
,AUTOLITIND,EQ,        60.30,                  1046595.85,17328
,AVADHSUGAR,EQ,       368.55,                 15058284.65,40671
,AVANTIFEED,EQ,       540.80,                880137038.25,1640144
,AVG,SM,       103.00,                   370800.00,3600
,AVTNPL,EQ,        35.60,                  3631127.10,99585
,AXISCADES,EQ,       113.90,                  7342881.90,64455
,AXISGOLD,EQ,      2660.00,                   130267.05,49
,AXISNIFTY,EQ,      1151.26,                   189897.65,165
,AYMSYNTEX,EQ,        47.10,                  1012393.65,21249
,BAFNAPHARM,EQ,        22.20,                   238964.85,10732
,BAGFILMS,EQ,         5.05,                  2122213.30,435539
,BAJAJCORP,EQ,       416.35,                  4747347.85,11385
,BAJAJELEC,EQ,       618.05,                487122564.10,786731
,BAJAJHIND,EQ,         7.10,                 13757457.50,1955607
,BAJAJHLDNG,EQ,      2980.00,                 58470764.85,19633
,BALAJITELE,EQ,       116.65,                  2112857.70,18059
,BALAMINES,EQ,       570.95,                 13279018.20,23205
,BALAXI,BE,        18.70,                     3272.50,175
,BALKRISHNA,EQ,        80.70,                 16326408.05,201079
,BALKRISIND,EQ,      1231.25,                373279805.30,297875
,BALLARPUR,EQ,        10.55,                 29254589.40,2765851
,BALMLAWRIE,EQ,       227.05,                 17304908.35,76262
,BALPHARMA,EQ,        78.80,                  1476921.75,18822
,BALRAMCHIN,EQ,        76.35,                603043012.60,7983191
,BANARBEADS,EQ,        49.80,                    52556.90,1049
,BANARISUG,EQ,      1552.15,                   795505.30,526
,BANCOINDIA,EQ,       222.20,                156566449.25,712301
,BANDHANBNK,EQ,       688.85,                467308387.15,676161
,BANG,EQ,        51.85,                  1142686.40,22047
,BANKBEES,EQ,      2846.66,                 32882827.72,11557
,BANKINDIA,EQ,        97.50,                800711058.55,8261126
,BANSAL,SM,       116.70,                  3154400.00,27000
,BANSWRAS,EQ,        91.25,                  1287103.50,14556
,BARTRONICS,EQ,         9.95,                   478279.25,47586
,BASF,EQ,      1950.60,                 11286971.05,5778
,BASML,EQ,       230.50,                   131825.25,567
,BATAINDIA,EQ,       934.25,                533390240.20,571282
