,03-Jul-14,,,,,,
The Nifty witnessed an intraday movement of about 47.85 points.The closing index was 0.13 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),19466.89,,,,,
, Traded Quantity (in Lakhs),10976.2,,,,,
, Number of Trades,7563989,,,,,
, Total Market Capitalisation (Rs. Crores),8983596.38,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,7725.15,7734.35,7754.65,7706.8,7714.8,-10.35
,CNX IT,9807.6,9806,9903.55,9805,9831.35,23.75
,CNX Nifty Junior,16949.05,17022.9,17037.05,16837,16891.85,-57.2
,BANK Nifty,15490.35,15512.75,15554.7,15431.5,15451.65,-38.7
,CNX Midcap,11345.65,11398.5,11435.45,11307.05,11359.75,14.1
,CNX 500,6276.9,6289.9,6301.7,6260.1,6267.2,-9.7
,CNX 100,7699.05,7711.85,7729.5,7678.25,7686.35,-12.7
,Nifty Midcap 50,3432.45,3452.95,3455.2,3407.55,3418.1,-14.35
,CNX Realty,268.3,269.6,269.6,263.95,264.4,-3.9
,CNX Infra,3457.1,3474.25,3474.25,3427.3,3433.2,-23.9
,CNX Energy,10024.9,10057.3,10061.9,9882.8,9898.7,-126.2
,CNX FMCG,17719.8,17740.8,17823.3,17720,17765.55,45.75
,CNX MNC,7933.05,7957.9,7963.4,7891.3,7902.1,-30.95
,CNX Pharma,8656.65,8668.6,8814.35,8644.4,8749.6,92.95
,CNX PSE,3838.4,3858.85,3859.4,3804,3810.65,-27.75
,CNX PSU Bank,3876.5,3882.05,3912.45,3849.65,3869.3,-7.2
,CNX Service,9369.7,9381.25,9418.85,9346.2,9355.8,-13.9
,India VIX,17.57,17.57,18.2625,17.2325,17.805,0.235
,CNX AUTO,7100.4,7089.65,7179.05,7069.3,7149.3,48.9
,CNX Metal,3443.6,3461.55,3482.55,3414.6,3422.6,-21
,CNX Media,2135.55,2140.35,2148.5,2113.05,2118.65,-16.9
,CNX Smallcap,5502.5,5525.05,5535.75,5457.75,5472.1,-30.4
,CNX 200,3969.45,3977,3985.65,3958.85,3963.85,-5.6
,CNX Dividend Oppt,2119.05,2119.85,2120.95,2097.5,2100.9,-18.15
,CNX Commodities,3110.85,3125,3125,3081.1,3086.65,-24.2
,CNX Consumption,2996.6,2996.45,2998.15,2979.9,2986.45,-10.15
,CNX Finance,6350.1,6358.5,6378.95,6331.05,6339.05,-11.05
,Nifty Dividend,42.29,46.6,46.6,46.6,46.6,4.31
,LIX 15,3617,3630.05,3646.25,3608.95,3617.5,0.5
,CPSE Index,2689.45,2702.55,2710.05,2674.2,2678.8,-10.65
,NI15,4177.75,4168.25,4191.3,4167.65,4177.85,0.1
,,,,,,,
,ADVANCES,648,,,,,
,DECLINES,917,,,,,
,UNCHANGED,65,,,,,
,,,,,,,
,Total securities that have hit their price bands today,347,,,,,
,,,,,,,
,TOP 25 Securities Today :,,,,,,
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
,MCDOWELL-N,EQ,2484.1,2490.6,0.26,485.24,
,TATAMOTORS,EQ,455.8,469.75,3.06,467.12,
,SBIN,EQ,2702.25,2696.2,-0.22,388.67,
,ICICIBANK,EQ,1452,1454.05,0.14,351.05,
,JPASSOCIAT,EQ,75.5,72,-4.64,303.62,
,INFY,EQ,3215.3,3210.7,-0.14,301.2,
,SUNPHARMA,EQ,693.4,706.85,1.94,291.16,
,SSLT,EQ,310.1,310.6,0.16,284.33,
,AUROPHARMA,EQ,750.65,768.3,2.35,281.77,
,ADANIPORTS,EQ,271.25,270.4,-0.31,272.78,
,LT,EQ,1753.95,1752.35,-0.09,270.75,
,RELIANCE,EQ,1018.25,1006.5,-1.15,267.39,
,RELCAPITAL,EQ,655.9,658.8,0.44,267.09,
,RELINFRA,EQ,787.15,794.7,0.96,259.11,
,ADANIENT,EQ,492.7,495.45,0.56,250.94,
,ONGC,EQ,426.6,418.15,-1.98,217.16,
,GMRINFRA,EQ,33.75,31.15,-7.7,216.93,
,ITC,EQ,329.35,331.35,0.61,214.95,
,HINDALCO,EQ,178.25,173.75,-2.52,212.42,
,COALINDIA,EQ,393.55,396.1,0.65,209.32,
,BHEL,EQ,259.4,261.1,0.66,196.67,
,APOLLOTYRE,EQ,204.4,211.5,3.47,193.75,
,HCLTECH,EQ,1480.3,1466.45,-0.94,191.71,
,TCS,EQ,2401.6,2417.9,0.68,184.83,
,TATASTEEL,EQ,543.5,539.05,-0.82,184.59,
,,,,,,,
,Top Five CNX Nifty Gainers:,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
,TATAMOTORS,EQ,469.75,455.8,3.06,,
,WIPRO,EQ,555.5,540.85,2.71,,
,SUNPHARMA,EQ,706.85,693.4,1.94,,
,M&M,EQ,1235.55,1219.75,1.3,,
,CIPLA,EQ,447.7,444.3,0.77,,
,,,,,,,
,Top Five CNX Nifty Losers:,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
,HEROMOTOCO,EQ,2588.4,2679.8,-3.41,,
,HINDALCO,EQ,173.75,178.25,-2.52,,
,TATAPOWER,EQ,106.8,109.35,-2.33,,
,BAJAJ-AUTO,EQ,2300.1,2349.8,-2.12,,
,ONGC,EQ,418.15,426.6,-1.98,,
,,,,,,,
,Securities Price Volume Data in Normal market,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
,20MICRONS,EQ,35.35,507268.05,14082,,
,3IINFOTECH,BE,10.95,9219950.85,834791,,
,3MINDIA,EQ,4720.1,1804835.35,380,,
,8KMILES,EQ,189.55,30526915.55,161198,,
,A2ZMES,EQ,20.9,1921357.9,91931,,
,AARTIDRUGS,EQ,552.5,4038798.05,7273,,
,AARTIIND,EQ,223.45,19068549.75,85393,,
,AARVEEDEN,EQ,54.35,327170.4,5942,,
,ABAN,EQ,810.05,1273161533,1566492,,
,ABB,EQ,1136.75,135054829.4,117215,,
,ABBOTINDIA,EQ,2184.95,13052093.65,5936,,
,ABCIL,EQ,191.4,19304454.4,102137,,
,ABGSHIP,EQ,278.5,10401916.35,37061,,
,ACCELYA,EQ,731.7,20453692.5,27776,,
,ACE,EQ,31.45,12714827.9,396794,,
,ACROPETAL,EQ,3.95,154356.85,38750,,
,ADANIPOWER,EQ,65.5,1043850900,15783771,,
,ADFFOODS,EQ,66.8,10016290.95,148587,,
,ADHUNIK,EQ,53.1,6878185.25,128645,,
,ADORWELD,BE,246.35,2135632.95,8688,,
,ADSL,EQ,24.3,6299319.35,252301,,
,ADVANIHOTR,EQ,49.9,29690,600,,
,ADVANTA,BE,280.7,2427119.35,8654,,
,AEGISCHEM,EQ,262.7,82434045.45,317550,,
,AFL,EQ,47.75,61151.35,1304,,
,AFTEK,BE,7.8,1111221.05,138817,,
,AGARIND,EQ,141.9,60933.3,436,,
,AGCNET,EQ,71.7,880849,12283,,
,AGRITECH,BE,9.5,37148.85,3878,,
,AGRODUTCH,BE,4,100594,24436,,
,AHLEAST,EQ,218,19304991.15,92575,,
,AHLUCONT,EQ,123.95,5916098.65,47514,,
