symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2021-05-18,1420.75,1410.80,1470.00,1410.80,1450.00,1449.85,1449.04,327604,4747.11,28213,76668,23.40
ADANIPORTS,EQ,2021-05-18,754.20,765.00,780.00,757.10,780.00,775.90,767.92,9877934,75854.30,124879,2090207,21.16
BEL,EQ,2021-05-18,148.15,150.50,155.00,149.30,154.85,154.60,152.12,32516231,49464.19,168620,12033988,37.01
BOSCHLTD,EQ,2021-05-18,14218.85,14317.00,14520.00,14117.20,14427.00,14450.55,14380.17,47060,6767.31,10774,12762,27.12
CUMMINSIND,EQ,2021-05-18,806.00,810.20,852.40,810.20,842.50,836.40,838.51,1897253,15908.62,37230,507056,26.73
DIXON,EQ,2021-05-18,3950.85,3950.00,3990.00,3905.00,3930.00,3926.65,3934.49,165018,6492.62,23106,100503,60.90
DLF,EQ,2021-05-18,259.25,262.00,265.40,260.75,262.50,261.90,262.74,6221518,16346.63,54170,1925139,30.94
DMART,EQ,2021-05-18,2898.70,2920.00,3080.00,2910.75,3071.00,3056.30,3003.81,1022329,30708.80,66857,330837,32.36
HAL,EQ,2021-05-18,1001.85,1015.00,1021.00,995.00,1008.00,1008.00,1009.48,193013,1948.43,12775,112135,58.10
HINDALCO,EQ,2021-05-18,392.95,401.00,412.80,396.50,401.45,402.10,405.39,30540086,123807.11,249278,4225849,13.84
INDHOTEL,EQ,2021-05-18,115.10,117.90,123.30,116.40,122.00,121.90,119.80,5156814,6177.72,28284,2458964,47.68
INDIGO,EQ,2021-05-18,1703.75,1710.00,1724.85,1692.70,1717.00,1714.70,1707.66,524717,8960.38,18388,129356,24.65
LT,EQ,2021-05-18,1386.75,1405.00,1422.00,1397.00,1421.10,1417.30,1411.25,3312380,46745.91,86148,1455270,43.93
MANAPPURAM,EQ,2021-05-18,154.85,156.50,162.10,156.00,159.90,160.25,160.16,17041976,27294.99,96041,3847359,22.58
MARUTI,EQ,2021-05-18,6717.85,6788.00,6864.00,6715.45,6812.00,6811.10,6798.40,805827,54783.38,74323,308871,38.33
PGEL,EQ,2021-05-18,316.80,315.00,315.00,308.35,315.00,314.15,313.42,64231,201.31,1096,37649,58.61
SBIN,EQ,2021-05-18,383.10,390.00,392.55,380.05,382.95,382.25,385.07,70917710,273082.36,483711,14714918,20.75
SUZLON,EQ,2021-05-18,5.55,5.60,5.65,5.50,5.55,5.55,5.56,17667860,983.18,11262,7752269,43.88
TRENT,EQ,2021-05-18,795.15,800.00,832.90,799.25,832.50,828.30,819.29,2275063,18639.30,56333,427021,18.77
