symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-02-24,141718,68275,48.18
ADANIPORTS,EQ,2023-02-24,8631548,2366837,27.42
BEL,EQ,2023-02-24,8061923,4494796,55.75
BOSCHLTD,EQ,2023-02-24,27827,8222,29.55
CUMMINSIND,EQ,2023-02-24,688041,372900,54.20
DIXON,EQ,2023-02-24,539202,148345,27.51
DLF,EQ,2023-02-24,2887310,788556,27.31
DMART,EQ,2023-02-24,113844,66749,58.63
HAL,EQ,2023-02-24,648350,303072,46.75
HINDALCO,EQ,2023-02-24,10814032,3112847,28.79
INDHOTEL,EQ,2023-02-24,3867681,1965542,50.82
INDIGO,EQ,2023-02-24,322247,136897,42.48
LT,EQ,2023-02-24,1479060,773206,52.28
MANAPPURAM,EQ,2023-02-24,3351429,1147792,34.25
MARUTI,EQ,2023-02-24,242982,129030,53.10
PAYTM,EQ,2023-02-24,7205948,1914494,26.57
PGEL,EQ,2023-02-24,62724,30674,48.90
SBIN,EQ,2023-02-24,12253035,5266229,42.98
SUZLON,EQ,2023-02-24,57101906,17274213,30.25
TRENT,EQ,2023-02-24,409365,243258,59.42
