symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2011-01-14,760,769.9,735,750.05,745,753.2,50950,38341840.55,,
BEL,EQ,2011-01-14,1690,1725,1662,1697.5,1700,1675.85,21924,37203856.45,,
BOSCHLTD,EQ,2011-01-14,6356,6435,6260,6301.2,6275,6393.5,2117,13526741.7,,
CUMMINSIND,EQ,2011-01-14,738.55,751,708.05,718.5,711.1,744.95,174315,128631945,,
DLF,EQ,2011-01-14,265,268.95,257.1,259.3,258,265.2,4311348,1134413131.35,,
HINDALCO,EQ,2011-01-14,233.9,238.75,228.7,230,228.95,234.25,7434960,1732225996.2,,
INDHOTEL,EQ,2011-01-14,100.05,101,98.9,99.1,99.3,99.95,1748065,174429396.3,,
LT,EQ,2011-01-14,1755,1758.7,1693.9,1710.05,1710.5,1748.25,2764344,4760540332.85,,
MANAPPURAM,EQ,2011-01-14,136.9,136.9,133.1,134.15,135,135.6,796116,107317483.05,,
MARUTI,EQ,2011-01-14,1316,1319,1263.3,1269.7,1280,1315.55,468849,603981209.9,,
SBIN,EQ,2011-01-14,2566.7,2588,2491.4,2500.8,2492.95,2560.7,2683908,6823234446.7,,
SUZLON,EQ,2011-01-14,52.7,54.65,51.85,52.35,52.3,52.7,35693304,1894775478.85,,
TRENT,EQ,2011-01-14,869,890,869,879.1,874.15,877.9,2593,2286773.7,,
